# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 22.000 GeV
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
Eb,Pr,xbj,kf,th_e,Pf,th_p,q,th_q,th_rq,th_pq,Q2
22.00,1.0000,0.7000,14.7679,9.8095,7.6785,25.9202,7.8615,18.6655,75.8466,7.2547,9.5000
22.00,1.0000,0.8000,15.6719,9.5217,6.7668,29.6067,7.0388,21.6112,70.2595,7.9955,9.5000
22.00,1.0000,0.9000,16.3750,9.3145,6.0562,32.9987,6.4141,24.4066,64.7956,8.5921,9.5000
22.00,1.0000,1.0000,16.9375,9.1582,5.4863,36.0833,5.9270,27.0544,59.4273,9.0289,9.5000
22.00,1.0000,1.1000,17.3977,9.0360,5.0188,38.8484,5.5390,29.5577,54.1203,9.2907,9.5000
22.00,1.0000,1.2000,17.7813,8.9378,4.6281,41.2814,5.2247,31.9206,48.8297,9.3608,9.5000
22.00,1.0000,1.3000,18.1058,8.8572,4.2964,43.3664,4.9664,34.1479,43.4944,9.2184,9.5000
22.00,1.0000,1.4000,18.3839,8.7898,4.0113,45.0793,4.7514,36.2454,38.0255,8.8339,9.5000
22.00,1.0000,1.5000,18.6250,8.7326,3.7633,46.3778,4.5706,38.2192,32.2798,8.1585,9.5000
22.00,1.0000,1.6000,18.8359,8.6835,3.5455,47.1759,4.4172,40.0760,25.9904,7.0999,9.5000
22.00,1.0000,1.7000,19.0221,8.6408,3.3526,47.2555,4.2858,41.8224,18.5079,5.4331,9.5000
