# histogram parameters
#\ dx = 10.0
#\ dy = 0.04
#\ nx = 19
#\ ny = 40
#\ xmin = 0.0
#\ ymin = -0.02
# averaged kinematics results
# averaged kinematic varibles used as input to calculate the averaged
# kinematics: Ei, omega, th_e, pf
#
# variables with _mc attached are from histograms not calculated
# alpha is the spectatror (neutron) alpha
#\ xb = th_nq
#\ yb = pm
# current header line:
i_b,i_x,i_y,xb,yb,Ei,kf,th_e,omega,Q2_calc,q_lab,Ep_calc,pf,pm_mc,pm,En_calc,beta_cm,gamma_cm,PfPar_q,PfPerp_q,theta_pq,theta_pq_calc,PfPar_cm,th_pq_cm,th_nq_mc,th_nq_calc,cos_phi,sin_phi,alpha_c,nx,ny,cont,kin,crs0,crs12,ratio,
22,1,1,5.0,0.0,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq65,-1.0,-1.0,1.0,
43,1,2,5.0,0.04,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq65,-1.0,-1.0,1.0,
64,1,3,5.0,0.08,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq65,-1.0,-1.0,1.0,
85,1,4,5.0,0.12,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq65,-1.0,-1.0,1.0,
106,1,5,5.0,0.16,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq65,-1.0,-1.0,1.0,
127,1,6,5.0,0.2,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq65,-1.0,-1.0,1.0,
148,1,7,5.0,0.24,21999.998,17364.561,9.705,4635.437,10935432.615,5694.094,5536.543,5456.46,239.93,258.599,974.504,0.875,2.062,5455.546,99.842,0.34,1.048,1265.393,4.511,7.762,22.711,-0.439,-0.899,0.783,19,40,0.008747,thrq65,0.0783202201,0.0668610558,0.8536883,
169,1,8,5.0,0.28,22000.0,17279.272,9.978,4720.728,11499771.721,5812.49,5612.782,5533.803,281.693,290.856,983.556,0.881,2.115,5533.206,81.228,0.402,0.841,1242.373,3.741,7.915,16.217,-0.628,-0.084,0.75,19,40,0.03625,thrq65,0.0346608125,0.0297266133,0.857643306,
190,1,9,5.0,0.32,22000.004,17256.966,10.109,4743.038,11788715.687,5855.35,5615.696,5536.758,320.85,350.897,1002.952,0.885,2.145,5534.911,142.994,0.355,1.48,1215.865,6.708,6.126,24.049,-0.287,-0.187,0.726,19,40,0.03753,thrq65,0.0115572028,0.00967035815,0.836738646,
211,1,10,5.0,0.36,22000.0,17195.763,10.331,4804.237,12265806.159,5945.292,5662.78,5584.507,363.866,389.412,1017.067,0.89,2.193,5582.701,142.019,0.443,1.457,1190.263,6.804,6.82,21.389,-0.483,0.02,0.697,19,40,0.04018,thrq65,0.00602300698,0.00504508754,0.837635994,
