# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 10.549 GeV
# 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.1200 	 1.0000 	 8.4174 	 12.1836 	 2.9126 	 39.7756 	 2.9229 	 37.4278 	 83.8772 	 2.3478 	 4.0000
  0.1200 	 1.0500 	 8.5189 	 12.1105 	 2.8058 	 41.1029 	 2.8498 	 38.8407 	 67.3582 	 2.2622 	 4.0000
  0.1200 	 1.1000 	 8.6112 	 12.0452 	 2.7083 	 42.1169 	 2.7848 	 40.1880 	 49.4346 	 1.9289 	 4.0000
  0.1200 	 1.1500 	 8.6955 	 11.9865 	 2.6190 	 42.5998 	 2.7268 	 41.4728 	 25.4201 	 1.1270 	 4.0000
  0.1200 	 1.0000 	 8.4121 	 12.2028 	 2.9182 	 39.7274 	 2.9285 	 37.3841 	 83.8803 	 2.3433 	 4.0100
  0.1200 	 1.0500 	 8.5139 	 12.1293 	 2.8111 	 41.0548 	 2.8551 	 38.7970 	 67.3509 	 2.2578 	 4.0100
  0.1200 	 1.1000 	 8.6064 	 12.0637 	 2.7134 	 42.0689 	 2.7900 	 40.1443 	 49.4122 	 1.9246 	 4.0100
  0.1200 	 1.1500 	 8.6908 	 12.0048 	 2.6239 	 42.5514 	 2.7318 	 41.4292 	 25.3558 	 1.1222 	 4.0100
  0.1200 	 1.0000 	 8.4068 	 12.2219 	 2.9238 	 39.6792 	 2.9341 	 37.3404 	 83.8834 	 2.3388 	 4.0200
  0.1200 	 1.0500 	 8.5088 	 12.1482 	 2.8165 	 41.0067 	 2.8605 	 38.7533 	 67.3437 	 2.2534 	 4.0200
  0.1200 	 1.1000 	 8.6015 	 12.0822 	 2.7185 	 42.0211 	 2.7951 	 40.1007 	 49.3899 	 1.9204 	 4.0200
  0.1200 	 1.1500 	 8.6862 	 12.0230 	 2.6288 	 42.5032 	 2.7368 	 41.3858 	 25.2915 	 1.1175 	 4.0200
  0.1200 	 1.0000 	 8.4014 	 12.2411 	 2.9294 	 39.6312 	 2.9397 	 37.2968 	 83.8866 	 2.3344 	 4.0300
  0.1200 	 1.0500 	 8.5037 	 12.1670 	 2.8218 	 40.9587 	 2.8659 	 38.7097 	 67.3365 	 2.2490 	 4.0300
  0.1200 	 1.1000 	 8.5967 	 12.1007 	 2.7237 	 41.9733 	 2.8003 	 40.0572 	 49.3677 	 1.9161 	 4.0300
