# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 5.000 GeV
# 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.1000 	 1.1000 	 3.1106 	 28.9995 	 2.6594 	 34.9270 	 2.7331 	 33.4891 	 41.8637 	 1.4379 	 3.9000
  0.1000 	 1.1000 	 3.0622 	 29.6139 	 2.7107 	 34.3156 	 2.7848 	 32.9139 	 41.5364 	 1.4017 	 4.0000
  0.1000 	 1.1000 	 3.0138 	 30.2362 	 2.7620 	 33.7145 	 2.8364 	 32.3475 	 41.2163 	 1.3670 	 4.1000
  0.1000 	 1.1000 	 2.9653 	 30.8668 	 2.8131 	 33.1230 	 2.8879 	 31.7893 	 40.9033 	 1.3338 	 4.2000
  0.1000 	 1.1000 	 2.9169 	 31.5064 	 2.8641 	 32.5407 	 2.9393 	 31.2389 	 40.5969 	 1.3019 	 4.3000
  0.1000 	 1.1000 	 2.8684 	 32.1556 	 2.9150 	 31.9671 	 2.9906 	 30.6958 	 40.2971 	 1.2713 	 4.4000
  0.1000 	 1.1000 	 2.8200 	 32.8151 	 2.9659 	 31.4015 	 3.0418 	 30.1596 	 40.0035 	 1.2419 	 4.5000
  0.1000 	 1.1000 	 2.7715 	 33.4854 	 3.0167 	 30.8436 	 3.0929 	 29.6299 	 39.7159 	 1.2137 	 4.6000
  0.2000 	 1.2000 	 2.9572 	 32.3870 	 2.8050 	 34.7950 	 2.9619 	 32.3298 	 37.1041 	 2.4653 	 4.6000
  0.1000 	 1.1000 	 2.7231 	 34.1672 	 3.0674 	 30.2930 	 3.1439 	 29.1064 	 39.4341 	 1.1866 	 4.7000
  0.2000 	 1.2000 	 2.9128 	 33.0027 	 2.8518 	 34.2257 	 3.0094 	 31.8169 	 36.8197 	 2.4088 	 4.7000
  0.1000 	 1.1000 	 2.6746 	 34.8614 	 3.1180 	 29.7491 	 3.1949 	 28.5886 	 39.1580 	 1.1604 	 4.8000
  0.2000 	 1.2000 	 2.8684 	 33.6270 	 2.8985 	 33.6644 	 3.0567 	 31.3099 	 36.5399 	 2.3545 	 4.8000
  0.1000 	 1.1000 	 2.6262 	 35.5687 	 3.1685 	 29.2115 	 3.2458 	 28.0763 	 38.8872 	 1.1353 	 4.9000
  0.2000 	 1.2000 	 2.8240 	 34.2603 	 2.9451 	 33.1108 	 3.1040 	 30.8086 	 36.2648 	 2.3021 	 4.9000
  0.1000 	 1.1000 	 2.5778 	 36.2899 	 3.2190 	 28.6800 	 3.2966 	 27.5689 	 38.6218 	 1.1110 	 5.0000
  0.2000 	 1.2000 	 2.7796 	 34.9034 	 2.9917 	 32.5643 	 3.1512 	 30.3126 	 35.9940 	 2.2517 	 5.0000
  0.3000 	 1.2000 	 2.7796 	 34.9034 	 2.9648 	 34.7195 	 3.1512 	 30.3126 	 49.4088 	 4.4069 	 5.0000
