# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 10.549 GeV
# 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.2000 	 1.0000 	 8.6839 	 11.2173 	 2.6170 	 44.0774 	 2.6417 	 39.7515 	 80.7442 	 4.3258 	 3.5000
  0.2000 	 1.1000 	 8.8534 	 11.1090 	 2.4361 	 46.6437 	 2.5249 	 42.5021 	 61.6069 	 4.1416 	 3.5000
  0.2000 	 1.2000 	 8.9947 	 11.0211 	 2.2841 	 48.2553 	 2.4322 	 44.9894 	 40.5881 	 3.2659 	 3.5000
  0.2000 	 1.0000 	 8.6306 	 11.4121 	 2.6736 	 43.4990 	 2.6982 	 39.2641 	 80.8063 	 4.2349 	 3.6000
  0.2000 	 1.1000 	 8.8050 	 11.2982 	 2.4880 	 46.0694 	 2.5771 	 42.0176 	 61.5180 	 4.0517 	 3.6000
  0.2000 	 1.2000 	 8.9503 	 11.2058 	 2.3320 	 47.6866 	 2.4811 	 44.5105 	 40.2412 	 3.1760 	 3.6000
  0.2000 	 1.0000 	 8.5773 	 11.6061 	 2.7300 	 42.9365 	 2.7546 	 38.7886 	 80.8653 	 4.1479 	 3.7000
  0.2000 	 1.1000 	 8.7565 	 11.4863 	 2.5397 	 45.5103 	 2.6292 	 41.5444 	 61.4309 	 3.9658 	 3.7000
  0.2000 	 1.2000 	 8.9059 	 11.3892 	 2.3798 	 47.1327 	 2.5298 	 44.0425 	 39.9009 	 3.0902 	 3.7000
  0.2000 	 1.0000 	 8.5240 	 11.7993 	 2.7863 	 42.3890 	 2.8108 	 38.3244 	 80.9216 	 4.0646 	 3.8000
  0.2000 	 1.1000 	 8.7081 	 11.6734 	 2.5913 	 44.9657 	 2.6812 	 41.0821 	 61.3455 	 3.8836 	 3.8000
  0.2000 	 1.2000 	 8.8615 	 11.5716 	 2.4275 	 46.5930 	 2.5783 	 43.5847 	 39.5671 	 3.0083 	 3.8000
  0.2000 	 1.0000 	 8.4707 	 11.9917 	 2.8424 	 41.8557 	 2.8669 	 37.8710 	 80.9753 	 3.9848 	 3.9000
  0.2000 	 1.1000 	 8.6596 	 11.8597 	 2.6427 	 44.4349 	 2.7331 	 40.6301 	 61.2618 	 3.8048 	 3.9000
  0.2000 	 1.2000 	 8.8171 	 11.7530 	 2.4750 	 46.0667 	 2.6267 	 43.1367 	 39.2394 	 2.9300 	 3.9000
  0.2000 	 1.0000 	 8.4174 	 12.1836 	 2.8985 	 41.3360 	 2.9229 	 37.4278 	 81.0266 	 3.9081 	 4.0000
  0.2000 	 1.1000 	 8.6112 	 12.0452 	 2.6941 	 43.9172 	 2.7848 	 40.1880 	 61.1797 	 3.7292 	 4.0000
  0.2000 	 1.2000 	 8.7727 	 11.9334 	 2.5225 	 45.5533 	 2.6749 	 42.6983 	 38.9178 	 2.8550 	 4.0000
  0.2000 	 1.0000 	 8.3641 	 12.3749 	 2.9545 	 40.8291 	 2.9789 	 36.9946 	 81.0757 	 3.8345 	 4.1000
  0.2000 	 1.1000 	 8.5628 	 12.2300 	 2.7453 	 43.4120 	 2.8364 	 39.7553 	 61.0993 	 3.6567 	 4.1000
  0.2000 	 1.2000 	 8.7283 	 12.1131 	 2.5698 	 45.0520 	 2.7231 	 42.2688 	 38.6020 	 2.7832 	 4.1000
  0.2000 	 1.0000 	 8.3108 	 12.5658 	 3.0103 	 40.3344 	 3.0347 	 36.5707 	 81.1227 	 3.7637 	 4.2000
  0.2000 	 1.1000 	 8.5143 	 12.4141 	 2.7965 	 42.9187 	 2.8879 	 39.3317 	 61.0205 	 3.5870 	 4.2000
  0.2000 	 1.2000 	 8.6839 	 12.2919 	 2.6170 	 44.5624 	 2.7710 	 41.8480 	 38.2918 	 2.7144 	 4.2000
  0.2000 	 1.0000 	 8.2576 	 12.7562 	 3.0661 	 39.8514 	 3.0904 	 36.1558 	 81.1677 	 3.6956 	 4.3000
  0.2000 	 1.1000 	 8.4659 	 12.5977 	 2.8475 	 42.4367 	 2.9393 	 38.9168 	 60.9432 	 3.5200 	 4.3000
  0.2000 	 1.2000 	 8.6395 	 12.4700 	 2.6641 	 44.0839 	 2.8189 	 41.4356 	 37.9871 	 2.6483 	 4.3000
  0.2000 	 1.0000 	 8.2043 	 12.9464 	 3.1218 	 39.3796 	 3.1461 	 35.7496 	 81.2109 	 3.6300 	 4.4000
  0.2000 	 1.1000 	 8.4174 	 12.7807 	 2.8985 	 41.9656 	 2.9906 	 38.5102 	 60.8676 	 3.4555 	 4.4000
  0.2000 	 1.2000 	 8.5951 	 12.6474 	 2.7112 	 43.6159 	 2.8667 	 41.0311 	 37.6876 	 2.5849 	 4.4000
  0.2000 	 1.0000 	 8.1510 	 13.1362 	 3.1774 	 38.9184 	 3.2016 	 35.3516 	 81.2523 	 3.5668 	 4.5000
  0.2000 	 1.1000 	 8.3690 	 12.9632 	 2.9494 	 41.5049 	 3.0418 	 38.1116 	 60.7934 	 3.3933 	 4.5000
  0.2000 	 1.2000 	 8.5506 	 12.8242 	 2.7581 	 43.1582 	 2.9143 	 40.6343 	 37.3934 	 2.5239 	 4.5000
  0.2000 	 1.0000 	 8.0977 	 13.3258 	 3.2329 	 38.4674 	 3.2571 	 34.9615 	 81.2921 	 3.5059 	 4.6000
  0.2000 	 1.1000 	 8.3205 	 13.1454 	 3.0002 	 41.0541 	 3.0929 	 37.7207 	 60.7207 	 3.3334 	 4.6000
  0.2000 	 1.2000 	 8.5062 	 13.0005 	 2.8050 	 42.7101 	 2.9619 	 40.2449 	 37.1041 	 2.4653 	 4.6000
  0.2000 	 1.0000 	 8.0444 	 13.5153 	 3.2884 	 38.0261 	 3.3126 	 34.5791 	 81.3304 	 3.4470 	 4.7000
  0.2000 	 1.1000 	 8.2721 	 13.3272 	 3.0509 	 40.6128 	 3.1439 	 37.3371 	 60.6495 	 3.2757 	 4.7000
  0.2000 	 1.2000 	 8.4618 	 13.1762 	 2.8518 	 42.2714 	 3.0094 	 39.8626 	 36.8197 	 2.4088 	 4.7000
  0.2000 	 1.0000 	 7.9911 	 13.7047 	 3.3437 	 37.5941 	 3.3679 	 34.2039 	 81.3673 	 3.3902 	 4.8000
  0.2000 	 1.1000 	 8.2236 	 13.5086 	 3.1015 	 40.1806 	 3.1949 	 36.9607 	 60.5796 	 3.2199 	 4.8000
  0.2000 	 1.2000 	 8.4174 	 13.3515 	 2.8985 	 41.8416 	 3.0567 	 39.4871 	 36.5399 	 2.3545 	 4.8000
  0.2000 	 1.0000 	 7.9378 	 13.8941 	 3.3991 	 37.1711 	 3.4232 	 33.8358 	 81.4028 	 3.3353 	 4.9000
  0.2000 	 1.1000 	 8.1752 	 13.6899 	 3.1521 	 39.7571 	 3.2458 	 36.5911 	 60.5112 	 3.1660 	 4.9000
  0.2000 	 1.2000 	 8.3730 	 13.5264 	 2.9451 	 41.4204 	 3.1040 	 39.1183 	 36.2648 	 2.3021 	 4.9000
  0.2000 	 1.0000 	 7.8845 	 14.0834 	 3.4543 	 36.7566 	 3.4784 	 33.4745 	 81.4370 	 3.2822 	 5.0000
