# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 10.549 GeV
# Q2 range         = 2-5 GeV (step_size=0.1)
# xbj range        = 0.5-1.6 (step_size=0.1)
# 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.1000 	 1.0000 	 8.9503 	 10.2267 	 2.3490 	 44.8169 	 2.3571 	 42.3897 	 84.1366 	 2.4272 	 3.0000
  0.1000 	 1.1000 	 9.0957 	 10.1444 	 2.1917 	 46.9710 	 2.2610 	 45.1161 	 45.1898 	 1.8550 	 3.0000
  0.2000 	 1.0000 	 8.9503 	 10.2267 	 2.3320 	 47.2403 	 2.3571 	 42.3897 	 80.3801 	 4.8506 	 3.0000
  0.2000 	 1.1000 	 9.0957 	 10.1444 	 2.1746 	 49.7774 	 2.2610 	 45.1161 	 62.0772 	 4.6613 	 3.0000
  0.3000 	 1.0000 	 8.9503 	 10.2267 	 2.3043 	 49.6550 	 2.3571 	 42.3897 	 76.2557 	 7.2653 	 3.0000
  0.1000 	 1.0000 	 8.8970 	 10.4274 	 2.4063 	 44.2024 	 2.4143 	 41.8328 	 84.1804 	 2.3695 	 3.1000
  0.1000 	 1.1000 	 9.0472 	 10.3402 	 2.2443 	 46.3641 	 2.3142 	 44.5655 	 44.7819 	 1.7986 	 3.1000
  0.2000 	 1.0000 	 8.8970 	 10.4274 	 2.3893 	 46.5679 	 2.4143 	 41.8328 	 80.4612 	 4.7350 	 3.1000
  0.2000 	 1.1000 	 9.0472 	 10.3402 	 2.2272 	 49.1122 	 2.3142 	 44.5655 	 61.9797 	 4.5467 	 3.1000
  0.3000 	 1.0000 	 8.8970 	 10.4274 	 2.3617 	 48.9241 	 2.4143 	 41.8328 	 76.3756 	 7.0913 	 3.1000
  0.1000 	 1.0000 	 8.8437 	 10.6267 	 2.4634 	 43.6061 	 2.4714 	 41.2914 	 84.2218 	 2.3147 	 3.2000
  0.1000 	 1.1000 	 8.9988 	 10.5345 	 2.2967 	 45.7748 	 2.3671 	 44.0296 	 44.3845 	 1.7452 	 3.2000
