# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 10.549 GeV
# 4-Momentum Transfer (Q2) = 3.50 - 4.50 GeV (step: 0.25) 
# x-Bjorken (xbj) = 1.30 - 1.6 (step: 0.01) 
# Missing Momentum (Pr) = 0.00 - 1.0 GeV (step: 0.10) 
# 
# th_nq = 35 +/- 1 deg
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.5000 	 1.4300 	 9.1515 	 11.3107 	 1.9995 	 56.9891 	 2.3881 	 48.7299 	 35.0627 	 8.2592 	 3.7500
  0.5000 	 1.4400 	 9.1613 	 11.3047 	 1.9888 	 57.0443 	 2.3824 	 48.9206 	 34.2001 	 8.1237 	 3.7500
  0.5000 	 1.4200 	 9.0479 	 11.7499 	 2.1135 	 55.3515 	 2.5007 	 47.4603 	 35.4739 	 7.8912 	 4.0000
  0.5000 	 1.4300 	 9.0584 	 11.7431 	 2.1020 	 55.4151 	 2.4944 	 47.6547 	 34.5875 	 7.7603 	 4.0000
  0.5000 	 1.4100 	 8.9428 	 12.1841 	 2.2280 	 53.8048 	 2.6134 	 46.2360 	 35.9403 	 7.5689 	 4.2500   ---> Carlos' suggestion (Q2=4.25, pm=500 MeV/c)
  0.5000 	 1.4200 	 8.9541 	 12.1764 	 2.2157 	 53.8767 	 2.6065 	 46.4339 	 35.0326 	 7.4428 	 4.2500
  0.5000 	 1.4300 	 8.9652 	 12.1688 	 2.2036 	 53.9408 	 2.5997 	 46.6301 	 34.1131 	 7.3108 	 4.2500
  0.5000 	 1.4100 	 8.8483 	 12.6058 	 2.3302 	 52.4177 	 2.7189 	 45.2540 	 35.5329 	 7.1636 	 4.5000
  0.5000 	 1.4200 	 8.8602 	 12.5972 	 2.3173 	 52.4902 	 2.7114 	 45.4534 	 34.5943 	 7.0367 	 4.5000
  0.6000 	 1.4500 	 9.2627 	 10.8601 	 1.8194 	 61.4113 	 2.2704 	 50.2359 	 35.9947 	 11.1754 	 3.5000
  0.6000 	 1.4600 	 9.2715 	 10.8549 	 1.8095 	 61.4771 	 2.2654 	 50.4207 	 35.3353 	 11.0564 	 3.5000
  0.6000 	 1.4700 	 9.2802 	 10.8498 	 1.7997 	 61.5366 	 2.2605 	 50.6038 	 34.6722 	 10.9328 	 3.5000
  0.6000 	 1.4800 	 9.2888 	 10.8448 	 1.7900 	 61.5898 	 2.2557 	 50.7852 	 34.0049 	 10.8045 	 3.5000
  0.6000 	 1.4500 	 9.1708 	 11.2988 	 1.9222 	 59.6200 	 2.3768 	 49.1095 	 35.7609 	 10.5105 	 3.7500
  0.6000 	 1.4600 	 9.1803 	 11.2930 	 1.9117 	 59.6877 	 2.3714 	 49.2966 	 35.0771 	 10.3911 	 3.7500
  0.6000 	 1.4700 	 9.1896 	 11.2872 	 1.9013 	 59.7491 	 2.3660 	 49.4821 	 34.3888 	 10.2670 	 3.7500
  0.6000 	 1.4500 	 9.0789 	 11.7297 	 2.0240 	 57.9532 	 2.4821 	 48.0384 	 35.5083 	 9.9148 	 4.0000
