# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 11.000 GeV
# 4-Momentum Transfer (Q2) = 1.00 - 1.90 GeV (step: 0.10) 
# x-Bjorken (xbj) = 1.00 - 2.05 (step: 0.05) 
# Missing Momentum (Pr) = 0.10 - 0.55 GeV (step: 0.05) 
# Hadron Out-of-Plane Angle (phi): rotation axis is q-vector 
# thp = thq - thpq, phi = 0  (q-vector scatters at smaller  angles than proton scattering angle)# 
# # 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.1000 	 1.0000 	 9.9875 	 7.5403 	 1.7017 	 46.6754 	 1.7103 	 50.0219 	 83.3979 	 3.3465 	 1.9000
  0.1000 	 1.0500 	 10.0357 	 7.5221 	 1.6464 	 48.1345 	 1.6822 	 51.3499 	 67.4397 	 3.2154 	 1.9000
  0.1000 	 1.1000 	 10.0795 	 7.5057 	 1.5958 	 49.8222 	 1.6575 	 52.5954 	 50.5421 	 2.7732 	 1.9000
  0.1500 	 1.0000 	 9.9875 	 7.5403 	 1.6942 	 45.0007 	 1.7103 	 50.0219 	 81.3235 	 5.0212 	 1.9000
  0.1500 	 1.0500 	 10.0357 	 7.5221 	 1.6388 	 46.3933 	 1.6822 	 51.3499 	 70.7338 	 4.9566 	 1.9000
  0.1500 	 1.1000 	 10.0795 	 7.5057 	 1.5881 	 47.8968 	 1.6575 	 52.5954 	 60.1451 	 4.6987 	 1.9000
  0.2000 	 1.0000 	 9.9875 	 7.5403 	 1.6837 	 43.3253 	 1.7103 	 50.0219 	 79.0228 	 6.6966 	 1.9000
  0.2000 	 1.0500 	 10.0357 	 7.5221 	 1.6283 	 44.6787 	 1.6822 	 51.3499 	 71.0513 	 6.6712 	 1.9000
  0.2000 	 1.1000 	 10.0795 	 7.5057 	 1.5775 	 46.0965 	 1.6575 	 52.5954 	 63.2210 	 6.4990 	 1.9000
  0.2500 	 1.0000 	 9.9875 	 7.5403 	 1.6704 	 41.6487 	 1.7103 	 50.0219 	 76.6463 	 8.3732 	 1.9000
  0.2500 	 1.0500 	 10.0357 	 7.5221 	 1.6148 	 42.9732 	 1.6822 	 51.3499 	 70.2215 	 8.3767 	 1.9000
  0.2500 	 1.1000 	 10.0795 	 7.5057 	 1.5639 	 44.3377 	 1.6575 	 52.5954 	 63.9606 	 8.2577 	 1.9000
  0.3000 	 1.0000 	 9.9875 	 7.5403 	 1.6543 	 39.9701 	 1.7103 	 50.0219 	 74.2463 	 10.0518 	 1.9000
  0.3000 	 1.0500 	 10.0357 	 7.5221 	 1.5986 	 41.2706 	 1.6822 	 51.3499 	 68.8384 	 10.0793 	 1.9000
  0.3000 	 1.1000 	 10.0795 	 7.5057 	 1.5475 	 42.5968 	 1.6575 	 52.5954 	 63.5908 	 9.9986 	 1.9000
  0.3500 	 1.0000 	 9.9875 	 7.5403 	 1.6354 	 38.2885 	 1.7103 	 50.0219 	 71.8471 	 11.7334 	 1.9000
  0.3500 	 1.0500 	 10.0357 	 7.5221 	 1.5796 	 39.5676 	 1.6822 	 51.3499 	 67.1547 	 11.7822 	 1.9000
  0.3500 	 1.1000 	 10.0795 	 7.5057 	 1.5284 	 40.8636 	 1.6575 	 52.5954 	 62.6131 	 11.7318 	 1.9000
  0.4000 	 1.0000 	 9.9875 	 7.5403 	 1.6140 	 36.6028 	 1.7103 	 50.0219 	 69.4616 	 13.4191 	 1.9000
  0.4000 	 1.0500 	 10.0357 	 7.5221 	 1.5580 	 37.8619 	 1.6822 	 51.3499 	 65.2968 	 13.4880 	 1.9000
  0.4000 	 1.1000 	 10.0795 	 7.5057 	 1.5066 	 39.1325 	 1.6575 	 52.5954 	 61.2726 	 13.4629 	 1.9000
  0.4500 	 1.0000 	 9.9875 	 7.5403 	 1.5902 	 34.9115 	 1.7103 	 50.0219 	 67.0976 	 15.1105 	 1.9000
  0.4500 	 1.0500 	 10.0357 	 7.5221 	 1.5339 	 36.1513 	 1.6822 	 51.3499 	 63.3352 	 15.1986 	 1.9000
  0.4500 	 1.1000 	 10.0795 	 7.5057 	 1.4823 	 37.3994 	 1.6575 	 52.5954 	 59.7039 	 15.1960 	 1.9000
  0.5000 	 1.0000 	 9.9875 	 7.5403 	 1.5639 	 33.2127 	 1.7103 	 50.0219 	 64.7597 	 16.8092 	 1.9000
  0.5000 	 1.0500 	 10.0357 	 7.5221 	 1.5074 	 34.4335 	 1.6822 	 51.3499 	 61.3118 	 16.9164 	 1.9000
  0.5000 	 1.1000 	 10.0795 	 7.5057 	 1.4555 	 35.6610 	 1.6575 	 52.5954 	 57.9868 	 16.9344 	 1.9000
