# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 2.200 GeV
# 4-Momentum Transfer (Q2) = 2.90 - 4.50 GeV (step: 0.10) 
# x-Bjorken (xbj) = 1.00 - 2.10 (step: 0.10) 
# Missing Momentum (Pr) = 0.00 - 1.10 GeV (step: 0.10) 
# Hadron Out-of-Plane Angle (phi) = 180 deg 
# thp = thq + thpq, phi = 180 ?  (q-vector scatters at smaller  angles than proton scattering angle)# 
# # 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.1000 	 1.0000 	 0.6546 	 90.3926 	 2.2915 	 14.0502 	 2.2996 	 16.5380 	 84.0901 	 2.4879 	 2.9000
  0.1000 	 1.1000 	 0.7951 	 80.1508 	 2.1389 	 18.8694 	 2.2077 	 20.7840 	 45.6087 	 1.9145 	 2.9000
  0.1000 	 1.0000 	 0.6013 	 97.6936 	 2.3490 	 12.2170 	 2.3571 	 14.6442 	 84.1366 	 2.4272 	 3.0000
  0.1000 	 1.1000 	 0.7467 	 85.0186 	 2.1917 	 17.3519 	 2.2610 	 19.2069 	 45.1898 	 1.8550 	 3.0000
  0.1000 	 1.0000 	 0.5480 	 106.5949 	 2.4063 	 10.1947 	 2.4143 	 12.5642 	 84.1804 	 2.3695 	 3.1000
  0.1000 	 1.1000 	 0.6982 	 90.5202 	 2.2443 	 15.7609 	 2.3142 	 17.5595 	 44.7819 	 1.7986 	 3.1000
  0.1000 	 1.0000 	 0.4947 	 118.0354 	 2.4634 	 7.8625 	 2.4714 	 10.1772 	 84.2218 	 2.3147 	 3.2000
  0.1000 	 1.1000 	 0.6498 	 96.8512 	 2.2967 	 14.0699 	 2.3671 	 15.8152 	 44.3845 	 1.7452 	 3.2000
  0.1000 	 1.0000 	 0.4414 	 134.3431 	 2.5203 	 4.9106 	 2.5283 	 7.1731 	 84.2609 	 2.2626 	 3.3000
  0.1000 	 1.1000 	 0.6013 	 104.3156 	 2.3490 	 12.2377 	 2.4199 	 13.9323 	 43.9973 	 1.6946 	 3.3000
