# +/- 35 deg
# +/- 50 deg
# MIT-Bates
# Min Q2: 2.9 GeV^2

# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 10.549 GeV
# 4-Momentum Transfer (Q2) = 2.90 - 4.50 GeV (step: 0.10) 
# x-Bjorken (xbj) = 1.00 - 2.0 (step: 0.10) 
# Missing Momentum (Pr) = 0.00 - 1.0 GeV (step: 0.10) 
# Hadron Out-of-Plane Angle (phi) = 180 deg 
# thp = thq - thpq,  (q-vector scatters at larger  angles than proton scattering angle)# 
# 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.1000 	 1.0000 	 8.3108 	 12.5658 	 3.0268 	 34.6860 	 3.0347 	 36.5707 	 84.5362 	 1.8847 	 4.2000
  0.1000 	 1.0000 	 8.2576 	 12.7562 	 3.0826 	 34.3052 	 3.0904 	 36.1558 	 84.5603 	 1.8507 	 4.3000
  0.1000 	 1.0000 	 8.2043 	 12.9464 	 3.1382 	 33.9317 	 3.1461 	 35.7496 	 84.5834 	 1.8179 	 4.4000
  0.1000 	 1.0000 	 8.1510 	 13.1362 	 3.1938 	 33.5653 	 3.2016 	 35.3516 	 84.6055 	 1.7863 	 4.5000
  0.2000 	 1.0000 	 8.5773 	 11.6061 	 2.7300 	 34.6407 	 2.7546 	 38.7886 	 80.8653 	 4.1479 	 3.7000
  0.2000 	 1.0000 	 8.5240 	 11.7993 	 2.7863 	 34.2598 	 2.8108 	 38.3244 	 80.9216 	 4.0646 	 3.8000
  0.2000 	 1.0000 	 8.4707 	 11.9917 	 2.8424 	 33.8862 	 2.8669 	 37.8710 	 80.9753 	 3.9848 	 3.9000
  0.2000 	 1.0000 	 8.4174 	 12.1836 	 2.8985 	 33.5197 	 2.9229 	 37.4278 	 81.0266 	 3.9081 	 4.0000
  0.2000 	 1.0000 	 8.3641 	 12.3749 	 2.9545 	 33.1601 	 2.9789 	 36.9946 	 81.0757 	 3.8345 	 4.1000
  0.2000 	 1.0000 	 8.3108 	 12.5658 	 3.0103 	 32.8070 	 3.0347 	 36.5707 	 81.1227 	 3.7637 	 4.2000
  0.2000 	 1.0000 	 8.2576 	 12.7562 	 3.0661 	 32.4602 	 3.0904 	 36.1558 	 81.1677 	 3.6956 	 4.3000
