# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 11.000 GeV
# 4-Momentum Transfer (Q2) = 2.50 - 2.59 GeV (step: 0.01) 
# x-Bjorken (xbj) = 1.00 - 2.00 (step: 0.01) 
# Missing Momentum (Pr) = 0.35 - 0.36 GeV (step: 0.01) 
# Hadron Out-of-Plane Angle (phi): rotation axis is q-vector 
# thp = thq + thpq, phi = 0  (q-vector scatters at larger  angles than proton scattering angle)# 
# # 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.3500 	 1.3800 	 10.0346 	 8.6309 	 1.5809 	 46.9835 	 1.8526 	 54.3769 	 35.5370 	 7.3933 	 2.5000
  0.3500 	 1.3850 	 10.0381 	 8.6294 	 1.5768 	 47.1565 	 1.8507 	 54.4693 	 34.9917 	 7.3128 	 2.5000
  0.3500 	 1.3900 	 10.0416 	 8.6279 	 1.5728 	 47.3310 	 1.8489 	 54.5613 	 34.4421 	 7.2303 	 2.5000
  0.3500 	 1.3950 	 10.0450 	 8.6264 	 1.5688 	 47.5070 	 1.8472 	 54.6528 	 33.8878 	 7.1457 	 2.5000
  0.3500 	 1.4000 	 10.0484 	 8.6250 	 1.5648 	 47.6848 	 1.8454 	 54.7438 	 33.3286 	 7.0590 	 2.5000
  0.3500 	 1.4050 	 10.0518 	 8.6235 	 1.5609 	 47.8642 	 1.8437 	 54.8343 	 32.7642 	 6.9701 	 2.5000
  0.3500 	 1.4100 	 10.0552 	 8.6221 	 1.5570 	 48.0455 	 1.8419 	 54.9243 	 32.1943 	 6.8788 	 2.5000
  0.3500 	 1.4150 	 10.0585 	 8.6206 	 1.5531 	 48.2287 	 1.8402 	 55.0139 	 31.6185 	 6.7852 	 2.5000
  0.3500 	 1.4200 	 10.0618 	 8.6192 	 1.5492 	 48.4138 	 1.8385 	 55.1030 	 31.0364 	 6.6892 	 2.5000
  0.3500 	 1.4250 	 10.0651 	 8.6178 	 1.5453 	 48.6011 	 1.8369 	 55.1916 	 30.4477 	 6.5905 	 2.5000
  0.3500 	 1.4300 	 10.0684 	 8.6164 	 1.5415 	 48.7906 	 1.8352 	 55.2798 	 29.8518 	 6.4892 	 2.5000
  0.3500 	 1.4350 	 10.0716 	 8.6150 	 1.5377 	 48.9825 	 1.8335 	 55.3676 	 29.2484 	 6.3851 	 2.5000
  0.3500 	 1.4400 	 10.0748 	 8.6136 	 1.5339 	 49.1768 	 1.8319 	 55.4548 	 28.6368 	 6.2780 	 2.5000
  0.3500 	 1.4450 	 10.0780 	 8.6123 	 1.5302 	 49.3738 	 1.8303 	 55.5417 	 28.0165 	 6.1678 	 2.5000
  0.3500 	 1.4500 	 10.0812 	 8.6109 	 1.5264 	 49.5736 	 1.8287 	 55.6280 	 27.3869 	 6.0544 	 2.5000
  0.3500 	 1.4550 	 10.0844 	 8.6096 	 1.5227 	 49.7764 	 1.8271 	 55.7140 	 26.7473 	 5.9376 	 2.5000
  0.3500 	 1.4600 	 10.0875 	 8.6082 	 1.5191 	 49.9823 	 1.8256 	 55.7994 	 26.0968 	 5.8171 	 2.5000
  0.3500 	 1.4650 	 10.0906 	 8.6069 	 1.5154 	 50.1917 	 1.8240 	 55.8845 	 25.4346 	 5.6928 	 2.5000
  0.3500 	 1.4700 	 10.0937 	 8.6056 	 1.5118 	 50.4048 	 1.8225 	 55.9691 	 24.7596 	 5.5643 	 2.5000
  0.3500 	 1.4750 	 10.0968 	 8.6042 	 1.5081 	 50.6218 	 1.8209 	 56.0533 	 24.0709 	 5.4315 	 2.5000
  0.3500 	 1.4800 	 10.0998 	 8.6029 	 1.5045 	 50.8431 	 1.8194 	 56.1370 	 23.3670 	 5.2939 	 2.5000
  0.3500 	 1.4850 	 10.1029 	 8.6017 	 1.5010 	 51.0691 	 1.8179 	 56.2204 	 22.6465 	 5.1513 	 2.5000
  0.3500 	 1.4900 	 10.1059 	 8.6004 	 1.4974 	 51.3001 	 1.8164 	 56.3033 	 21.9078 	 5.0031 	 2.5000
  0.3500 	 1.4950 	 10.1089 	 8.5991 	 1.4939 	 51.5368 	 1.8150 	 56.3857 	 21.1488 	 4.8489 	 2.5000
  0.3500 	 1.5000 	 10.1118 	 8.5978 	 1.4904 	 51.7796 	 1.8135 	 56.4678 	 20.3672 	 4.6882 	 2.5000 <------
  0.3500 	 1.5050 	 10.1148 	 8.5966 	 1.4869 	 52.0293 	 1.8121 	 56.5494 	 19.5604 	 4.5201 	 2.5000
  0.3500 	 1.5100 	 10.1177 	 8.5953 	 1.4834 	 52.2868 	 1.8106 	 56.6307 	 18.7248 	 4.3439 	 2.5000
  0.3500 	 1.5150 	 10.1206 	 8.5941 	 1.4800 	 52.5530 	 1.8092 	 56.7115 	 17.8565 	 4.1585 	 2.5000
  0.3500 	 1.5200 	 10.1235 	 8.5929 	 1.4766 	 52.8292 	 1.8078 	 56.7919 	 16.9504 	 3.9627 	 2.5000
