# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 11.000 GeV
# 4-Momentum Transfer (Q2) = 2.70 - 2.79 GeV (step: 0.01) 
# x-Bjorken (xbj) = 1.00 - 2.00 (step: 0.01) 
# Missing Momentum (Pr) = 0.35 - 0.37 GeV (step: 0.01) 
# Hadron Out-of-Plane Angle (phi): rotation axis is q-vector 
# thp = thq + thpq, phi = 180  (q-vector scatters at smaller  angles than proton scattering angle)# 
# # 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.3500 	 1.3700 	 9.9498 	 9.0084 	 1.6788 	 60.0296 	 1.9501 	 53.0241 	 35.8036 	 7.0055 	 2.7000
  0.3500 	 1.3750 	 9.9536 	 9.0067 	 1.6744 	 60.0460 	 1.9481 	 53.1192 	 35.2370 	 6.9268 	 2.7000
  0.3500 	 1.3800 	 9.9574 	 9.0050 	 1.6701 	 60.0598 	 1.9460 	 53.2138 	 34.6657 	 6.8460 	 2.7000
  0.3500 	 1.3850 	 9.9611 	 9.0033 	 1.6658 	 60.0710 	 1.9440 	 53.3078 	 34.0892 	 6.7632 	 2.7000
  0.3500 	 1.3900 	 9.9649 	 9.0016 	 1.6615 	 60.0796 	 1.9420 	 53.4014 	 33.5072 	 6.6781 	 2.7000
  0.3500 	 1.3950 	 9.9686 	 8.9999 	 1.6572 	 60.0854 	 1.9401 	 53.4945 	 32.9195 	 6.5908 	 2.7000
  0.3500 	 1.4000 	 9.9723 	 8.9982 	 1.6530 	 60.0884 	 1.9381 	 53.5872 	 32.3256 	 6.5012 	 2.7000
  0.3500 	 1.4050 	 9.9759 	 8.9966 	 1.6488 	 60.0884 	 1.9362 	 53.6793 	 31.7252 	 6.4091 	 2.7000
  0.3500 	 1.4100 	 9.9796 	 8.9949 	 1.6446 	 60.0855 	 1.9342 	 53.7710 	 31.1179 	 6.3145 	 2.7000
  0.3500 	 1.4150 	 9.9832 	 8.9933 	 1.6404 	 60.0794 	 1.9323 	 53.8622 	 30.5031 	 6.2172 	 2.7000
