# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 11.000 GeV
# 4-Momentum Transfer (Q2) = 2.50 - 2.59 GeV (step: 0.01) 
# x-Bjorken (xbj) = 1.00 - 2.00 (step: 0.01) 
# Missing Momentum (Pr) = 0.35 - 0.41 GeV (step: 0.01) 
# Hadron Out-of-Plane Angle (phi): rotation axis is q-vector 
# thp = thq + thpq, phi = 180  (q-vector scatters at smaller  angles than proton scattering angle)# 
# # 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
 
  0.3500 	 1.5000 	 10.1118 	 8.5978 	 1.4904 	 61.1560 	 1.8135 	 56.4678 	 20.3672 	 4.6882 	 2.5000

  0.3500 	 1.5500 	 10.1405 	 8.5856 	 1.4564 	 59.6888 	 1.7997 	 57.2660 	 10.1312 	 2.4227 	 2.5000  <-----

  0.4000 	 1.5600 	 10.1460 	 8.5833 	 1.4277 	 62.9206 	 1.7970 	 57.4209 	 20.0038 	 5.4996 	 2.5000
  
  0.4000 	 1.5650 	 10.1487 	 8.5822 	 1.4245 	 62.8327 	 1.7957 	 57.4978 	 19.3360 	 5.3349 	 2.5000
  0.4000 	 1.5700 	 10.1514 	 8.5810 	 1.4212 	 62.7378 	 1.7945 	 57.5743 	 18.6490 	 5.1635 	 2.5000
  0.4000 	 1.5750 	 10.1541 	 8.5799 	 1.4180 	 62.6352 	 1.7932 	 57.6504 	 17.9406 	 4.9848 	 2.5000
  0.4000 	 1.5800 	 10.1568 	 8.5787 	 1.4148 	 62.5241 	 1.7919 	 57.7261 	 17.2080 	 4.7980 	 2.5000
  0.4000 	 1.5850 	 10.1595 	 8.5776 	 1.4116 	 62.4036 	 1.7907 	 57.8015 	 16.4481 	 4.6021 	 2.5000
  0.4000 	 1.5900 	 10.1621 	 8.5765 	 1.4084 	 62.2723 	 1.7894 	 57.8765 	 15.6566 	 4.3958 	 2.5000
  0.4000 	 1.5950 	 10.1647 	 8.5754 	 1.4053 	 62.1288 	 1.7882 	 57.9511 	 14.8287 	 4.1777 	 2.5000
  0.4000 	 1.6000 	 10.1674 	 8.5743 	 1.4021 	 61.9711 	 1.7870 	 58.0254 	 13.9577 	 3.9457 	 2.5000
  0.4000 	 1.6050 	 10.1699 	 8.5732 	 1.3990 	 61.7967 	 1.7858 	 58.0993 	 13.0349 	 3.6974 	 2.5000
