# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 8.800 GeV
# 4-Momentum Transfer (Q2) = 1.00 - 1.90 GeV (step: 0.10) 
# x-Bjorken (xbj) = 1.00 - 2.05 (step: 0.05) 
# Missing Momentum (Pr) = 0.10 - 0.55 GeV (step: 0.05) 
# Hadron Out-of-Plane Angle (phi): rotation axis is q-vector 
# thp = thq - thpq, phi = 0  (q-vector scatters at smaller  angles than proton scattering angle)# 
# # 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.4000 	 1.6000 	 8.3670 	 7.6188 	 0.8815 	 53.6111 	 1.2196 	 65.4446 	 26.8680 	 11.8335 	 1.3000  (TOO LOW Q2, <1), but can make		Q2>1 cut

  0.5000 	 1.8000 	 8.4151 	 7.5970 	 0.7419 	 55.8996 	 1.2034 	 67.5918 	 17.4999 	 11.6922 	 1.3000
  0.5000 	 1.6000 	 8.3337 	 7.9227 	 0.8671 	 48.5101 	 1.2718 	 64.5841 	 28.6955 	 16.0740 	 1.4000
  0.5000 	 1.6500 	 8.3478 	 7.9160 	 0.8461 	 50.1692 	 1.2667 	 65.1804 	 25.9961 	 15.0113 	 1.4000
  0.5000 	 1.7000 	 8.3611 	 7.9097 	 0.8261 	 51.9629 	 1.2620 	 65.7460 	 23.1818 	 13.7831 	 1.4000
  0.5000 	 1.7500 	 8.3737 	 7.9037 	 0.8070 	 53.9393 	 1.2577 	 66.2830 	 20.1849 	 12.3437 	 1.4000
  0.5000 	 1.8000 	 8.3855 	 7.8981 	 0.7888 	 56.1823 	 1.2537 	 66.7935 	 16.8872 	 10.6112 	 1.4000
  0.5000 	 1.6000 	 8.3004 	 8.2177 	 0.9154 	 48.6135 	 1.3227 	 63.7601 	 28.5805 	 15.1465 	 1.5000
  0.5000 	 1.6500 	 8.3156 	 8.2102 	 0.8936 	 50.2940 	 1.3171 	 64.3717 	 25.7683 	 14.0777 	 1.5000
  0.5000 	 1.7000 	 8.3298 	 8.2032 	 0.8728 	 52.1162 	 1.3119 	 64.9521 	 22.8191 	 12.8359 	 1.5000
  0.5000 	 1.7500 	 8.3432 	 8.1965 	 0.8530 	 54.1352 	 1.3071 	 65.5034 	 19.6502 	 11.3682 	 1.5000
