#This datafile contains exp. redXsec and ratio to (JML Paris, MS CD-Bonn, MS AV18) PWIA, from Hall C Deuteron Experiment: E12-10-003
#Units: pm_avg [GeV/c] :: redXsec [fm^3], pm = 260 +/- 20 MeV/c 
pm_avg,pm_c,thnq,thnq_avg,data_redXsec,data_redXsec_tot_err,redXsec_paris,redXsec_cd,redXsec_v18,R_paris,R_paris_err,R_cd,R_cd_err,R_v18,R_v18_err
0.24384,0.260,15,17.872,1.29113E-02,6.11952E-03,4.88078E-03,3.43390E-03,3.20994E-03,2.64534,1.25380,3.75996,1.78209,4.02230,1.90643 
0.25044,0.260,25,26.457,3.49613E-03,1.19093E-03,3.70708E-03,3.26749E-03,3.05443E-03,0.94310,0.32126,1.06997,0.36448,1.14461,0.38990 
0.25483,0.260,35,35.753,2.76100E-03,5.97546E-04,3.36140E-03,3.19195E-03,2.98380E-03,0.82138,0.17777,0.86499,0.18720,0.92533,0.20026 
0.25665,0.260,45,45.453,2.77612E-03,4.43173E-04,3.24423E-03,3.15223E-03,2.94649E-03,0.85571,0.13660,0.88069,0.14059,0.94218,0.15041 
0.25747,0.260,55,55.452,2.33110E-03,2.96812E-04,3.23472E-03,3.08686E-03,2.88529E-03,0.72065,0.09176,0.75517,0.09615,0.80792,0.10287 
0.25805,0.260,65,65.339,2.34218E-03,2.75550E-04,3.13083E-03,3.08023E-03,2.87896E-03,0.74810,0.08801,0.76039,0.08946,0.81355,0.09571 
0.25842,0.260,75,75.198,1.69288E-03,2.02713E-04,3.12351E-03,3.13792E-03,2.93261E-03,0.54198,0.06490,0.53949,0.06460,0.57726,0.06912 
0.25855,0.260,85,85.160,2.73879E-03,2.07268E-04,3.11473E-03,3.21924E-03,3.00873E-03,0.87930,0.06654,0.85076,0.06438,0.91028,0.06889 
0.25810,0.260,95,93.814,3.61153E-03,3.56087E-04,3.18428E-03,3.55399E-03,3.32227E-03,1.13417,0.11183,1.01619,0.10019,1.08707,0.10718 
0.25341,0.260,105,101.516,9.99064E-03,3.65028E-03,3.48999E-03,4.28944E-03,4.01084E-03,2.86265,1.04593,2.32913,0.85099,2.49091,0.91010 
