#This datafile contains exp. redXsec and ratio to (JML Paris, MS CD-Bonn, MS AV18) PWIA, from Hall C Deuteron Experiment: E12-10-003
#Units: pm_avg [GeV/c] :: redXsec [fm^3], pm = 180 +/- 20 MeV/c 
pm_avg,pm_c,thnq,thnq_avg,data_redXsec,data_redXsec_tot_err,redXsec_paris,redXsec_cd,redXsec_v18,R_paris,R_paris_err,R_cd,R_cd_err,R_v18,R_v18_err
0.17486,0.180,5,6.923,3.11331E-02,4.55336E-03,2.44207E-02,2.50418E-02,2.41297E-02,1.27486,0.18645,1.24324,0.18183,1.29024,0.18870 
0.17464,0.180,15,15.738,3.07038E-02,2.50344E-03,2.45060E-02,2.42341E-02,2.33388E-02,1.25291,0.10216,1.26697,0.10330,1.31557,0.10727 
0.17555,0.180,25,25.424,2.63589E-02,1.60864E-03,2.38462E-02,2.31471E-02,2.22750E-02,1.10537,0.06746,1.13876,0.06950,1.18334,0.07222 
0.17634,0.180,35,35.297,2.40204E-02,1.29687E-03,2.35274E-02,2.25223E-02,2.16638E-02,1.02096,0.05512,1.06652,0.05758,1.10878,0.05986 
0.17633,0.180,45,45.224,2.32753E-02,1.08076E-03,2.33261E-02,2.21074E-02,2.12586E-02,0.99782,0.04633,1.05283,0.04889,1.09486,0.05084 
0.17709,0.180,55,55.270,2.03034E-02,8.49070E-04,2.28886E-02,2.20139E-02,2.11668E-02,0.88705,0.03710,0.92230,0.03857,0.95921,0.04011 
0.17737,0.180,65,65.279,1.76161E-02,6.58953E-04,2.28269E-02,2.25389E-02,2.16802E-02,0.77173,0.02887,0.78159,0.02924,0.81254,0.03039 
0.17756,0.180,75,75.032,1.58056E-02,5.87617E-04,2.21594E-02,2.30452E-02,2.21757E-02,0.71327,0.02652,0.68586,0.02550,0.71275,0.02650 
0.17785,0.180,85,84.844,1.63578E-02,6.35778E-04,2.20213E-02,2.31961E-02,2.23238E-02,0.74282,0.02887,0.70520,0.02741,0.73275,0.02848 
0.17779,0.180,95,94.189,1.94609E-02,1.11098E-03,2.25859E-02,2.38392E-02,2.29542E-02,0.86164,0.04919,0.81634,0.04660,0.84782,0.04840 
0.17714,0.180,105,102.684,1.87218E-02,3.03272E-03,2.29881E-02,2.99295E-02,2.89328E-02,0.81441,0.13193,0.62553,0.10133,0.64708,0.10482 
