#This datafile contains exp. redXsec and ratio to (JML Paris, MS CD-Bonn, MS AV18) PWIA, from Hall C Deuteron Experiment: E12-10-003
#Units: pm_avg [GeV/c] :: redXsec [fm^3], pm = 560 +/- 20 MeV/c 
pm_avg,pm_c,thnq,data_redXsec,data_redXsec_tot_err,redXsec_paris,redXsec_cd,redXsec_v18,R_paris,R_paris_err,R_cd,R_cd_err,R_v18,R_v18_err
0.54045,0.540,25,3.45135E-05,1.08413E-05,3.64276E+00,5.65781E-05,1.03781E-04,0.00001,0.00000,0.61002,0.19162,0.33256,0.10446 
0.57996,0.580,25,3.30587E-05,9.23101E-06,2.94668E+00,5.65781E-05,1.03781E-04,0.00001,0.00000,0.58430,0.16315,0.31854,0.08895 
0.54055,0.540,35,4.77822E-05,6.72230E-06,3.92220E+00,5.63392E-05,1.03637E-04,0.00001,0.00000,0.84812,0.11932,0.46105,0.06486 
0.54205,0.540,45,5.52949E-05,9.87203E-06,3.96044E-01,5.51189E-05,1.01625E-04,0.00014,0.00002,1.00319,0.17910,0.54411,0.09714 
0.54629,0.540,55,4.82768E-04,2.07290E-04,1.13113E-04,5.73172E-05,1.04393E-04,4.26801,1.83259,8.42274,3.61653,4.62454,1.98568 
0.57966,0.580,55,1.37983E-04,4.24117E-05,8.46179E-05,5.73172E-05,1.04393E-04,1.63066,0.50121,2.40736,0.73995,1.32177,0.40627 
0.57698,0.580,65,8.05117E-04,2.86363E-04,8.70198E-05,3.82895E-05,7.66882E-05,9.25211,3.29078,21.02707,7.47887,10.49858,3.73412 
0.57793,0.580,75,2.80828E-04,8.85337E-05,8.60483E-05,3.81334E-05,7.62286E-05,3.26360,1.02888,7.36434,2.32168,3.68402,1.16142 
0.57430,0.580,85,NAN,5.42137E-04,8.82787E-05,1.16487E-04,1.88818E-04,nan,6.14120,nan,4.65408,nan,2.87122 
