        
#This file contains combined Reduced Cross Sections from all data sets of the same kinematic bin. pm80 + pm580 (sets 1 and 2) +  pm750 (sets 1, 2 and 3)                                                                                                                                                                                           
#\ xb = th_nq                                                                                                    
#\ yb = pm                                                                        
#relative errors df/f=dsig/sig: kin_syst_tot (kinematic systematics),  norm_syst_tot (constant, norm. syst.)
# current header line: all averaged kinematics are either in GeV or deg : Ei_avg (beam energy), kf_avg(final e- momentum),  the_avg(final e- angle), pf_avg(final proton momentum),
# nu_avg(energy transfer, Ei-kf), Q2_avg(4-momentum transfer, GeV2), q_avg(|qlab|, magnitude of 3-momentum transfer), cthpq_cm_avg(c.o.mass angle between proton and qlab), cphi_avg(out-of-plane angle between proton and qlab)
i_b,i_x,i_y,xb,yb,pm_avg,kin_syst_tot,norm_syst_tot,tot_syst_err,tot_stats_err,tot_err,red_dataXsec_avg,red_dataXsec_avg_err,red_dataXsec_avg_syst_err,red_dataXsec_avg_tot_err,red_pwiaXsec_avg,red_fsiXsec_avg   
21,0,20,5.000000, 0.820000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.341842584842e-06,2.286925870513e-06
22,0,21,5.000000, 0.860000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.350809623728e-06,2.295600067679e-06
23,0,22,5.000000, 0.900000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.336681388498e-06,2.281686136247e-06
24,0,23,5.000000, 0.940000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.297901426295e-06,2.243660482485e-06
25,0,24,5.000000, 0.980000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.231719354989e-06,2.178832965006e-06
26,0,25,5.000000, 1.020000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,2.133737016441e-06,2.082903597863e-06
27,0,26,5.000000, 1.060000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.997162856592e-06,1.949234553980e-06
28,0,27,5.000000, 1.100000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.811536178062e-06,1.767605074089e-06
29,0,28,5.000000, 1.140000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.560437667804e-06,1.521978009036e-06
30,0,29,5.000000, 1.180000, nan, 0.000000,0.000000, 0.000000, nan, 0.000000, nan,nan,nan,nan,1.217124958997e-06,1.186244471375e-06
