#This datafile contains exp. redXsec and ratio to (JML Paris, MS CD-Bonn, MS AV18) PWIA, from Hall C Deuteron Experiment: E12-10-003
#Units: pm_avg [GeV/c] :: redXsec [fm^3], pm = 200 +/- 20 MeV/c 
pm_avg,pm_c,thnq,thnq_avg,data_redXsec,data_redXsec_tot_err,redXsec_paris,redXsec_cd,redXsec_v18,R_paris,R_paris_err,R_cd,R_cd_err,R_v18,R_v18_err
0.20822,0.220,5,6.954,1.47424E-02,4.81408E-03,1.00235E-02,9.42240E-03,8.91716E-03,1.47079,0.48028,1.56461,0.51092,1.65326,0.53987 
0.21230,0.220,15,16.321,9.30924E-03,1.94362E-03,9.00042E-03,8.55711E-03,8.08445E-03,1.03431,0.21595,1.08790,0.22714,1.15150,0.24041 
0.21487,0.220,25,25.805,9.61646E-03,1.20942E-03,8.45317E-03,8.15738E-03,7.70031E-03,1.13762,0.14307,1.17887,0.14826,1.24884,0.15706 
0.21622,0.220,35,35.358,9.66703E-03,8.95226E-04,8.18689E-03,7.96581E-03,7.51632E-03,1.18079,0.10935,1.21357,0.11238,1.28614,0.11910 
0.21654,0.220,45,45.287,6.55185E-03,6.01092E-04,8.09801E-03,7.81708E-03,7.37413E-03,0.80907,0.07423,0.83815,0.07689,0.88849,0.08151 
0.21707,0.220,55,55.368,6.85432E-03,5.22594E-04,8.11625E-03,7.75300E-03,7.31283E-03,0.84452,0.06439,0.88409,0.06741,0.93730,0.07146 
0.21736,0.220,65,65.308,6.12613E-03,4.04768E-04,7.91135E-03,7.87782E-03,7.43217E-03,0.77435,0.05116,0.77764,0.05138,0.82427,0.05446 
0.21770,0.220,75,75.111,4.72322E-03,5.06131E-04,7.70007E-03,8.02034E-03,7.56841E-03,0.61340,0.06573,0.58890,0.06311,0.62407,0.06687 
0.21792,0.220,85,85.026,5.62655E-03,2.82363E-04,7.70105E-03,8.13830E-03,7.68152E-03,0.73062,0.03667,0.69137,0.03470,0.73248,0.03676 
0.21784,0.220,95,94.107,8.55880E-03,5.90372E-04,7.91733E-03,8.67303E-03,8.19625E-03,1.08102,0.07457,0.98683,0.06807,1.04423,0.07203 
0.21599,0.220,105,102.131,8.97314E-03,2.35490E-03,8.24995E-03,9.90941E-03,9.38654E-03,1.08766,0.28544,0.90552,0.23764,0.95596,0.25088 
