# Hall C d(e,e p)n commissioning numerical data 
# 
# thnq             : 35 +/- 5 deg 
# pm_bin           : central missing momentum bin (GeV/c) 
# pm_avg           : average missing momentum value in central bin (GeV/c) 
# red_dataXsec     : reduced data cross-sections (fm^3) 
# red_dataXsec_err : reduced data cross-sections total error (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_dataXsec[f,2]/    red_dataXsec_err[f,3]/   rel_syst[f,4]/   rel_stats[f,5]/      
0.020     0.031807     4.004734E+00      8.658245E-01 	 0.054907   0.209112
0.060     0.062170     1.180925E+00      1.022704E-01 	 0.059233   0.063177
0.100     0.099140     2.888973E-01      2.269558E-02 	 0.063663   0.046029
0.140     0.138748     7.581088E-02      6.769433E-03 	 0.068125   0.057726
0.180     0.177804     2.005613E-02      2.485432E-03 	 0.071465   0.101242
0.220     0.217658     8.634542E-03      1.497129E-03 	 0.073165   0.157195
0.260     0.257537     2.780870E-03      8.286055E-04 	 0.071625   0.289230
0.300	  nan	       nan		 nan		 nan	    nan
0.340	  nan	       nan		 nan		 nan   	    nan
0.380	  nan	       nan		 nan		 nan   	    nan
0.420	  nan	       nan		 nan		 nan        nan     
0.460     0.464195     9.603992E-05      4.388567E-05 	 0.050749   0.454126
0.500     0.501928     5.999449E-05      1.719067E-05 	 0.050733   0.282010
0.540     0.540699     4.240767E-05      1.002801E-05 	 0.050746   0.230958
0.580     0.582042     1.865611E-05      5.072009E-06 	 0.053190   0.266615
0.620     0.620893     2.272447E-05      4.440191E-06 	 0.054657   0.187592
0.660     0.660069     1.233506E-05      2.753581E-06 	 0.053560   0.216711
0.700     0.699596     1.240113E-05      2.375605E-06 	 0.055163   0.183449
0.740     0.739075     9.996616E-06      1.991183E-06 	 0.055468   0.191307
0.780     0.779055     1.159671E-05      2.194308E-06 	 0.054679   0.181145
0.820     0.818674     6.113887E-06      1.484592E-06 	 0.056337   0.236197
0.860     0.858392     7.109161E-06      1.636629E-06 	 0.056878   0.223077
0.900     0.898556     4.189360E-06      1.333139E-06 	 0.055110   0.313412
0.940     0.938321     3.556950E-06      1.274546E-06 	 0.055856   0.353945
0.980	  nan	       nan		 nan		 nan	       nan
1.020	  nan	       nan		 nan		 nan	       nan
1.060	  nan	       nan 		 nan		 nan	       nan
1.100	  nan	       nan		 nan		 nan	       nan
1.140	  nan	       nan		 nan		 nan	       nan
1.180	  nan	       nan		 nan		 nan	       nan
