# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : x-Bjorken (2D Average) 
# ybins      : 30 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 19 
# xlabel     :  #theta_{rq} [deg] 
# ybin_width : 0.040 
# xbin_width : 10.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     92,         8,         4,            75,        70,        80,        0.14,      0.12,        0.16,      1.0551,     0.0231426
     93,         9,         4,            85,        80,        90,        0.14,      0.12,        0.16,    0.993603,     0.0315494
     94,        10,         4,            95,        90,       100,        0.14,      0.12,        0.16,    0.948578,      0.044617
     95,        11,         4,           105,       100,       110,        0.14,      0.12,        0.16,     0.92233,     0.0588432
     96,        12,         4,           115,       110,       120,        0.14,      0.12,        0.16,    0.909353,     0.0721678
     97,        13,         4,           125,       120,       130,        0.14,      0.12,        0.16,    0.901332,     0.0892957
     98,        14,         4,           135,       130,       140,        0.14,      0.12,        0.16,    0.901062,      0.115983
     99,        15,         4,           145,       140,       150,        0.14,      0.12,        0.16,    0.896228,      0.168521
    100,        16,         4,           155,       150,       160,        0.14,      0.12,        0.16,    0.894465,      0.188732
    101,        17,         4,           165,       160,       170,        0.14,      0.12,        0.16,    0.894147,      0.239777
    102,        18,         4,           175,       170,       180,        0.14,      0.12,        0.16,    0.924273,      0.461078
    103,        19,         4,           185,       180,       190,        0.14,      0.12,        0.16,           0,             0
    106,         1,         5,             5,         0,        10,        0.18,      0.16,         0.2,     1.07831,       0.32479
    107,         2,         5,            15,        10,        20,        0.18,      0.16,         0.2,      1.0866,      0.181641
    108,         3,         5,            25,        20,        30,        0.18,      0.16,         0.2,     1.11515,       0.10181
    109,         4,         5,            35,        30,        40,        0.18,      0.16,         0.2,     1.13179,     0.0606621
    110,         5,         5,            45,        40,        50,        0.18,      0.16,         0.2,     1.14436,     0.0356674
    111,         6,         5,            55,        50,        60,        0.18,      0.16,         0.2,     1.13897,      0.023499
    112,         7,         5,            65,        60,        70,        0.18,      0.16,         0.2,     1.11095,     0.0192195
    113,         8,         5,            75,        70,        80,        0.18,      0.16,         0.2,     1.05499,     0.0243719
    114,         9,         5,            85,        80,        90,        0.18,      0.16,         0.2,    0.982051,     0.0344198
    115,        10,         5,            95,        90,       100,        0.18,      0.16,         0.2,    0.941013,     0.0522034
    116,        11,         5,           105,       100,       110,        0.18,      0.16,         0.2,    0.921117,     0.0670798
    117,        12,         5,           115,       110,       120,        0.18,      0.16,         0.2,    0.900313,     0.0832607
    118,        13,         5,           125,       120,       130,        0.18,      0.16,         0.2,    0.899052,      0.111683
    119,        14,         5,           135,       130,       140,        0.18,      0.16,         0.2,    0.890732,      0.150245
    120,        15,         5,           145,       140,       150,        0.18,      0.16,         0.2,     0.89686,      0.216891
    121,        16,         5,           155,       150,       160,        0.18,      0.16,         0.2,    0.888376,       0.24733
    122,        17,         5,           165,       160,       170,        0.18,      0.16,         0.2,    0.902123,      0.373138
    123,        18,         5,           175,       170,       180,        0.18,      0.16,         0.2,    0.885449,      0.667185
    124,        19,         5,           185,       180,       190,        0.18,      0.16,         0.2,           0,             0
    127,         1,         6,             5,         0,        10,        0.22,       0.2,        0.24,     1.08545,      0.306922
    128,         2,         6,            15,        10,        20,        0.22,       0.2,        0.24,     1.11697,      0.132646
    129,         3,         6,            25,        20,        30,        0.22,       0.2,        0.24,     1.14899,     0.0717835
    130,         4,         6,            35,        30,        40,        0.22,       0.2,        0.24,     1.17011,     0.0398538
    131,         5,         6,            45,        40,        50,        0.22,       0.2,        0.24,      1.1768,     0.0244431
