# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 60   | xlabel: 4-Momentum Transfer, Q^2 (GeV^2) 
# xbin width = 0.050 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1         2.525       2.5      2.55           0             0
      2         2         2.575      2.55       2.6           0             0
      3         3         2.625       2.6      2.65           0             0
      4         4         2.675      2.65       2.7           0             0
      5         5         2.725       2.7      2.75           0             0
      6         6         2.775      2.75       2.8   0.0103007    0.00188008
      7         7         2.825       2.8      2.85    0.121859    0.00696109
      8         8         2.875      2.85       2.9    0.629986     0.0190412
      9         9         2.925       2.9      2.95     2.07949     0.0429576
     10        10         2.975      2.95         3     5.29578     0.0996421
     11        11         3.025         3      3.05     13.6993      0.344526
     12        12         3.075      3.05       3.1     34.1661      0.892563
     13        13         3.125       3.1      3.15     78.2276       1.86959
     14        14         3.175      3.15       3.2     134.993       3.08773
     15        15         3.225       3.2      3.25     192.502       4.35212
     16        16         3.275      3.25       3.3     273.909        6.4345
     17        17         3.325       3.3      3.35     344.992        8.4299
     18        18         3.375      3.35       3.4     445.885       11.9761
     19        19         3.425       3.4      3.45     583.621       16.9417
     20        20         3.475      3.45       3.5      762.47       23.3926
     21        21         3.525       3.5      3.55     1058.87       34.7351
     22        22         3.575      3.55       3.6      1358.2       45.1625
     23        23         3.625       3.6      3.65      1900.8       64.3718
     24        24         3.675      3.65       3.7     2463.48       87.4198
     25        25         3.725       3.7      3.75     3244.22       113.685
     26        26         3.775      3.75       3.8     3965.31       133.996
     27        27         3.825       3.8      3.85     4545.84       149.309
     28        28         3.875      3.85       3.9     4974.84       150.389
     29        29         3.925       3.9      3.95     5147.25       148.693
     30        30         3.975      3.95         4     4861.24       136.722
     31        31         4.025         4      4.05     4695.35       127.084
     32        32         4.075      4.05       4.1     4233.32        113.11
     33        33         4.125       4.1      4.15     3853.75       98.2527
     34        34         4.175      4.15       4.2     3326.07       82.4808
     35        35         4.225       4.2      4.25      2806.1       69.4489
     36        36         4.275      4.25       4.3        2345       57.9943
     37        37         4.325       4.3      4.35     2042.31       46.8602
     38        38         4.375      4.35       4.4      1710.7       40.2535
     39        39         4.425       4.4      4.45        1455       31.5516
     40        40         4.475      4.45       4.5     1161.94       24.6597
     41        41         4.525       4.5      4.55     983.536       20.5631
     42        42         4.575      4.55       4.6     806.523       16.0373
     43        43         4.625       4.6      4.65     653.044       12.9528
     44        44         4.675      4.65       4.7     532.234        10.221
     45        45         4.725       4.7      4.75     441.871       8.30778
     46        46         4.775      4.75       4.8     340.912       6.44327
     47        47         4.825       4.8      4.85     235.051       4.52878
     48        48         4.875      4.85       4.9     153.472       2.98237
     49        49         4.925       4.9      4.95     88.4322       1.80853
     50        50         4.975      4.95         5     44.6631       1.02562
     51        51         5.025         5      5.05     19.6518       0.56814
     52        52         5.075      5.05       5.1     5.87195      0.269714
     53        53         5.125       5.1      5.15    0.616992     0.0789033
     54        54         5.175      5.15       5.2   0.0360896     0.0164501
     55        55         5.225       5.2      5.25  0.00155958    0.00155958
     56        56         5.275      5.25       5.3           0             0
     57        57         5.325       5.3      5.35           0             0
     58        58         5.375      5.35       5.4           0             0
     59        59         5.425       5.4      5.45           0             0
     60        60         5.475      5.45       5.5           0             0
