# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 40   | ylabel: Missing Momentum, P_{m} [GeV/c] 
# xbins      = 19   | xlabel: #theta_{rq} [deg] 
# ybin width = 0.040 
# xbin width = 10.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib, xb, yb,  x0,  xlow,  xup,  y0,  ylow,  yup,  zcont,  zcont_err,  
70, 7, 3, 65.0, 60.0, 70.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
71, 8, 3, 75.0, 70.0, 80.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
72, 9, 3, 85.0, 80.0, 90.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
73, 10, 3, 95.0, 90.0, 100.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
74, 11, 3, 105.0, 100.0, 110.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
75, 12, 3, 115.0, 110.0, 120.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
76, 13, 3, 125.0, 120.0, 130.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
77, 14, 3, 135.0, 130.0, 140.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
78, 15, 3, 145.0, 140.0, 150.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
79, 16, 3, 155.0, 150.0, 160.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
80, 17, 3, 165.0, 160.0, 170.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
81, 18, 3, 175.0, 170.0, 180.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
82, 19, 3, 185.0, 180.0, 190.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
85, 1, 4, 5.0, 0.0, 10.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
86, 2, 4, 15.0, 10.0, 20.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
87, 3, 4, 25.0, 20.0, 30.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
88, 4, 4, 35.0, 30.0, 40.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
89, 5, 4, 45.0, 40.0, 50.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
90, 6, 4, 55.0, 50.0, 60.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
91, 7, 4, 65.0, 60.0, 70.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
92, 8, 4, 75.0, 70.0, 80.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
93, 9, 4, 85.0, 80.0, 90.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
94, 10, 4, 95.0, 90.0, 100.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
95, 11, 4, 105.0, 100.0, 110.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
96, 12, 4, 115.0, 110.0, 120.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
97, 13, 4, 125.0, 120.0, 130.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
98, 14, 4, 135.0, 130.0, 140.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
99, 15, 4, 145.0, 140.0, 150.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
100, 16, 4, 155.0, 150.0, 160.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
101, 17, 4, 165.0, 160.0, 170.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
102, 18, 4, 175.0, 170.0, 180.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
103, 19, 4, 185.0, 180.0, 190.0, 0.1, 0.1, 0.1, 0.000E+00, 0.000E+00 
106, 1, 5, 5.0, 0.0, 10.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
107, 2, 5, 15.0, 10.0, 20.0, 0.2, 0.1, 0.2, 1.527E-02, 1.527E-02 
108, 3, 5, 25.0, 20.0, 30.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
109, 4, 5, 35.0, 30.0, 40.0, 0.2, 0.1, 0.2, 4.473E-02, 4.473E-02 
110, 5, 5, 45.0, 40.0, 50.0, 0.2, 0.1, 0.2, 1.721E-02, 1.721E-02 
111, 6, 5, 55.0, 50.0, 60.0, 0.2, 0.1, 0.2, 4.422E-02, 4.422E-02 
112, 7, 5, 65.0, 60.0, 70.0, 0.2, 0.1, 0.2, 6.146E-02, 4.346E-02 
113, 8, 5, 75.0, 70.0, 80.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
114, 9, 5, 85.0, 80.0, 90.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
115, 10, 5, 95.0, 90.0, 100.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
116, 11, 5, 105.0, 100.0, 110.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
117, 12, 5, 115.0, 110.0, 120.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
118, 13, 5, 125.0, 120.0, 130.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
119, 14, 5, 135.0, 130.0, 140.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
120, 15, 5, 145.0, 140.0, 150.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
121, 16, 5, 155.0, 150.0, 160.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
122, 17, 5, 165.0, 160.0, 170.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
123, 18, 5, 175.0, 170.0, 180.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
124, 19, 5, 185.0, 180.0, 190.0, 0.2, 0.1, 0.2, 0.000E+00, 0.000E+00 
127, 1, 6, 5.0, 0.0, 10.0, 0.2, 0.2, 0.2, 0.000E+00, 0.000E+00 
128, 2, 6, 15.0, 10.0, 20.0, 0.2, 0.2, 0.2, 2.184E-02, 1.003E-02 
129, 3, 6, 25.0, 20.0, 30.0, 0.2, 0.2, 0.2, 7.150E-02, 2.301E-02 
130, 4, 6, 35.0, 30.0, 40.0, 0.2, 0.2, 0.2, 1.841E-01, 4.176E-02 
131, 5, 6, 45.0, 40.0, 50.0, 0.2, 0.2, 0.2, 3.513E-01, 6.715E-02 
132, 6, 6, 55.0, 50.0, 60.0, 0.2, 0.2, 0.2, 2.842E-01, 6.021E-02 
133, 7, 6, 65.0, 60.0, 70.0, 0.2, 0.2, 0.2, 1.085E-01, 3.802E-02 
134, 8, 6, 75.0, 70.0, 80.0, 0.2, 0.2, 0.2, 0.000E+00, 0.000E+00 
135, 9, 6, 85.0, 80.0, 90.0, 0.2, 0.2, 0.2, 0.000E+00, 0.000E+00 
136, 10, 6, 95.0, 90.0, 100.0, 0.2, 0.2, 0.2, 0.000E+00, 0.000E+00 
137, 11, 6, 105.0, 100.0, 110.0, 0.2, 0.2, 0.2, 0.000E+00, 0.000E+00 
138, 12, 6, 115.0, 110.0, 120.0, 0.2, 0.2, 0.2, 0.000E+00, 0.000E+00 
139, 13, 6, 125.0, 120.0, 130.0, 0.2, 0.2, 0.2, 0.000E+00, 0.000E+00 
140, 14, 6, 135.0, 130.0, 140.0, 0.2, 0.2, 0.2, 0.000E+00, 0.000E+00 
141, 15, 6, 145.0, 140.0, 150.0, 0.2, 0.2, 0.2, 0.000E+00, 0.000E+00 
