# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 10.600 GeV
# 
# Previous D(e,e'p) commissioning experiment low-pmiss kin (Pr = 80 MeV setting):
# Ei = 10.6005, kf = 8.5342 GeV/c, th_e = 12.194 deg, Pf = 2.840 GeV/c, th_p = 38.896 deg 
# Q2 = 4.0822 GeV^2, xbj = 1.0528 
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.0100 	 1.0000 	 8.4684 	 12.1174 	 2.9206 	 37.6477 	 2.9229 	 37.4573 	 76.0607 	 0.1904 	 4.0000
  0.0200 	 1.0000 	 8.4684 	 12.1174 	 2.9204 	 37.8462 	 2.9229 	 37.4573 	 82.4502 	 0.3890 	 4.0000
  0.0300 	 1.0000 	 8.4684 	 12.1174 	 2.9201 	 38.0430 	 2.9229 	 37.4573 	 84.2754 	 0.5857 	 4.0000
  0.0400 	 1.0000 	 8.4684 	 12.1174 	 2.9197 	 38.2392 	 2.9229 	 37.4573 	 84.9762 	 0.7820 	 4.0000
  0.0400 	 1.0500 	 8.5699 	 12.0451 	 2.8129 	 39.1843 	 2.8498 	 38.8700 	 22.6957 	 0.3144 	 4.0000
  0.0500 	 1.0000 	 8.4684 	 12.1174 	 2.9192 	 38.4353 	 2.9229 	 37.4573 	 85.2291 	 0.9780 	 4.0000
  0.0500 	 1.0500 	 8.5699 	 12.0451 	 2.8124 	 39.5424 	 2.8498 	 38.8700 	 41.3085 	 0.6724 	 4.0000
  0.0600 	 1.0000 	 8.4684 	 12.1174 	 2.9186 	 38.6312 	 2.9229 	 37.4573 	 85.2584 	 1.1739 	 4.0000
  0.0600 	 1.0500 	 8.5699 	 12.0451 	 2.8118 	 39.8101 	 2.8498 	 38.8700 	 50.2589 	 0.9402 	 4.0000
  0.0700 	 1.0000 	 8.4684 	 12.1174 	 2.9179 	 38.8270 	 2.9229 	 37.4573 	 85.1602 	 1.3698 	 4.0000
  0.0700 	 1.0500 	 8.5699 	 12.0451 	 2.8111 	 40.0507 	 2.8498 	 38.8700 	 55.8403 	 1.1807 	 4.0000
  0.0800 	 1.0000 	 8.4684 	 12.1174 	 2.9170 	 39.0228 	 2.9229 	 37.4573 	 84.9825 	 1.5655 	 4.0000
  0.0800 	 1.0500 	 8.5699 	 12.0451 	 2.8102 	 40.2780 	 2.8498 	 38.8700 	 59.6723 	 1.4080 	 4.0000
  0.0800 	 1.1000 	 8.6622 	 11.9806 	 2.7128 	 40.9429 	 2.7848 	 40.2170 	 25.4411 	 0.7259 	 4.0000
  0.0900 	 1.0000 	 8.4684 	 12.1174 	 2.9161 	 39.2185 	 2.9229 	 37.4573 	 84.7521 	 1.7612 	 4.0000
  0.0900 	 1.0500 	 8.5699 	 12.0451 	 2.8093 	 40.4976 	 2.8498 	 38.8700 	 62.4476 	 1.6276 	 4.0000
  0.0900 	 1.1000 	 8.6622 	 11.9806 	 2.7118 	 41.3152 	 2.7848 	 40.2170 	 35.2740 	 1.0982 	 4.0000
  0.1000 	 1.0000 	 8.4684 	 12.1174 	 2.9150 	 39.4141 	 2.9229 	 37.4573 	 84.4848 	 1.9568 	 4.0000
  0.1000 	 1.0500 	 8.5699 	 12.0451 	 2.8082 	 40.7122 	 2.8498 	 38.8700 	 64.5266 	 1.8423 	 4.0000
