# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 11.000 GeV
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
Pr,xbj,kf,th_e,Pf,th_p,q,th_q,th_rq,th_pq,Q2
1.0000,1.3000,9.1554,12.1341,2.1525,60.7968,2.8112,43.2022,40.5911,17.5946,4.5000
1.0000,1.3500,9.2237,12.0889,2.0778,61.6646,2.7668,44.2802,38.3739,17.3843,4.5000
1.0000,1.4000,9.2871,12.0474,2.0079,62.4047,2.7265,45.3119,36.1692,17.0928,4.5000
1.0000,1.4500,9.3462,12.0091,1.9425,63.0155,2.6898,46.2996,33.9678,16.7159,4.5000
1.0000,1.5000,9.4013,11.9737,1.8811,63.4940,2.6563,47.2456,31.7588,16.2483,4.5000
1.0000,1.5500,9.4529,11.9409,1.8233,63.8347,2.6256,48.1520,29.5289,15.6827,4.5000
1.0000,1.6000,9.5012,11.9104,1.7688,64.0296,2.5974,49.0208,27.2617,15.0088,4.5000
1.0000,1.6500,9.5467,11.8819,1.7172,64.0662,2.5714,49.8540,24.9354,14.2122,4.5000
1.0000,1.7000,9.5894,11.8553,1.6683,63.9256,2.5475,50.6533,22.5203,13.2722,4.5000
1.0000,1.7500,9.6297,11.8304,1.6219,63.5775,2.5254,51.4206,19.9719,12.1569,4.5000
1.0000,1.8000,9.6678,11.8070,1.5778,62.9709,2.5050,52.1574,17.2184,10.8135,4.5000
1.0000,1.8500,9.7038,11.7850,1.5358,62.0093,2.4860,52.8654,14.1261,9.1440,4.5000
1.0000,1.9000,9.7379,11.7642,1.4956,60.4641,2.4684,53.5459,10.3786,6.9182,4.5000
1.0000,1.9500,9.7702,11.7447,1.4573,57.3160,2.4520,54.2004,4.5429,3.1156,4.5000
1.2000,1.3000,9.1554,12.1341,1.9857,64.4447,2.8112,43.2022,36.8362,21.2424,4.5000
1.2000,1.3500,9.2237,12.0889,1.9098,65.3349,2.7668,44.2802,34.8736,21.0547,4.5000
1.2000,1.4000,9.2871,12.0474,1.8389,66.0885,2.7265,45.3119,32.9277,20.7766,4.5000
1.2000,1.4500,9.3462,12.0091,1.7723,66.7034,2.6898,46.2996,30.9912,20.4038,4.5000
1.2000,1.5000,9.4013,11.9737,1.7097,67.1757,2.6563,47.2456,29.0555,19.9301,4.5000
1.2000,1.5500,9.4529,11.9409,1.6506,67.4996,2.6256,48.1520,27.1104,19.3476,4.5000
1.2000,1.6000,9.5012,11.9104,1.5948,67.6663,2.5974,49.0208,25.1436,18.6455,4.5000
1.2000,1.6500,9.5467,11.8819,1.5418,67.6629,2.5714,49.8540,23.1394,17.8089,4.5000
1.2000,1.7000,9.5894,11.8553,1.4916,67.4705,2.5475,50.6533,21.0767,16.8171,4.5000
1.2000,1.7500,9.6297,11.8304,1.4437,67.0604,2.5254,51.4206,18.9260,15.6398,4.5000
1.2000,1.8000,9.6678,11.8070,1.3981,66.3871,2.5050,52.1574,16.6422,14.2296,4.5000
1.2000,1.8500,9.7038,11.7850,1.3545,65.3721,2.4860,52.8654,14.1490,12.5067,4.5000
1.2000,1.9000,9.7379,11.7642,1.3128,63.8591,2.4684,53.5459,11.2952,10.3132,4.5000
1.2000,1.9500,9.7702,11.7447,1.2729,61.4294,2.4520,54.2004,7.6704,7.2290,4.5000
