# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 12.000 GeV
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
Pr,xbj,kf,th_e,Pf,th_p,q,th_q,th_rq,th_pq,Q2
1.0000,1.3000,10.1554,11.0271,2.1525,61.3020,2.8112,43.7073,40.5911,17.5946,4.5000
1.0000,1.3500,10.2237,10.9901,2.0778,62.1679,2.7668,44.7835,38.3739,17.3843,4.5000
1.0000,1.4000,10.2871,10.9560,2.0079,62.9063,2.7265,45.8136,36.1692,17.0928,4.5000
1.0000,1.4500,10.3462,10.9246,1.9425,63.5157,2.6898,46.7998,33.9678,16.7159,4.5000
1.0000,1.5000,10.4013,10.8955,1.8811,63.9927,2.6563,47.7444,31.7588,16.2483,4.5000
1.0000,1.5500,10.4529,10.8685,1.8233,64.3321,2.6256,48.6494,29.5289,15.6827,4.5000
1.0000,1.6000,10.5012,10.8434,1.7688,64.5258,2.5974,49.5170,27.2617,15.0088,4.5000
1.0000,1.6500,10.5467,10.8200,1.7172,64.5613,2.5714,50.3491,24.9354,14.2122,4.5000
1.0000,1.7000,10.5894,10.7981,1.6683,64.4196,2.5475,51.1473,22.5203,13.2722,4.5000
1.0000,1.7500,10.6297,10.7775,1.6219,64.0705,2.5254,51.9136,19.9719,12.1569,4.5000
1.0000,1.8000,10.6678,10.7582,1.5778,63.4630,2.5050,52.6495,17.2184,10.8135,4.5000
1.0000,1.8500,10.7038,10.7400,1.5358,62.5005,2.4860,53.3566,14.1261,9.1440,4.5000
1.0000,1.9000,10.7379,10.7229,1.4956,60.9544,2.4684,54.0363,10.3786,6.9182,4.5000
1.0000,1.9500,10.7702,10.7067,1.4573,57.8056,2.4520,54.6900,4.5429,3.1156,4.5000
1.2000,1.3000,10.1554,11.0271,1.9857,64.9498,2.8112,43.7073,36.8362,21.2424,4.5000
1.2000,1.3500,10.2237,10.9901,1.9098,65.8382,2.7668,44.7835,34.8736,21.0547,4.5000
1.2000,1.4000,10.2871,10.9560,1.8389,66.5902,2.7265,45.8136,32.9277,20.7766,4.5000
1.2000,1.4500,10.3462,10.9246,1.7723,67.2035,2.6898,46.7998,30.9912,20.4038,4.5000
1.2000,1.5000,10.4013,10.8955,1.7097,67.6745,2.6563,47.7444,29.0555,19.9301,4.5000
1.2000,1.5500,10.4529,10.8685,1.6506,67.9970,2.6256,48.6494,27.1104,19.3476,4.5000
1.2000,1.6000,10.5012,10.8434,1.5948,68.1625,2.5974,49.5170,25.1436,18.6455,4.5000
1.2000,1.6500,10.5467,10.8200,1.5418,68.1580,2.5714,50.3491,23.1394,17.8089,4.5000
1.2000,1.7000,10.5894,10.7981,1.4916,67.9645,2.5475,51.1473,21.0767,16.8171,4.5000
1.2000,1.7500,10.6297,10.7775,1.4437,67.5534,2.5254,51.9136,18.9260,15.6398,4.5000
1.2000,1.8000,10.6678,10.7582,1.3981,66.8791,2.5050,52.6495,16.6422,14.2296,4.5000
1.2000,1.8500,10.7038,10.7400,1.3545,65.8633,2.4860,53.3566,14.1490,12.5067,4.5000
1.2000,1.9000,10.7379,10.7229,1.3128,64.3494,2.4684,54.0363,11.2952,10.3132,4.5000
1.2000,1.9500,10.7702,10.7067,1.2729,61.9189,2.4520,54.6900,7.6704,7.2290,4.5000
