# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 10.549 GeV
# 
# Previous D(e,e'p) commissioning experiment low-pmiss kin (Pr = 80 MeV setting):
# Ei = 10.6005, kf = 8.5342 GeV/c, th_e = 12.194 deg, Pf = 2.840 GeV/c, th_p = 38.896 deg 
# Q2 = 4.0822 GeV^2, xbj = 1.0528 
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.3000 	 1.3000 	 8.4994 	 13.5619 	 2.7851 	 44.3997 	 3.0333 	 41.0768 	 32.5553 	 3.3229 	 5.0000
  0.3000 	 1.3500 	 8.5753 	 13.5015 	 2.7049 	 44.4584 	 2.9825 	 42.1654 	 21.1452 	 2.2930 	 5.0000
  0.4000 	 1.3000 	 8.4994 	 13.5619 	 2.7483 	 46.6486 	 3.0333 	 41.0768 	 41.8442 	 5.5719 	 5.0000
  0.4000 	 1.3500 	 8.5753 	 13.5015 	 2.6679 	 47.1855 	 2.9825 	 42.1654 	 35.7071 	 5.0200 	 5.0000
  0.4000 	 1.4000 	 8.6458 	 13.4461 	 2.5931 	 47.4750 	 2.9363 	 43.2092 	 28.8296 	 4.2658 	 5.0000
  0.4000 	 1.4500 	 8.7114 	 13.3951 	 2.5232 	 47.3789 	 2.8942 	 44.2102 	 20.4071 	 3.1688 	 5.0000
  0.4000 	 1.5000 	 8.7727 	 13.3481 	 2.4578 	 46.0352 	 2.8557 	 45.1704 	 5.3214 	 0.8648 	 5.0000
  0.5000 	 1.3000 	 8.4994 	 13.5619 	 2.7026 	 48.5877 	 3.0333 	 41.0768 	 44.9552 	 7.5109 	 5.0000
  0.5000 	 1.3500 	 8.5753 	 13.5015 	 2.6222 	 49.2714 	 2.9825 	 42.1654 	 40.4473 	 7.1060 	 5.0000
  0.5000 	 1.4000 	 8.6458 	 13.4461 	 2.5472 	 49.7893 	 2.9363 	 43.2092 	 35.7161 	 6.5801 	 5.0000
  0.5000 	 1.4500 	 8.7114 	 13.3951 	 2.4771 	 50.1120 	 2.8942 	 44.2102 	 30.6246 	 5.9018 	 5.0000
  0.5000 	 1.5000 	 8.7727 	 13.3481 	 2.4115 	 50.1816 	 2.8557 	 45.1704 	 24.9160 	 5.0112 	 5.0000
  0.5000 	 1.5500 	 8.8300 	 13.3045 	 2.3499 	 49.8550 	 2.8205 	 46.0918 	 17.9666 	 3.7632 	 5.0000
  0.5000 	 1.6000 	 8.8837 	 13.2640 	 2.2920 	 48.3928 	 2.7880 	 46.9764 	 6.5064 	 1.4165 	 5.0000
  0.6000 	 1.3000 	 8.4994 	 13.5619 	 2.6492 	 50.4031 	 3.0333 	 41.0768 	 45.6863 	 9.3263 	 5.0000
  0.6000 	 1.3500 	 8.5753 	 13.5015 	 2.5685 	 51.1641 	 2.9825 	 42.1654 	 42.0337 	 8.9987 	 5.0000
  0.6000 	 1.4000 	 8.6458 	 13.4461 	 2.4933 	 51.7850 	 2.9363 	 43.2092 	 38.2914 	 8.5758 	 5.0000
  0.6000 	 1.4500 	 8.7114 	 13.3951 	 2.4231 	 52.2536 	 2.8942 	 44.2102 	 34.4075 	 8.0435 	 5.0000
  0.6000 	 1.5000 	 8.7727 	 13.3481 	 2.3573 	 52.5496 	 2.8557 	 45.1704 	 30.3041 	 7.3792 	 5.0000
  0.6000 	 1.5500 	 8.8300 	 13.3045 	 2.2955 	 52.6365 	 2.8205 	 46.0918 	 25.8523 	 6.5446 	 5.0000
  0.6000 	 1.6000 	 8.8837 	 13.2640 	 2.2373 	 52.4414 	 2.7880 	 46.9764 	 20.8016 	 5.4650 	 5.0000
  0.6000 	 1.6500 	 8.9342 	 13.2263 	 2.1825 	 51.7738 	 2.7582 	 47.8258 	 14.5040 	 3.9480 	 5.0000
  0.7000 	 1.3000 	 8.4994 	 13.5619 	 2.5888 	 52.1501 	 3.0333 	 41.0768 	 45.2597 	 11.0734 	 5.0000
  0.7000 	 1.3500 	 8.5753 	 13.5015 	 2.5079 	 52.9599 	 2.9825 	 42.1654 	 42.1430 	 10.7945 	 5.0000
  0.7000 	 1.4000 	 8.6458 	 13.4461 	 2.4325 	 53.6406 	 2.9363 	 43.2092 	 38.9885 	 10.4314 	 5.0000
  0.7000 	 1.4500 	 8.7114 	 13.3951 	 2.3620 	 54.1857 	 2.8942 	 44.2102 	 35.7687 	 9.9755 	 5.0000
  0.7000 	 1.5000 	 8.7727 	 13.3481 	 2.2959 	 54.5849 	 2.8557 	 45.1704 	 32.4467 	 9.4145 	 5.0000
  0.7000 	 1.5500 	 8.8300 	 13.3045 	 2.2339 	 54.8213 	 2.8205 	 46.0918 	 28.9694 	 8.7294 	 5.0000
  0.7000 	 1.6000 	 8.8837 	 13.2640 	 2.1755 	 54.8663 	 2.7880 	 46.9764 	 25.2538 	 7.8900 	 5.0000
  0.7000 	 1.6500 	 8.9342 	 13.2263 	 2.1205 	 54.6678 	 2.7582 	 47.8258 	 21.1542 	 6.8420 	 5.0000
  0.8000 	 1.3000 	 8.4994 	 13.5619 	 2.5223 	 53.8542 	 3.0333 	 41.0768 	 44.2118 	 12.7774 	 5.0000
  0.8000 	 1.3500 	 8.5753 	 13.5015 	 2.4412 	 54.6977 	 2.9825 	 42.1654 	 41.4633 	 12.5323 	 5.0000
  0.8000 	 1.4000 	 8.6458 	 13.4461 	 2.3655 	 55.4171 	 2.9363 	 43.2092 	 38.7013 	 12.2079 	 5.0000
  0.8000 	 1.4500 	 8.7114 	 13.3951 	 2.2948 	 56.0083 	 2.8942 	 44.2102 	 35.9085 	 11.7981 	 5.0000
  0.8000 	 1.5000 	 8.7727 	 13.3481 	 2.2284 	 56.4649 	 2.8557 	 45.1704 	 33.0626 	 11.2945 	 5.0000
  0.8000 	 1.5500 	 8.8300 	 13.3045 	 2.1661 	 56.7768 	 2.8205 	 46.0918 	 30.1341 	 10.6849 	 5.0000
  0.8000 	 1.6000 	 8.8837 	 13.2640 	 2.1075 	 56.9280 	 2.7880 	 46.9764 	 27.0813 	 9.9516 	 5.0000
  0.8000 	 1.6500 	 8.9342 	 13.2263 	 2.0521 	 56.8921 	 2.7582 	 47.8258 	 23.8413 	 9.0663 	 5.0000
  0.9000 	 1.3000 	 8.4994 	 13.5619 	 2.4507 	 55.5304 	 3.0333 	 41.0768 	 42.8156 	 14.4536 	 5.0000
  0.9000 	 1.3500 	 8.5753 	 13.5015 	 2.3692 	 56.3989 	 2.9825 	 42.1654 	 40.3344 	 14.2335 	 5.0000
  0.9000 	 1.4000 	 8.6458 	 13.4461 	 2.2932 	 57.1446 	 2.9363 	 43.2092 	 37.8528 	 13.9354 	 5.0000
  0.9000 	 1.4500 	 8.7114 	 13.3951 	 2.2221 	 57.7650 	 2.8942 	 44.2102 	 35.3580 	 13.5548 	 5.0000
  0.9000 	 1.5000 	 8.7727 	 13.3481 	 2.1555 	 58.2553 	 2.8557 	 45.1704 	 32.8346 	 13.0849 	 5.0000
  0.9000 	 1.5500 	 8.8300 	 13.3045 	 2.0929 	 58.6086 	 2.8205 	 46.0918 	 30.2631 	 12.5168 	 5.0000
  0.9000 	 1.6000 	 8.8837 	 13.2640 	 2.0338 	 58.8137 	 2.7880 	 46.9764 	 27.6175 	 11.8373 	 5.0000
  0.9000 	 1.6500 	 8.9342 	 13.2263 	 1.9781 	 58.8533 	 2.7582 	 47.8258 	 24.8611 	 11.0275 	 5.0000
  1.0000 	 1.3000 	 8.4994 	 13.5619 	 2.3744 	 57.1898 	 3.0333 	 41.0768 	 41.2217 	 16.1130 	 5.0000
  1.0000 	 1.3500 	 8.5753 	 13.5015 	 2.2926 	 58.0774 	 2.9825 	 42.1654 	 38.9420 	 15.9119 	 5.0000
  1.0000 	 1.4000 	 8.6458 	 13.4461 	 2.2162 	 58.8415 	 2.9363 	 43.2092 	 36.6690 	 15.6323 	 5.0000
  1.0000 	 1.4500 	 8.7114 	 13.3951 	 2.1448 	 59.4801 	 2.8942 	 44.2102 	 34.3929 	 15.2699 	 5.0000
  1.0000 	 1.5000 	 8.7727 	 13.3481 	 2.0778 	 59.9895 	 2.8557 	 45.1704 	 32.1017 	 14.8191 	 5.0000
  1.0000 	 1.5500 	 8.8300 	 13.3045 	 2.0147 	 60.3640 	 2.8205 	 46.0918 	 29.7808 	 14.2721 	 5.0000
  1.0000 	 1.6000 	 8.8837 	 13.2640 	 1.9553 	 60.5946 	 2.7880 	 46.9764 	 27.4114 	 13.6182 	 5.0000
  1.0000 	 1.6500 	 8.9342 	 13.2263 	 1.8992 	 60.6679 	 2.7582 	 47.8258 	 24.9684 	 12.8421 	 5.0000
