# histogram parameters 
# dx = 10.0
# dy = 0.08
# nx = 19
# ny = 15
# xmin = -5.0
# ymin = 0.0

# Averaged Kinematics Numerical File
#
# NOTE: averaged quantities are determined from SIMC @ the vertex
# calculated quantities are calculated external to SIMC assuming
# (using averged quantities as input, if needed)
#
# id_bin     : 2d bin number
# id_xbin    : xbin number
# id_ybin    : ybin number
# thnq_b     : central theta_nq value (e.g. 5 15 25 35 . . . deg)
# pm_b       : central missing momentum value (80 120 160 . . . MeV)
# Ei         : average beam energy [MeV]
# kf         : average final e- momentum [MeV]
# the        : average final e- angle [deg]
# nu         : average energy transfer [MeV]
# nu_calc    : calculated energy transfer [MeV]
# Q2_calc    : calculated 4-momentum transfer [MeV^2]
# q_calc     : calculated 3-momentum transfer [MeV]
# Ep_calc    : calculated final proton energy [MeV]
# Pf         : average final proton momentum [MeV]
# Pm         : average missing momentum [MeV]
# Pm_calc    : calculated missing momentum [MeV]
# En_calc    : calculated recoil neutron energy [MeV]
# Pf_Par_q   : calculated Pf component (q-frame) parallel to q
# Pf_Perp_q  : calculated Pf component (q-frame) perpendicular to q
# thpq       : avergaed angle between proton and q [deg]
# thpq_calc  : calculated angle between proton and q [deg]
# thpq_cm    : calculated angle between proton and q in c.m. [deg]
# thnq       : averaged angle between recoil neutron and q [deg]
# thnq_calc  : calculated angle between recoil neutron and q [deg]
# cphi_pq    : averaged cos(angle) betweeen proton and q [deg]
# sphi_pq    : averaged sin(angle) betweeen proton and q [deg] 
# alpha_calc : calculated spectatror (neutron) light-cone momentum fraction 
# contz      : bin content for the specified (Pm thnq) bin
# 
id_bin,id_xbin,id_ybin,thnq_b,pm_b,Ei,kf,the,nu,nu_calc,Q2_calc,q_calc,Ep_calc,Pf,Pm,Pm_calc,En_calc,Pf_Par_q,Pf_Perp_q,thpq,thpq_calc,thpq_cm,thnq,thnq_calc,cphi_pq,sphi_pq,alpha_calc,contz
22,1,1,0.000,0.040,11001.590,10107.960,7.513,893.629,893.630,1909514.505,1645.627,1826.370,1566.931,78.885,78.894,942.872,1566.922,5.450,0.195,0.199,0.521,3.876,3.961,-0.682,0.731,0.920,4.896E+01
43,1,2,0.000,0.120,10999.331,10079.607,7.777,919.723,919.723,2039682.782,1698.698,1849.779,1594.154,104.696,106.275,945.557,1594.047,18.506,0.111,0.665,1.791,1.491,10.028,0.017,0.534,0.895,3.590E+01
64,1,3,0.000,0.200,10998.308,10030.793,8.450,967.514,967.515,2395198.915,1825.181,1883.771,1633.475,192.113,193.857,959.356,1633.247,27.244,0.405,0.956,2.821,3.466,8.079,-0.214,0.033,0.817,1.246E+01
85,1,4,0.000,0.280,10997.164,9994.776,8.979,1002.387,1002.388,2694054.440,1923.236,1899.449,1651.531,272.321,273.457,978.551,1651.282,28.635,0.550,0.993,3.192,3.348,6.011,-0.126,-0.098,0.752,4.288E+00
106,1,5,0.000,0.360,10997.323,9960.112,9.455,1037.212,1037.211,2976218.978,2012.965,1909.522,1663.106,350.692,351.895,1003.302,1662.751,34.360,0.696,1.184,4.140,3.289,5.603,-0.096,-0.152,0.695,1.142E+00
127,1,6,0.000,0.440,10997.279,9932.316,9.895,1064.962,1064.963,3249781.398,2093.783,1903.099,1655.727,439.112,439.970,1037.477,1655.326,36.451,0.868,1.261,4.872,3.278,4.752,-0.020,0.110,0.638,3.957E-01
148,1,7,0.000,0.520,10997.036,9924.620,10.142,1072.418,1072.416,3410980.238,2135.663,1879.662,1628.734,508.095,508.550,1068.367,1628.349,35.436,0.970,1.247,5.234,3.113,3.996,0.228,-0.091,0.597,1.105E-01
169,1,8,0.000,0.600,10997.474,9925.246,10.327,1072.227,1072.227,3536374.743,2164.728,1844.916,1588.509,577.557,577.630,1102.924,1588.133,34.571,1.126,1.247,5.743,3.102,3.431,0.207,-0.470,0.560,1.171E-02
23,2,1,10.000,0.040,11000.506,10063.916,7.574,936.591,936.590,1931659.134,1675.965,1870.756,1618.448,59.493,59.484,941.447,1618.379,14.906,0.529,0.528,1.362,14.543,14.512,-0.795,0.606,0.941,8.418E+01
44,2,2,10.000,0.120,10996.675,10060.364,7.955,936.314,936.312,2128928.713,1733.669,1863.664,1610.246,126.076,128.112,948.260,1609.905,33.095,0.858,1.178,3.236,10.998,14.971,-0.426,0.258,0.878,2.654E+02
65,2,3,10.000,0.200,10996.554,10021.332,8.445,975.223,975.223,2389927.060,1827.836,1891.996,1642.953,189.022,191.281,958.839,1642.295,46.506,1.261,1.622,4.753,11.079,14.071,-0.401,-0.028,0.823,1.205E+02
86,2,4,10.000,0.280,10997.616,9973.148,9.037,1024.459,1024.467,2722875.062,1942.269,1921.692,1677.065,271.004,272.872,978.388,1676.003,59.676,1.710,2.039,6.499,10.639,12.632,-0.279,-0.006,0.758,2.586E+01
