# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 12.000 GeV
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
Pr,xbj,kf,th_e,Pf,th_p,q,th_q,th_rq,th_pq,Q2
0.8000,1.0000,9.6020,11.3414,2.8912,50.0608,3.2016,36.1416,60.3837,13.9192,4.5000
0.8000,1.0100,9.6257,11.3274,2.8662,50.3880,3.1839,36.4278,59.8063,13.9601,4.5000
0.8000,1.0200,9.6490,11.3137,2.8417,50.7099,3.1666,36.7115,59.2315,13.9983,4.5000
0.8000,1.0300,9.6718,11.3003,2.8177,51.0265,3.1497,36.9927,58.6591,14.0338,4.5000
0.8000,1.0400,9.6942,11.2872,2.7941,51.3380,3.1332,37.2714,58.0891,14.0666,4.5000
0.8000,1.0500,9.7162,11.2744,2.7709,51.6442,3.1170,37.5475,57.5214,14.0967,4.5000
0.8000,1.0600,9.7377,11.2618,2.7481,51.9452,3.1013,37.8212,56.9559,14.1240,4.5000
0.8000,1.0700,9.7589,11.2496,2.7258,52.2411,3.0859,38.0925,56.3926,14.1485,4.5000
0.8000,1.0800,9.7796,11.2376,2.7038,52.5317,3.0709,38.3614,55.8315,14.1704,4.5000
0.8000,1.0900,9.8000,11.2259,2.6823,52.8173,3.0562,38.6278,55.2724,14.1894,4.5000
0.8000,1.1000,9.8200,11.2144,2.6611,53.0977,3.0418,38.8919,54.7154,14.2057,4.5000
0.8000,1.1100,9.8396,11.2032,2.6402,53.3729,3.0277,39.1537,54.1602,14.2193,4.5000
0.8000,1.1200,9.8589,11.1922,2.6197,53.6431,3.0140,39.4131,53.6070,14.2300,4.5000
0.8000,1.1300,9.8779,11.1814,2.5996,53.9082,3.0006,39.6702,53.0555,14.2380,4.5000
0.8000,1.1400,9.8965,11.1708,2.5798,54.1682,2.9874,39.9249,52.5058,14.2432,4.5000
0.8000,1.1500,9.9148,11.1605,2.5603,54.4231,2.9746,40.1775,51.9577,14.2456,4.5000
0.8000,1.1600,9.9327,11.1504,2.5412,54.6730,2.9620,40.4278,51.4113,14.2452,4.5000
0.8000,1.1700,9.9504,11.1404,2.5223,54.9178,2.9497,40.6758,50.8663,14.2420,4.5000
0.8000,1.1800,9.9678,11.1307,2.5038,55.1576,2.9377,40.9217,50.3228,14.2360,4.5000
0.8000,1.1900,9.9849,11.1211,2.4856,55.3924,2.9259,41.1653,49.7808,14.2271,4.5000
0.8000,1.2000,10.0016,11.1118,2.4676,55.6222,2.9143,41.4068,49.2400,14.2154,4.5000
0.8000,1.2100,10.0182,11.1026,2.4499,55.8470,2.9030,41.6462,48.7004,14.2008,4.5000
0.8000,1.2200,10.0344,11.0936,2.4325,56.0668,2.8920,41.8834,48.1620,14.1833,4.5000
0.8000,1.2300,10.0504,11.0847,2.4154,56.2815,2.8811,42.1186,47.6247,14.1630,4.5000
0.8000,1.2400,10.0661,11.0760,2.3985,56.4913,2.8705,42.3516,47.0884,14.1397,4.5000
0.8000,1.2500,10.0816,11.0675,2.3819,56.6962,2.8601,42.5826,46.5530,14.1136,4.5000
0.8000,1.2600,10.0968,11.0591,2.3655,56.8960,2.8499,42.8115,46.0184,14.0844,4.5000
0.8000,1.2700,10.1118,11.0509,2.3494,57.0909,2.8400,43.0385,45.4846,14.0524,4.5000
0.8000,1.2800,10.1265,11.0428,2.3335,57.2807,2.8302,43.2634,44.9515,14.0173,4.5000
0.8000,1.2900,10.1411,11.0349,2.3178,57.4656,2.8206,43.4864,44.4189,13.9793,4.5000
