# histogram parameters 
# dx = 20.0
# dy = 0.08
# nx = 10
# ny = 15
# xmin = 0.0
# ymin = 0.0

# Averaged Kinematics Numerical File
#
# NOTE: averaged quantities are determined from SIMC @ the vertex
# calculated quantities are calculated external to SIMC assuming
# (using averged quantities as input, if needed)
#
# id_bin     : 2d bin number
# id_xbin    : xbin number
# id_ybin    : ybin number
# thnq_b     : central theta_nq value (e.g., 5, 15, 25, 35, . . . deg)
# pm_b       : central missing momentum value (80, 120, 160, . . . MeV)
# Ei         : average beam energy [MeV]
# kf         : average final e- momentum [MeV]
# the        : average final e- angle [deg]
# nu         : average energy transfer [MeV]
# nu_calc    : calculated energy transfer [MeV]
# Q2_calc    : calculated 4-momentum transfer [MeV^2]
# q_calc     : calculated 3-momentum transfer [MeV]
# Ep_calc    : calculated final proton energy [MeV]
# Pf         : average final proton momentum [MeV]
# Pm         : average missing momentum [MeV]
# Pm_calc    : calculated missing momentum [MeV]
# En_calc    : calculated recoil neutron energy [MeV]
# Pf_Par_q   : calculated Pf component (q-frame) parallel to q
# Pf_Perp_q  : calculated Pf component (q-frame) perpendicular to q
# thpq       : avergaed angle between proton and q [deg]
# thpq_calc  : calculated angle between proton and q [deg]
# thpq_cm    : calculated angle between proton and q in c.m. [deg]
# thnq       : averaged angle between recoil neutron and q [deg]
# thnq_calc  : calculated angle between recoil neutron and q [deg]
# cphi_pq    : averaged cos(angle) betweeen proton and q [deg]
# sphi_pq    : averaged sin(angle) betweeen proton and q [deg] 
# alpha_calc : calculated spectatror (neutron) light-cone momentum fraction 
# contz      : bin content for the specified (Pm, thnq) bin
# 
id_bin,id_xbin,id_ybin,thnq_b,pm_b,Ei,kf,the,nu,nu_calc,Q2_calc,q_calc,Ep_calc,Pf,Pm,Pm_calc,En_calc,Pf_Par_q,Pf_Perp_q,thpq,thpq_calc,thpq_cm,thnq,thnq_calc,cphi_pq,sphi_pq,alpha_calc,contz
13,1,1,10.000,0.040,10998.540,10374.216,6.077,624.325,624.324,1282410.924,1293.132,1558.813,1244.806,49.923,54.126,941.124,1244.577,23.916,0.526,1.101,2.674,13.344,26.222,-0.156,0.005,0.950,4.548E+04
25,1,2,10.000,0.120,10998.058,10344.281,6.538,653.796,653.777,1479684.695,1380.981,1583.025,1274.995,109.437,113.236,946.365,1274.420,38.302,1.094,1.721,4.474,12.929,19.770,-0.192,-0.025,0.894,2.338E+04
37,1,3,10.000,0.200,10997.993,10303.334,7.113,694.648,694.659,1744102.429,1492.198,1611.382,1310.037,188.145,191.535,958.890,1308.863,55.445,1.783,2.426,6.894,12.565,16.827,-0.083,-0.017,0.825,3.645E+03
49,1,4,10.000,0.280,10997.878,10269.035,7.620,728.805,728.843,1994486.889,1589.245,1626.257,1328.291,269.293,272.192,978.199,1326.406,70.740,2.417,3.053,9.524,12.035,15.064,-0.010,-0.003,0.761,6.044E+02
61,1,5,10.000,0.360,10997.902,10242.460,8.047,755.409,755.442,2218069.105,1669.958,1627.115,1329.342,351.423,353.709,1003.939,1326.620,85.021,3.044,3.667,12.602,11.604,13.908,0.052,-0.002,0.703,1.313E+02
73,1,6,10.000,0.440,10997.821,10237.047,8.314,760.787,760.774,2366239.791,1716.105,1602.051,1298.542,431.257,432.511,1034.336,1294.840,97.988,3.760,4.328,16.445,11.413,13.094,0.198,-0.005,0.653,3.521E+01
85,1,7,10.000,0.520,10997.829,10233.521,8.525,764.346,764.309,2487171.192,1752.524,1570.844,1259.840,509.529,510.042,1069.078,1254.874,111.747,4.544,5.089,21.509,11.339,12.656,0.290,0.014,0.608,8.356E+00
97,1,8,10.000,0.600,10997.388,10224.937,8.662,772.443,772.450,2565010.363,1778.114,1545.936,1228.644,575.926,576.107,1102.127,1220.213,143.685,6.305,6.716,30.308,13.562,14.442,0.242,0.109,0.579,6.606E-01
14,2,1,30.000,0.040,10998.318,10365.756,6.082,632.562,632.562,1283607.511,1297.591,1566.971,1255.008,50.446,55.491,941.203,1254.520,34.988,1.188,1.598,3.859,31.439,39.088,-0.521,0.016,0.956,1.203E+05
26,2,2,30.000,0.120,10998.018,10324.944,6.539,673.055,673.074,1477394.340,1389.396,1602.412,1298.988,107.107,112.480,946.275,1297.376,64.683,2.395,2.854,7.291,30.670,35.104,-0.462,-0.005,0.909,5.365E+04
