# histogram parameters 
# dx = 20.0
# dy = 0.08
# nx = 10
# ny = 15
# xmin = 0.0
# ymin = 0.0

# Averaged Kinematics Numerical File
#
# NOTE: averaged quantities are determined from SIMC @ the vertex
# calculated quantities are calculated external to SIMC assuming
# (using averged quantities as input, if needed)
#
# id_bin     : 2d bin number
# id_xbin    : xbin number
# id_ybin    : ybin number
# thnq_b     : central theta_nq value (e.g., 5, 15, 25, 35, . . . deg)
# pm_b       : central missing momentum value (80, 120, 160, . . . MeV)
# Ei         : average beam energy [MeV]
# kf         : average final e- momentum [MeV]
# the        : average final e- angle [deg]
# nu         : average energy transfer [MeV]
# nu_calc    : calculated energy transfer [MeV]
# Q2_calc    : calculated 4-momentum transfer [MeV^2]
# q_calc     : calculated 3-momentum transfer [MeV]
# Ep_calc    : calculated final proton energy [MeV]
# Pf         : average final proton momentum [MeV]
# Pm         : average missing momentum [MeV]
# Pm_calc    : calculated missing momentum [MeV]
# En_calc    : calculated recoil neutron energy [MeV]
# Pf_Par_q   : calculated Pf component (q-frame) parallel to q
# Pf_Perp_q  : calculated Pf component (q-frame) perpendicular to q
# thpq       : avergaed angle between proton and q [deg]
# thpq_calc  : calculated angle between proton and q [deg]
# thpq_cm    : calculated angle between proton and q in c.m. [deg]
# thnq       : averaged angle between recoil neutron and q [deg]
# thnq_calc  : calculated angle between recoil neutron and q [deg]
# cphi_pq    : averaged cos(angle) betweeen proton and q [deg]
# sphi_pq    : averaged sin(angle) betweeen proton and q [deg] 
# alpha_calc : calculated spectatror (neutron) light-cone momentum fraction 
# contz      : bin content for the specified (Pm, thnq) bin
# 
id_bin,id_xbin,id_ybin,thnq_b,pm_b,Ei,kf,the,nu,nu_calc,Q2_calc,q_calc,Ep_calc,Pf,Pm,Pm_calc,En_calc,Pf_Par_q,Pf_Perp_q,thpq,thpq_calc,thpq_cm,thnq,thnq_calc,cphi_pq,sphi_pq,alpha_calc,contz
13,1,1,10.000,0.040,11002.867,10361.671,6.171,641.195,641.195,1321345.018,1316.236,1559.542,1245.720,73.240,183.229,957.266,1234.856,164.165,0.825,7.573,18.457,14.200,63.631,-0.252,0.417,0.932,5.175E+02
25,1,2,10.000,0.120,11001.432,10341.017,6.557,660.413,660.416,1488161.679,1387.195,1576.444,1266.816,124.409,194.981,959.584,1258.336,146.331,1.253,6.633,17.188,12.891,48.633,-0.284,0.011,0.884,5.623E+03
37,1,3,10.000,0.200,11000.635,10302.901,7.116,697.715,697.734,1746087.079,1494.296,1610.597,1309.072,191.286,210.005,962.749,1305.795,92.571,1.800,4.055,11.496,12.515,26.155,-0.213,-0.030,0.824,4.041E+03
49,1,4,10.000,0.280,10999.474,10278.292,7.580,721.190,721.182,1975603.339,1579.781,1625.074,1326.843,261.230,247.904,971.720,1327.641,55.103,2.380,2.380,7.351,12.201,0.000,-0.044,-0.016,0.770,4.451E+02
61,1,5,10.000,0.360,11000.513,10241.904,8.031,758.582,758.609,2209894.553,1668.946,1625.097,1326.870,353.119,368.169,1009.125,1321.318,121.257,3.070,5.243,17.828,11.651,19.229,-0.056,-0.017,0.704,4.322E+01
73,1,6,10.000,0.440,11000.354,10230.016,8.322,770.308,770.338,2369968.329,1721.450,1606.989,1304.630,430.586,443.461,1038.962,1297.973,131.625,3.732,5.790,21.600,11.416,17.266,0.041,0.005,0.655,1.253E+01
85,1,7,10.000,0.520,11000.083,10227.606,8.480,772.469,772.477,2459858.121,1748.307,1584.744,1277.129,487.063,497.916,1063.346,1269.719,137.380,4.252,6.175,24.786,11.261,16.016,0.129,-0.025,0.622,8.407E-01
14,2,1,30.000,0.040,11001.933,10362.725,6.076,639.207,639.208,1280832.467,1299.777,1556.049,1241.344,69.062,190.941,958.771,1228.632,177.192,1.639,8.207,19.668,31.083,68.124,-0.732,0.004,0.945,1.277E+03
26,2,2,30.000,0.120,11001.962,10315.992,6.579,685.965,685.969,1494879.386,1401.939,1601.336,1297.660,123.913,198.213,960.246,1287.526,161.858,2.781,7.165,18.237,30.767,54.745,-0.579,-0.032,0.900,1.226E+04
38,2,3,30.000,0.200,11001.295,10280.173,7.068,721.114,721.122,1718721.124,1496.241,1633.582,1337.249,189.955,211.845,963.152,1330.700,132.191,4.134,5.673,15.506,30.570,38.609,-0.393,0.004,0.849,7.871E+03
50,2,4,30.000,0.280,10999.569,10270.091,7.399,729.472,729.478,1881173.335,1553.484,1632.955,1336.484,260.359,249.525,972.135,1331.600,114.150,5.617,4.900,14.364,30.200,27.224,-0.157,0.062,0.799,6.809E+02
62,2,5,30.000,0.360,11000.731,10236.765,7.729,763.967,763.967,2045874.727,1621.579,1629.541,1332.310,352.614,370.666,1010.038,1315.747,209.427,7.728,9.044,27.706,30.596,34.402,-0.119,0.062,0.750,6.425E+01
74,2,6,30.000,0.440,11000.207,10209.230,8.017,790.998,790.977,2194933.705,1679.458,1627.061,1329.275,431.520,444.786,1039.528,1306.885,242.950,9.513,10.531,33.777,30.672,33.108,-0.082,0.261,0.710,1.908E+01
86,2,7,30.000,0.520,11000.166,10199.904,8.128,800.262,800.261,2253921.486,1701.276,1612.412,1311.303,487.263,498.165,1063.463,1283.063,270.678,11.038,11.913,39.009,31.121,32.912,-0.059,0.465,0.687,1.473E+00
15,3,1,50.000,0.040,11002.132,10355.618,5.997,646.514,646.514,1247040.717,1290.357,1563.503,1250.674,64.056,190.200,958.624,1237.267,182.640,2.244,8.397,19.738,50.188,73.792,-0.728,-0.010,0.964,1.624E+03
