# histogram parameters 
# dx = 10.0
# dy = 0.08
# nx = 19
# ny = 15
# xmin = -5.0
# ymin = 0.0

# Averaged Kinematics Numerical File
#
# NOTE: averaged quantities are determined from SIMC @ the vertex
# calculated quantities are calculated external to SIMC assuming
# (using averged quantities as input, if needed)
#
# id_bin     : 2d bin number
# id_xbin    : xbin number
# id_ybin    : ybin number
# thnq_b     : central theta_nq value (e.g. 5 15 25 35 . . . deg)
# pm_b       : central missing momentum value (80 120 160 . . . MeV)
# Ei         : average beam energy [MeV]
# kf         : average final e- momentum [MeV]
# the        : average final e- angle [deg]
# nu         : average energy transfer [MeV]
# nu_calc    : calculated energy transfer [MeV]
# Q2_calc    : calculated 4-momentum transfer [MeV^2]
# q_calc     : calculated 3-momentum transfer [MeV]
# Ep_calc    : calculated final proton energy [MeV]
# Pf         : average final proton momentum [MeV]
# Pm         : average missing momentum [MeV]
# Pm_calc    : calculated missing momentum [MeV]
# En_calc    : calculated recoil neutron energy [MeV]
# Pf_Par_q   : calculated Pf component (q-frame) parallel to q
# Pf_Perp_q  : calculated Pf component (q-frame) perpendicular to q
# thpq       : avergaed angle between proton and q [deg]
# thpq_calc  : calculated angle between proton and q [deg]
# thpq_cm    : calculated angle between proton and q in c.m. [deg]
# thnq       : averaged angle between recoil neutron and q [deg]
# thnq_calc  : calculated angle between recoil neutron and q [deg]
# cphi_pq    : averaged cos(angle) betweeen proton and q [deg]
# sphi_pq    : averaged sin(angle) betweeen proton and q [deg] 
# alpha_calc : calculated spectatror (neutron) light-cone momentum fraction 
# contz      : bin content for the specified (Pm thnq) bin
# 
id_bin,id_xbin,id_ybin,thnq_b,pm_b,Ei,kf,the,nu,nu_calc,Q2_calc,q_calc,Ep_calc,Pf,Pm,Pm_calc,En_calc,Pf_Par_q,Pf_Perp_q,thpq,thpq_calc,thpq_cm,thnq,thnq_calc,cphi_pq,sphi_pq,alpha_calc,contz
86,2,4,10.000,0.280,10997.334,10532.523,6.232,464.813,464.811,1369054.829,1259.009,1357.072,980.454,289.531,290.166,983.352,977.832,71.663,4.061,4.192,13.700,13.889,14.298,-0.960,0.093,0.747,3.844E+00
107,2,5,10.000,0.360,10997.828,10502.358,6.626,495.471,495.469,1542898.036,1337.306,1364.646,990.910,359.907,360.735,1006.436,987.119,86.595,4.841,5.013,18.203,13.445,13.890,-0.939,0.060,0.698,6.629E+00
128,2,6,10.000,0.440,10997.641,10464.302,7.045,533.340,533.339,1737782.354,1422.052,1372.780,1002.083,436.034,436.883,1036.171,996.987,100.929,5.585,5.781,23.584,12.944,13.357,-0.917,-0.018,0.650,6.139E+00
149,2,7,10.000,0.520,10997.588,10421.933,7.458,575.650,575.655,1939236.106,1506.856,1378.807,1010.324,516.298,517.095,1072.460,1003.408,118.014,6.513,6.708,30.853,12.834,13.193,-0.906,-0.042,0.606,3.354E+00
170,2,8,10.000,0.600,10996.653,10386.708,7.783,609.947,609.944,2104129.209,1573.582,1374.704,1004.718,592.091,592.629,1110.853,995.947,132.465,7.426,7.576,39.220,12.678,12.916,-0.901,0.008,0.568,1.554E+00
191,2,9,10.000,0.680,10998.090,10368.439,7.976,629.651,629.651,2206119.520,1613.251,1359.982,984.478,654.784,654.893,1145.281,974.087,142.665,8.250,8.332,47.984,12.465,12.582,-0.877,-0.059,0.539,1.791E-01
66,3,3,20.000,0.200,10997.764,10549.557,5.797,448.207,448.207,1186556.135,1177.899,1360.244,984.840,212.811,213.759,963.575,981.266,83.834,4.740,4.883,13.911,22.596,23.091,-0.946,-0.051,0.816,1.211E+02
87,3,4,20.000,0.280,10997.655,10520.186,6.183,477.469,477.468,1346067.924,1254.609,1373.273,1002.759,276.540,277.920,979.808,997.255,104.920,5.791,6.006,18.515,21.515,22.180,-0.905,-0.044,0.769,1.461E+02
108,3,5,20.000,0.360,10997.560,10474.346,6.669,523.211,523.213,1558933.788,1353.767,1393.913,1030.844,354.902,356.464,1004.913,1022.428,131.455,7.073,7.326,24.715,20.991,21.640,-0.856,0.023,0.717,6.535E+01
129,3,6,20.000,0.440,10997.114,10426.483,7.129,570.640,570.631,1772604.320,1448.525,1410.193,1052.753,435.125,436.598,1036.051,1041.023,156.716,8.315,8.561,31.512,20.506,21.036,-0.824,0.015,0.669,2.978E+01
150,3,7,20.000,0.520,10997.126,10386.958,7.494,610.162,610.167,1951526.674,1524.412,1414.478,1058.486,513.270,514.689,1071.302,1042.802,181.540,9.626,9.876,39.272,20.183,20.654,-0.781,-0.038,0.628,1.335E+01
171,3,8,20.000,0.600,10997.384,10362.144,7.735,635.232,635.241,2073791.600,1573.951,1401.724,1041.381,588.475,589.393,1109.130,1021.128,204.381,11.114,11.318,48.186,19.937,20.290,-0.707,-0.121,0.592,3.615E+00
192,3,9,20.000,0.680,10997.408,10347.403,7.840,650.009,650.005,2127553.608,1596.891,1374.672,1004.673,664.317,664.750,1150.946,976.127,237.792,13.517,13.691,59.863,20.721,20.960,-0.579,-0.536,0.564,4.884E-01
213,3,10,20.000,0.760,10994.188,10315.403,7.922,678.783,678.785,2164747.836,1620.339,1359.416,983.696,738.264,738.375,1194.982,940.531,288.200,16.997,17.036,70.657,22.903,22.974,-0.485,-0.871,0.548,1.604E-02
46,4,2,30.000,0.120,10996.899,10562.673,5.412,434.226,434.226,1035600.422,1106.414,1357.663,981.272,154.265,154.447,952.175,977.570,85.164,4.958,4.979,12.868,33.368,33.464,-0.946,-0.212,0.876,6.199E+01
67,4,3,30.000,0.200,10997.946,10541.534,5.715,456.412,456.411,1152520.957,1166.547,1370.701,999.233,201.532,203.366,961.323,993.505,106.838,5.930,6.138,16.726,30.905,31.692,-0.924,-0.045,0.839,7.728E+02
88,4,4,30.000,0.280,10997.509,10496.341,6.179,501.170,501.168,1341038.345,1261.827,1397.875,1036.196,272.820,274.721,978.906,1026.463,141.687,7.649,7.859,22.894,30.404,31.048,-0.859,-0.018,0.791,3.614E+02
109,4,5,30.000,0.360,10997.554,10443.512,6.653,554.027,554.042,1546826.960,1361.539,1425.596,1073.299,351.952,354.047,1004.058,1057.777,181.872,9.550,9.756,30.192,30.373,30.910,-0.782,-0.042,0.745,1.049E+02
130,4,6,30.000,0.440,10997.233,10410.176,6.970,587.054,587.057,1692340.967,1427.227,1427.430,1075.733,432.805,434.669,1035.240,1052.825,220.818,11.668,11.845,38.582,30.109,30.532,-0.676,-0.079,0.703,3.758E+01
151,4,7,30.000,0.520,10996.870,10374.273,7.247,622.584,622.597,1822705.635,1486.719,1427.315,1075.581,512.226,513.838,1070.894,1043.633,260.202,13.849,14.000,47.114,30.086,30.424,-0.597,-0.246,0.668,1.280E+01
172,4,8,30.000,0.600,10997.289,10339.318,7.452,657.958,657.970,1920696.220,1534.152,1420.998,1067.184,594.528,595.870,1112.585,1022.533,305.463,16.504,16.633,56.307,30.547,30.839,-0.526,-0.648,0.640,4.217E+00
193,4,9,30.000,0.680,10997.195,10312.808,7.509,684.377,684.387,1944965.310,1553.496,1402.863,1042.915,674.497,675.411,1157.136,979.996,356.761,19.899,20.004,65.590,31.701,31.885,-0.444,-0.885,0.621,1.903E+00
214,4,10,30.000,0.760,10996.943,10277.554,7.570,719.392,719.389,1969960.266,1577.175,1387.394,1022.011,758.021,758.639,1207.608,937.263,407.486,23.420,23.498,73.795,32.363,32.488,-0.391,-0.918,0.604,1.127E+00
235,4,11,30.000,0.840,10997.334,10235.212,7.618,762.124,762.121,1987122.962,1602.483,1379.241,1010.916,836.845,837.269,1258.493,901.377,457.680,26.864,26.919,80.098,33.056,33.136,-0.360,-0.931,0.593,6.860E-01
256,4,12,30.000,0.920,10997.218,10194.642,7.648,802.578,802.576,1994668.270,1624.437,1369.734,997.907,910.392,910.642,1308.454,863.483,500.216,30.053,30.084,85.302,33.283,33.319,-0.343,-0.938,0.583,2.578E-01
277,4,13,30.000,1.000,10995.087,10149.546,7.637,845.542,845.541,1979816.414,1641.571,1363.075,988.746,980.504,980.609,1358.079,825.667,543.961,33.361,33.377,89.554,33.669,33.691,-0.322,-0.946,0.577,2.379E-02
47,5,2,40.000,0.120,10996.163,10559.070,5.328,437.095,437.094,1003394.058,1092.907,1361.471,986.534,148.137,148.539,951.235,981.617,98.378,5.676,5.723,14.377,41.281,41.476,-0.954,-0.047,0.894,4.716E+02
68,5,3,40.000,0.200,10997.284,10531.591,5.624,465.698,465.693,1114913.392,1154.029,1381.160,1013.532,195.647,197.725,960.146,1005.146,130.112,7.186,7.376,19.239,40.479,41.151,-0.905,-0.030,0.863,1.692E+03
