# histogram parameters 
# dx = 20.0
# dy = 0.08
# nx = 10
# ny = 15
# xmin = 0.0
# ymin = 0.0

# Averaged Kinematics Numerical File
#
# NOTE: averaged quantities are determined from SIMC @ the vertex
# calculated quantities are calculated external to SIMC assuming
# (using averged quantities as input, if needed)
#
# id_bin     : 2d bin number
# id_xbin    : xbin number
# id_ybin    : ybin number
# thnq_b     : central theta_nq value (e.g., 5, 15, 25, 35, . . . deg)
# pm_b       : central missing momentum value (80, 120, 160, . . . MeV)
# Ei         : average beam energy [MeV]
# kf         : average final e- momentum [MeV]
# the        : average final e- angle [deg]
# nu         : average energy transfer [MeV]
# nu_calc    : calculated energy transfer [MeV]
# Q2_calc    : calculated 4-momentum transfer [MeV^2]
# q_calc     : calculated 3-momentum transfer [MeV]
# Ep_calc    : calculated final proton energy [MeV]
# Pf         : average final proton momentum [MeV]
# Pm         : average missing momentum [MeV]
# Pm_calc    : calculated missing momentum [MeV]
# En_calc    : calculated recoil neutron energy [MeV]
# Pf_Par_q   : calculated Pf component (q-frame) parallel to q
# Pf_Perp_q  : calculated Pf component (q-frame) perpendicular to q
# thpq       : avergaed angle between proton and q [deg]
# thpq_calc  : calculated angle between proton and q [deg]
# thpq_cm    : calculated angle between proton and q in c.m. [deg]
# thnq       : averaged angle between recoil neutron and q [deg]
# thnq_calc  : calculated angle between recoil neutron and q [deg]
# cphi_pq    : averaged cos(angle) betweeen proton and q [deg]
# sphi_pq    : averaged sin(angle) betweeen proton and q [deg] 
# alpha_calc : calculated spectatror (neutron) light-cone momentum fraction 
# contz      : bin content for the specified (Pm, thnq) bin
# 
id_bin,id_xbin,id_ybin,thnq_b,pm_b,Ei,kf,the,nu,nu_calc,Q2_calc,q_calc,Ep_calc,Pf,Pm,Pm_calc,En_calc,Pf_Par_q,Pf_Perp_q,thpq,thpq_calc,thpq_cm,thnq,thnq_calc,cphi_pq,sphi_pq,alpha_calc,contz
63,3,5,50.000,0.360,10998.962,10058.467,7.939,940.484,940.495,2120448.421,1733.488,1799.473,1535.497,353.459,388.281,1016.635,1503.319,312.704,10.235,11.750,31.919,50.658,53.645,0.152,0.436,0.837,1.490E+01
75,3,6,50.000,0.440,10998.537,10026.873,8.092,971.666,971.664,2195836.150,1771.995,1801.563,1537.945,433.469,459.057,1045.714,1493.940,365.265,12.620,13.739,37.490,50.937,52.720,0.111,0.828,0.817,5.471E+00
87,3,7,50.000,0.520,10998.387,10009.780,8.131,988.600,988.607,2213248.847,1786.223,1795.961,1531.379,487.305,508.325,1068.259,1477.229,403.629,14.355,15.282,41.454,51.294,52.564,0.080,0.983,0.808,5.469E-01
16,4,1,70.000,0.040,11000.297,10135.343,6.772,864.956,864.954,1555563.491,1517.797,1767.119,1497.449,61.091,254.591,973.448,1476.233,251.176,2.173,9.656,22.798,69.445,80.604,-0.255,-0.082,0.992,5.893E+01
28,4,2,70.000,0.120,11000.018,10090.128,7.045,909.899,909.890,1676127.375,1582.412,1808.440,1545.995,122.212,268.080,977.063,1523.706,261.573,4.257,9.741,23.446,70.318,77.351,-0.229,-0.015,0.977,1.955E+02
40,4,3,70.000,0.200,10999.863,10084.025,7.123,915.856,915.837,1712100.867,1597.141,1807.236,1544.587,194.224,293.074,984.214,1518.562,282.343,6.803,10.533,25.543,70.758,74.448,-0.094,0.049,0.964,1.366E+02
52,4,4,70.000,0.280,10999.369,10065.508,7.213,933.840,933.861,1752294.009,1619.997,1813.428,1551.826,274.281,330.641,996.046,1519.519,315.004,9.582,11.712,28.507,70.703,72.309,-0.058,0.305,0.953,5.619E+01
64,4,5,70.000,0.360,10998.964,10033.388,7.281,965.569,965.576,1779857.437,1646.874,1824.965,1565.293,354.065,387.203,1016.224,1521.796,366.445,12.275,13.539,32.765,70.453,71.154,-0.075,0.673,0.948,2.288E+01
76,4,6,70.000,0.440,10998.577,9989.525,7.338,1009.047,1009.052,1799456.889,1678.584,1840.175,1583.001,432.090,456.261,1044.489,1523.713,429.173,14.792,15.731,37.619,69.766,70.158,-0.111,0.939,0.947,8.057E+00
88,4,7,70.000,0.520,10998.731,9951.550,7.373,1047.189,1047.180,1810000.151,1704.871,1852.339,1597.124,487.145,512.921,1070.454,1523.371,479.735,16.478,17.480,41.342,68.947,69.277,-0.149,0.981,0.946,7.951E-01
17,5,1,90.000,0.040,10999.969,10128.046,6.667,871.917,871.923,1506822.549,1505.680,1774.493,1506.144,56.430,253.041,973.044,1484.881,252.184,2.131,9.639,22.374,89.450,85.285,-0.311,-0.034,1.013,6.746E+01
29,5,2,90.000,0.120,10999.887,10072.538,6.842,927.352,927.349,1578089.161,1561.431,1826.167,1566.694,124.217,267.104,976.795,1543.857,266.525,4.532,9.795,22.799,89.975,86.228,-0.501,0.051,1.021,2.352E+02
41,5,3,90.000,0.200,10999.695,10045.898,6.847,953.797,953.796,1576208.707,1576.685,1845.768,1589.499,193.544,291.144,983.641,1562.670,290.807,6.970,10.542,24.327,90.211,87.241,-0.419,0.120,1.032,1.769E+02
53,5,4,90.000,0.280,10999.567,10010.613,6.833,988.957,988.954,1564199.010,1594.437,1869.367,1616.842,273.747,328.083,995.200,1583.245,327.892,9.709,11.701,26.652,89.733,88.045,-0.377,0.284,1.047,6.663E+01
65,5,5,90.000,0.360,10998.981,9970.276,6.797,1028.713,1028.706,1541345.826,1612.322,1891.245,1642.088,350.723,378.858,1013.074,1597.851,378.582,12.281,13.329,29.885,88.669,87.811,-0.384,0.507,1.063,2.018E+01
77,5,6,90.000,0.440,10997.979,9923.907,6.814,1074.069,1074.072,1541751.919,1641.762,1910.866,1664.648,424.922,443.125,1038.819,1605.006,441.598,14.713,15.384,34.121,85.693,85.242,-0.387,0.772,1.067,2.808E+00
89,5,7,90.000,0.520,10996.234,9890.978,6.862,1105.255,1105.256,1558265.988,1667.290,1919.946,1675.064,486.641,492.719,1060.922,1602.278,488.411,16.737,16.952,37.460,82.506,82.418,-0.373,0.924,1.060,8.585E-02
18,6,1,110.000,0.040,11000.288,10122.479,6.566,877.808,877.809,1460593.361,1493.701,1780.477,1513.190,55.957,252.660,972.945,1491.948,252.654,1.982,9.612,21.972,109.519,89.603,-0.606,-0.072,1.034,6.358E+01
30,6,2,110.000,0.120,11000.160,10055.620,6.634,944.532,944.540,1481054.033,1540.523,1843.393,1586.739,126.731,266.976,976.760,1564.299,265.915,4.304,9.647,21.784,109.261,95.109,-0.777,0.020,1.065,2.160E+02
42,6,3,110.000,0.200,10999.745,10007.045,6.571,992.704,992.701,1446039.307,1559.325,1885.041,1634.939,194.159,289.895,983.272,1609.825,285.463,6.393,10.055,22.271,109.712,100.032,-0.799,0.035,1.100,1.963E+02
54,6,4,110.000,0.280,10999.697,9967.503,6.481,1032.193,1032.194,1401527.368,1570.653,1914.991,1669.382,265.622,320.778,992.816,1639.729,313.252,8.704,10.815,23.533,107.500,102.435,-0.782,0.161,1.130,4.850E+01
66,6,5,110.000,0.360,10997.294,9936.922,6.406,1060.372,1060.372,1364815.971,1577.722,1930.394,1687.028,335.969,358.371,1005.592,1650.114,350.983,11.168,12.008,25.783,103.308,101.654,-0.695,0.502,1.147,1.937E+00
19,7,1,130.000,0.040,10999.973,10123.883,6.476,876.091,876.090,1421160.380,1479.424,1779.300,1511.805,52.920,250.565,972.403,1490.941,250.300,1.588,9.530,21.553,127.406,92.635,-0.560,0.209,1.047,2.594E+01
31,7,2,130.000,0.120,11000.113,10067.101,6.429,933.012,933.011,1392701.031,1504.397,1833.185,1574.869,118.556,262.101,975.439,1553.688,257.424,3.533,9.408,20.816,124.855,100.840,-0.902,0.117,1.091,5.934E+01
43,7,3,130.000,0.200,10999.699,10005.259,6.378,994.439,994.440,1362334.878,1533.377,1890.303,1641.003,186.115,277.714,979.750,1619.632,263.980,5.482,9.257,20.102,122.506,108.095,-0.943,0.048,1.135,1.806E+01
55,7,4,130.000,0.280,11001.153,9949.729,6.341,1051.425,1051.424,1339242.914,1563.565,1944.777,1703.468,246.848,286.445,982.260,1683.488,260.133,7.145,8.784,18.837,120.875,114.750,-0.976,0.219,1.173,1.415E-01
20,8,1,150.000,0.040,11000.717,10138.608,6.396,862.108,862.109,1388271.606,1459.967,1762.698,1492.230,36.848,260.551,975.024,1469.337,260.382,0.667,10.049,22.593,150.430,92.061,-0.307,-0.051,1.048,2.989E+00
