# d2pol dilution factors (fieldON) 
# 
# Header Definitions: 
#        
# pm_bin      : missing momentum bin (GeV/c)
# thrq_bin    : neutron recoil angle bin (deg)# d2          : d(e ep) counts  
# d2_err       : d(e ep) counts absolute error  
# he4          : he4(e ep) counts  
# he4_err       : he4(e ep) counts absolute error  
# n14          : n14(e ep) counts  
# n14_err       : n14(e ep) counts absolute error  
# dilution       : dilution factor defined as N_D / (N_D + N_14 + N_He)
# dilution_err   : absolute error on dilution factor
thrq_bin,pm_bin,d2,d2_err,he4,he4_err,n14,n14_err,dilution,dilution_err
10.0,0.010,1348.0,36.715,nan,nan,nan,nan,nan,nan
10.0,0.030,21263.0,145.818,nan,nan,nan,nan,nan,nan
10.0,0.050,34210.4,184.961,nan,nan,121.3,11.013,nan,nan
10.0,0.070,39165.1,197.902,15.6,3.948,1182.3,34.385,0.970,0.001
10.0,0.090,27101.0,164.624,31.9,5.651,2337.3,48.346,0.920,0.002
10.0,0.110,17423.8,131.999,22.0,4.693,2471.7,49.716,0.875,0.002
10.0,0.130,10922.9,104.513,29.2,5.407,4283.1,65.445,0.717,0.004
10.0,0.150,6649.3,81.543,49.7,7.049,4219.6,64.958,0.609,0.005
10.0,0.170,3924.6,62.647,59.7,7.726,3531.4,59.426,0.522,0.006
10.0,0.190,2305.4,48.014,51.4,7.173,2564.9,50.645,0.468,0.007
10.0,0.210,1380.3,37.153,47.7,6.903,1856.1,43.082,0.420,0.009
10.0,0.230,857.8,29.288,47.1,6.863,1127.8,33.583,0.422,0.011
10.0,0.250,545.9,23.365,38.7,6.221,600.3,24.502,0.461,0.014
10.0,0.270,333.7,18.269,30.5,5.524,311.8,17.659,0.494,0.019
10.0,0.290,212.1,14.563,26.6,5.156,129.9,11.399,0.575,0.026
10.0,0.310,146.8,12.117,20.1,4.487,54.6,7.390,0.663,0.032
10.0,0.330,100.5,10.026,17.9,4.232,34.7,5.889,0.657,0.038
10.0,0.350,72.7,8.527,14.5,3.802,22.5,4.745,0.663,0.045
10.0,0.370,53.7,7.327,10.9,3.296,17.7,4.213,0.652,0.052
10.0,0.390,39.9,6.314,9.1,3.012,14.3,3.775,0.631,0.061
10.0,0.410,30.2,5.491,7.0,2.647,10.1,3.183,0.638,0.070
10.0,0.430,24.1,4.911,5.0,2.232,8.1,2.838,0.649,0.078
10.0,0.450,19.2,4.384,4.1,2.025,5.9,2.423,0.658,0.088
10.0,0.470,14.1,3.751,3.1,1.756,4.2,2.056,0.658,0.103
10.0,0.490,10.7,3.278,1.8,1.353,2.6,1.605,0.709,0.117
10.0,0.510,8.0,2.826,0.3,0.525,0.5,0.677,0.916,0.094
10.0,0.530,5.8,2.398,0.0,0.141,0.0,0.202,0.990,0.042
10.0,0.550,4.2,2.060,0.0,0.064,0.0,0.096,0.997,0.027
10.0,0.570,2.8,1.662,0.0,0.034,nan,nan,nan,nan
10.0,0.590,1.9,1.369,nan,nan,nan,nan,nan,nan
10.0,0.610,1.1,1.067,nan,nan,0.0,0.010,nan,nan
10.0,0.630,0.6,0.801,nan,nan,0.0,0.025,nan,nan
10.0,0.650,0.2,0.486,nan,nan,0.0,0.031,nan,nan
10.0,0.670,0.1,0.280,nan,nan,nan,nan,nan,nan
10.0,0.690,0.0,0.098,nan,nan,nan,nan,nan,nan
10.0,0.710,0.0,0.023,nan,nan,nan,nan,nan,nan
10.0,0.730,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.750,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.770,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.790,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.810,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.830,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.850,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.870,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.890,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.910,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.930,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.950,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.970,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.990,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.010,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.030,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.050,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.070,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.090,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.110,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.130,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.150,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.170,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.190,nan,nan,nan,nan,nan,nan,nan,nan
30.0,0.010,2367.0,48.652,nan,nan,nan,nan,nan,nan
30.0,0.030,34164.5,184.836,nan,nan,67.0,8.187,nan,nan
30.0,0.050,83134.4,288.330,nan,nan,573.1,23.939,nan,nan
30.0,0.070,101792.0,319.049,25.6,5.058,2993.8,54.716,0.971,0.001
30.0,0.090,73565.2,271.229,50.6,7.114,5292.0,72.746,0.932,0.001
30.0,0.110,41215.6,203.016,67.8,8.232,8624.3,92.867,0.826,0.002
30.0,0.130,23627.1,153.711,98.8,9.940,8272.7,90.954,0.738,0.002
30.0,0.150,12555.0,112.049,104.5,10.220,7306.1,85.476,0.629,0.003
30.0,0.170,6942.0,83.319,81.3,9.017,6426.8,80.168,0.516,0.004
30.0,0.190,3910.7,62.535,90.4,9.505,4367.6,66.088,0.467,0.005
30.0,0.210,2163.0,46.508,89.8,9.478,2944.0,54.258,0.416,0.007
30.0,0.230,1245.9,35.297,70.5,8.395,1802.9,42.461,0.399,0.009
30.0,0.250,764.0,27.641,59.1,7.688,971.9,31.175,0.426,0.012
30.0,0.270,480.7,21.924,47.8,6.913,464.4,21.550,0.484,0.016
30.0,0.290,316.4,17.788,41.4,6.434,151.5,12.308,0.621,0.021
30.0,0.310,217.9,14.763,31.7,5.629,97.6,9.881,0.628,0.026
30.0,0.330,144.7,12.028,24.8,4.981,47.6,6.900,0.666,0.032
30.0,0.350,105.1,10.254,20.6,4.535,35.8,5.982,0.651,0.038
30.0,0.370,76.9,8.767,14.9,3.862,24.6,4.959,0.660,0.044
30.0,0.390,55.9,7.476,11.6,3.401,18.2,4.268,0.652,0.051
30.0,0.410,42.2,6.493,9.4,3.062,14.1,3.756,0.642,0.059
30.0,0.430,30.9,5.556,7.0,2.645,10.3,3.213,0.641,0.069
30.0,0.450,24.4,4.936,5.2,2.279,7.9,2.803,0.651,0.078
30.0,0.470,18.4,4.289,4.1,2.023,5.5,2.355,0.656,0.090
30.0,0.490,14.2,3.768,2.4,1.544,3.5,1.882,0.706,0.102
30.0,0.510,11.6,3.408,0.6,0.760,0.9,0.953,0.887,0.088
30.0,0.530,8.7,2.947,0.1,0.335,0.2,0.408,0.969,0.058
30.0,0.550,6.2,2.491,0.0,0.178,0.0,0.218,0.987,0.045
30.0,0.570,4.8,2.197,0.0,0.053,0.0,0.094,0.998,0.022
30.0,0.590,3.6,1.885,0.0,0.031,0.0,0.088,0.998,0.026
30.0,0.610,2.5,1.595,nan,nan,nan,nan,nan,nan
30.0,0.630,1.8,1.342,0.0,0.038,nan,nan,nan,nan
30.0,0.650,1.2,1.076,nan,nan,0.0,0.052,nan,nan
30.0,0.670,0.8,0.917,nan,nan,nan,nan,nan,nan
30.0,0.690,0.5,0.707,nan,nan,nan,nan,nan,nan
30.0,0.710,0.3,0.558,nan,nan,0.0,0.044,nan,nan
30.0,0.730,0.1,0.370,nan,nan,nan,nan,nan,nan
30.0,0.750,0.1,0.267,nan,nan,nan,nan,nan,nan
30.0,0.770,0.0,0.173,nan,nan,nan,nan,nan,nan
30.0,0.790,0.0,0.101,nan,nan,nan,nan,nan,nan
30.0,0.810,0.0,0.065,nan,nan,nan,nan,nan,nan
30.0,0.830,nan,nan,nan,nan,nan,nan,nan,nan
30.0,0.850,0.0,0.101,nan,nan,nan,nan,nan,nan
30.0,0.870,0.0,0.049,nan,nan,nan,nan,nan,nan
30.0,0.890,nan,nan,nan,nan,nan,nan,nan,nan
30.0,0.910,nan,nan,nan,nan,nan,nan,nan,nan
30.0,0.930,nan,nan,nan,nan,nan,nan,nan,nan
30.0,0.950,nan,nan,nan,nan,nan,nan,nan,nan
30.0,0.970,nan,nan,nan,nan,nan,nan,nan,nan
30.0,0.990,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.010,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.030,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.050,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.070,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.090,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.110,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.130,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.150,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.170,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.190,nan,nan,nan,nan,nan,nan,nan,nan
50.0,0.010,5239.7,72.386,nan,nan,nan,nan,nan,nan
50.0,0.030,39866.9,199.667,nan,nan,63.0,7.939,nan,nan
50.0,0.050,112890.0,335.991,6.6,2.575,970.3,31.150,0.991,0.000
50.0,0.070,146149.6,382.295,32.1,5.661,3853.9,62.080,0.974,0.000
50.0,0.090,103762.4,322.122,65.9,8.119,7621.0,87.298,0.931,0.001
50.0,0.110,61740.4,248.476,94.5,9.723,9069.0,95.232,0.871,0.001
50.0,0.130,32840.8,181.220,109.6,10.471,11077.2,105.248,0.746,0.002
50.0,0.150,17438.7,132.056,123.3,11.105,8899.5,94.337,0.659,0.003
50.0,0.170,8518.9,92.298,150.8,12.278,7634.6,87.376,0.522,0.004
50.0,0.190,4493.2,67.031,136.9,11.699,5691.9,75.445,0.435,0.005
50.0,0.210,2767.9,52.611,142.3,11.930,4000.2,63.247,0.401,0.006
50.0,0.230,1599.9,39.999,92.7,9.627,2572.6,50.721,0.375,0.007
50.0,0.250,1014.7,31.854,84.6,9.198,1310.8,36.206,0.421,0.010
50.0,0.270,623.7,24.975,72.9,8.536,667.8,25.841,0.457,0.013
50.0,0.290,415.5,20.385,61.4,7.836,248.1,15.753,0.573,0.018
50.0,0.310,284.7,16.872,48.0,6.929,123.0,11.089,0.625,0.023
