# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 11.000 GeV
# Out-of-Plane Angle (Phi) = 180 deg
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
Eb,Pr,xbj,kf,th_e,Pf,th_p,q,th_q,th_rq,th_pq,Q2
11.00,0.5000,0.5000,6.2039,14.7536,5.5283,13.1540,5.2442,17.5337,122.3974,4.3797,4.5000
11.00,0.5000,0.6000,7.0033,13.8817,4.7156,16.0630,4.5248,21.7981,109.5323,5.7351,4.5000
11.00,0.5000,0.7000,7.5742,13.3458,4.1318,18.8393,4.0294,25.7154,98.3679,6.8761,4.5000
11.00,0.5000,0.8000,8.0025,12.9823,3.6914,21.5301,3.6722,29.3112,88.3079,7.7811,4.5000
11.00,0.5000,0.9000,8.3355,12.7192,3.3467,24.1726,3.4058,32.6062,79.0173,8.4336,4.5000
11.00,0.5000,1.0000,8.6020,12.5198,3.0691,26.8004,3.2016,35.6212,70.2635,8.8208,4.5000
11.00,0.5000,1.1000,8.8200,12.3635,2.8404,29.4483,3.0418,38.3777,61.8534,8.9294,4.5000
11.00,0.5000,1.2000,9.0016,12.2376,2.6483,32.1577,2.9143,40.8976,53.5940,8.7399,4.5000
11.00,0.5000,1.3000,9.1554,12.1341,2.4847,34.9857,2.8112,43.2022,45.2502,8.2165,4.5000
11.00,0.5000,1.4000,9.2871,12.0474,2.3433,38.0273,2.7265,45.3119,36.4593,7.2846,4.5000
11.00,0.5000,1.5000,9.4013,11.9737,2.2198,41.4871,2.6563,47.2456,26.4524,5.7585,4.5000
11.00,0.5000,1.6000,9.5012,11.9104,2.1109,46.1905,2.5974,49.0208,12.0326,2.8303,4.5000
11.00,0.6000,0.5000,6.2039,14.7536,5.4771,11.6193,5.2442,17.5337,109.8439,5.9144,4.5000
11.00,0.6000,0.6000,7.0033,13.8817,4.6641,14.5144,4.5248,21.7981,99.7546,7.2837,4.5000
11.00,0.6000,0.7000,7.5742,13.3458,4.0801,17.2595,4.0294,25.7154,90.6064,8.4559,4.5000
11.00,0.6000,0.8000,8.0025,12.9823,3.6393,19.9111,3.6722,29.3112,82.1690,9.4001,4.5000
11.00,0.6000,0.9000,8.3355,12.7192,3.2943,22.5087,3.4058,32.6062,74.2814,10.0975,4.5000
11.00,0.6000,1.0000,8.6020,12.5198,3.0163,25.0851,3.2016,35.6212,66.8142,10.5361,4.5000
11.00,0.6000,1.1000,8.8200,12.3635,2.7871,27.6715,3.0418,38.3777,59.6500,10.7062,4.5000
11.00,0.6000,1.2000,9.0016,12.2376,2.5947,30.3025,2.9143,40.8976,52.6689,10.5951,4.5000
11.00,0.6000,1.3000,9.1554,12.1341,2.4306,33.0209,2.8112,43.2022,45.7320,10.1814,4.5000
11.00,0.6000,1.4000,9.2871,12.0474,2.2888,35.8885,2.7265,45.3119,38.6513,9.4234,4.5000
11.00,0.6000,1.5000,9.4013,11.9737,2.1649,39.0114,2.6563,47.2456,31.1155,8.2342,4.5000
11.00,0.6000,1.6000,9.5012,11.9104,2.0556,42.6255,2.5974,49.0208,22.4333,6.3953,4.5000
11.00,0.6000,1.7000,9.5894,11.8553,1.9582,47.7558,2.5475,50.6533,9.4963,2.8976,4.5000
11.00,0.7000,0.6000,7.0033,13.8817,4.6061,13.0638,4.5248,21.7981,92.2816,8.7343,4.5000
11.00,0.7000,0.7000,7.5742,13.3458,4.0217,15.7403,4.0294,25.7154,84.3879,9.9752,4.5000
11.00,0.7000,0.8000,8.0025,12.9823,3.5806,18.3290,3.6722,29.3112,77.0222,10.9822,4.5000
11.00,0.7000,0.9000,8.3355,12.7192,3.2351,20.8676,3.4058,32.6062,70.0936,11.7386,4.5000
11.00,0.7000,1.0000,8.6020,12.5198,2.9567,23.3866,3.2016,35.6212,63.5198,12.2346,4.5000
11.00,0.7000,1.1000,8.8200,12.3635,2.7271,25.9145,3.0418,38.3777,57.2214,12.4632,4.5000
11.00,0.7000,1.2000,9.0016,12.2376,2.5342,28.4812,2.9143,40.8976,51.1152,12.4164,4.5000
11.00,0.7000,1.3000,9.1554,12.1341,2.3696,31.1223,2.8112,43.2022,45.1067,12.0799,4.5000
11.00,0.7000,1.4000,9.2871,12.0474,2.2273,33.8851,2.7265,45.3119,39.0772,11.4268,4.5000
11.00,0.7000,1.5000,9.4013,11.9737,2.1028,36.8415,2.6563,47.2456,32.8535,10.4041,4.5000
11.00,0.7000,1.6000,9.5012,11.9104,1.9929,40.1220,2.5974,49.0208,26.1296,8.8989,4.5000
11.00,0.7000,1.7000,9.5894,11.8553,1.8950,44.0411,2.5475,50.6533,18.1631,6.6122,4.5000
11.00,0.7000,1.8000,9.6678,11.8070,1.8071,50.6764,2.5050,52.1574,3.8258,1.4810,4.5000
11.00,0.8000,0.6000,7.0033,13.8817,4.5424,11.6770,4.5248,21.7981,86.1975,10.1211,4.5000
11.00,0.8000,0.7000,7.5742,13.3458,3.9577,14.2643,4.0294,25.7154,79.1572,11.4511,4.5000
11.00,0.8000,0.8000,8.0025,12.9823,3.5161,16.7754,3.6722,29.3112,72.5465,12.5358,4.5000
11.00,0.8000,0.9000,8.3355,12.7192,3.1701,19.2452,3.4058,32.6062,66.3078,13.3610,4.5000
11.00,0.8000,1.0000,8.6020,12.5198,2.8912,21.7020,3.2016,35.6212,60.3837,13.9192,4.5000
11.00,0.8000,1.1000,8.8200,12.3635,2.6611,24.1720,3.0418,38.3777,54.7154,14.2057,4.5000
11.00,0.8000,1.2000,9.0016,12.2376,2.4676,26.6822,2.9143,40.8976,49.2400,14.2154,4.5000
11.00,0.8000,1.3000,9.1554,12.1341,2.3024,29.2640,2.8112,43.2022,43.8869,13.9382,4.5000
11.00,0.8000,1.4000,9.2871,12.0474,2.1594,31.9573,2.7265,45.3119,38.5705,13.3546,4.5000
11.00,0.8000,1.5000,9.4013,11.9737,2.0343,34.8190,2.6563,47.2456,33.1757,12.4266,4.5000
11.00,0.8000,1.6000,9.5012,11.9104,1.9238,37.9418,2.5974,49.0208,27.5221,11.0790,4.5000
11.00,0.8000,1.7000,9.5894,11.8553,1.8252,41.5081,2.5475,50.6533,21.2603,9.1452,4.5000
11.00,0.8000,1.8000,9.6678,11.8070,1.7366,46.0383,2.5050,52.1574,13.3790,6.1192,4.5000
11.00,0.9000,0.7000,7.5742,13.3458,3.8887,12.8213,4.0294,25.7154,74.6185,12.8941,4.5000
11.00,0.9000,0.8000,8.0025,12.9823,3.4466,15.2441,3.6722,29.3112,68.5627,14.0671,4.5000
11.00,0.9000,0.9000,8.3355,12.7192,3.1001,17.6373,3.4058,32.6062,62.8384,14.9689,4.5000
11.00,0.9000,1.0000,8.6020,12.5198,2.8206,20.0273,3.2016,35.6212,57.4023,15.5939,4.5000
11.00,0.9000,1.1000,8.8200,12.3635,2.5898,22.4385,3.0418,38.3777,52.2077,15.9392,4.5000
11.00,0.9000,1.2000,9.0016,12.2376,2.3957,24.8964,2.9143,40.8976,47.2038,16.0012,4.5000
11.00,0.9000,1.3000,9.1554,12.1341,2.2298,27.4298,2.8112,43.2022,42.3336,15.7724,4.5000
11.00,0.9000,1.4000,9.2871,12.0474,2.0861,30.0750,2.7265,45.3119,37.5299,15.2369,4.5000
11.00,0.9000,1.5000,9.4013,11.9737,1.9602,32.8817,2.6563,47.2456,32.7061,14.3639,4.5000
11.00,0.9000,1.6000,9.5012,11.9104,1.8489,35.9264,2.5974,49.0208,27.7367,13.0944,4.5000
11.00,0.9000,1.7000,9.5894,11.8553,1.7494,39.3449,2.5475,50.6533,22.4055,11.3084,4.5000
11.00,0.9000,1.8000,9.6678,11.8070,1.6600,43.4452,2.5050,52.1574,16.2228,8.7122,4.5000
