# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 11.000 GeV
# Out-of-Plane Angle (Phi) = 0 deg
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
Eb,Pr,xbj,kf,th_e,Pf,th_p,q,th_q,th_rq,th_pq,Q2
11.00,0.6000,0.9000,8.3355,12.7192,3.2943,42.7037,3.4058,32.6062,74.2814,10.0975,4.5000
11.00,0.6000,1.0000,8.6020,12.5198,3.0163,46.1573,3.2016,35.6212,66.8142,10.5361,4.5000
11.00,0.6000,1.1000,8.8200,12.3635,2.7871,49.0838,3.0418,38.3777,59.6500,10.7062,4.5000
11.00,0.6000,1.2000,9.0016,12.2376,2.5947,51.4927,2.9143,40.8976,52.6689,10.5951,4.5000
11.00,0.6000,1.3000,9.1554,12.1341,2.4306,53.3836,2.8112,43.2022,45.7320,10.1814,4.5000
11.00,0.6000,1.4000,9.2871,12.0474,2.2888,54.7353,2.7265,45.3119,38.6513,9.4234,4.5000
11.00,0.6000,1.5000,9.4013,11.9737,2.1649,55.4798,2.6563,47.2456,31.1155,8.2342,4.5000
11.00,0.6000,1.6000,9.5012,11.9104,2.0556,55.4162,2.5974,49.0208,22.4333,6.3953,4.5000
11.00,0.6000,1.7000,9.5894,11.8553,1.9582,53.5509,2.5475,50.6533,9.4963,2.8976,4.5000
11.00,0.7000,0.5000,6.2039,14.7536,5.4194,24.8226,5.2442,17.5337,100.8147,7.2889,4.5000
11.00,0.7000,0.6000,7.0033,13.8817,4.6061,30.5324,4.5248,21.7981,92.2816,8.7343,4.5000
11.00,0.7000,0.7000,7.5742,13.3458,4.0217,35.6906,4.0294,25.7154,84.3879,9.9752,4.5000
11.00,0.7000,0.8000,8.0025,12.9823,3.5806,40.2935,3.6722,29.3112,77.0222,10.9822,4.5000
11.00,0.7000,0.9000,8.3355,12.7192,3.2351,44.3448,3.4058,32.6062,70.0936,11.7386,4.5000
11.00,0.7000,1.0000,8.6020,12.5198,2.9567,47.8557,3.2016,35.6212,63.5198,12.2346,4.5000
11.00,0.7000,1.1000,8.8200,12.3635,2.7271,50.8409,3.0418,38.3777,57.2214,12.4632,4.5000
11.00,0.7000,1.2000,9.0016,12.2376,2.5342,53.3139,2.9143,40.8976,51.1152,12.4164,4.5000
11.00,0.7000,1.3000,9.1554,12.1341,2.3696,55.2821,2.8112,43.2022,45.1067,12.0799,4.5000
11.00,0.7000,1.4000,9.2871,12.0474,2.2273,56.7387,2.7265,45.3119,39.0772,11.4268,4.5000
11.00,0.7000,1.5000,9.4013,11.9737,2.1028,57.6497,2.6563,47.2456,32.8535,10.4041,4.5000
11.00,0.7000,1.6000,9.5012,11.9104,1.9929,57.9197,2.5974,49.0208,26.1296,8.8989,4.5000
11.00,0.7000,1.7000,9.5894,11.8553,1.8950,57.2655,2.5475,50.6533,18.1631,6.6122,4.5000
11.00,0.7000,1.8000,9.6678,11.8070,1.8071,53.6384,2.5050,52.1574,3.8258,1.4810,4.5000
11.00,0.8000,0.5000,6.2039,14.7536,5.3561,26.1054,5.2442,17.5337,93.7282,8.5717,4.5000
11.00,0.8000,0.6000,7.0033,13.8817,4.5424,31.9193,4.5248,21.7981,86.1975,10.1211,4.5000
11.00,0.8000,0.7000,7.5742,13.3458,3.9577,37.1665,4.0294,25.7154,79.1572,11.4511,4.5000
11.00,0.8000,0.8000,8.0025,12.9823,3.5161,41.8471,3.6722,29.3112,72.5465,12.5358,4.5000
11.00,0.8000,0.9000,8.3355,12.7192,3.1701,45.9672,3.4058,32.6062,66.3078,13.3610,4.5000
11.00,0.8000,1.0000,8.6020,12.5198,2.8912,49.5403,3.2016,35.6212,60.3837,13.9192,4.5000
11.00,0.8000,1.1000,8.8200,12.3635,2.6611,52.5834,3.0418,38.3777,54.7154,14.2057,4.5000
11.00,0.8000,1.2000,9.0016,12.2376,2.4676,55.1130,2.9143,40.8976,49.2400,14.2154,4.5000
11.00,0.8000,1.3000,9.1554,12.1341,2.3024,57.1404,2.8112,43.2022,43.8869,13.9382,4.5000
11.00,0.8000,1.4000,9.2871,12.0474,2.1594,58.6665,2.7265,45.3119,38.5705,13.3546,4.5000
11.00,0.8000,1.5000,9.4013,11.9737,2.0343,59.6722,2.6563,47.2456,33.1757,12.4266,4.5000
11.00,0.8000,1.6000,9.5012,11.9104,1.9238,60.0999,2.5974,49.0208,27.5221,11.0790,4.5000
11.00,0.8000,1.7000,9.5894,11.8553,1.8252,59.7985,2.5475,50.6533,21.2603,9.1452,4.5000
11.00,0.8000,1.8000,9.6678,11.8070,1.7366,58.2766,2.5050,52.1574,13.3790,6.1192,4.5000
