# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 10.549 GeV
# Out-of-Plane Angle (Phi) = 0 deg (WRONG!) This is really 180 deg, since theta_p > theta_q
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
Eb,Pr,xbj,kf,th_e,Pf,th_p,q,th_q,th_rq,th_pq,Q2
10.55,0.5000,0.5000,5.7529,15.6505,5.5283,21.5935,5.2442,17.2138,122.3974,4.3797,4.5000
10.55,0.5000,0.6000,6.5523,14.6593,4.7156,27.2331,4.5248,21.4979,109.5323,5.7351,4.5000
10.55,0.5000,0.7000,7.1232,14.0564,4.1318,32.3035,4.0294,25.4273,98.3679,6.8761,4.5000
10.55,0.5000,0.8000,7.5515,13.6501,3.6914,36.8124,3.6722,29.0313,88.3079,7.7811,4.5000
10.55,0.5000,0.9000,7.8845,13.3573,3.3467,40.7658,3.4058,32.3322,79.0173,8.4336,4.5000
10.55,0.5000,1.0000,8.1510,13.1362,3.0691,44.1724,3.2016,35.3516,70.2635,8.8208,4.5000  <--- pm=500 calibration / check / baseline run
10.55,0.5000,1.1000,8.3690,12.9632,2.8404,47.0410,3.0418,38.1116,61.8534,8.9294,4.5000
10.55,0.5000,1.2000,8.5506,12.8242,2.6483,49.3742,2.9143,40.6343,53.5940,8.7399,4.5000
10.55,0.5000,1.3000,8.7044,12.7100,2.4847,51.1577,2.8112,42.9412,45.2502,8.2165,4.5000
10.55,0.5000,1.4000,8.8361,12.6145,2.3433,52.3374,2.7265,45.0528,36.4593,7.2846,4.5000
10.55,0.5000,1.5000,8.9503,12.5334,2.2198,52.7467,2.6563,46.9882,26.4524,5.7585,4.5000
10.55,0.5000,1.6000,9.0502,12.4638,2.1109,51.5951,2.5974,48.7648,12.0326,2.8303,4.5000
10.55,0.6000,0.5000,5.7529,15.6505,5.4771,23.1282,5.2442,17.2138,109.8439,5.9144,4.5000
10.55,0.6000,0.6000,6.5523,14.6593,4.6641,28.7817,4.5248,21.4979,99.7546,7.2837,4.5000
10.55,0.6000,0.7000,7.1232,14.0564,4.0801,33.8832,4.0294,25.4273,90.6064,8.4559,4.5000
10.55,0.6000,0.8000,7.5515,13.6501,3.6393,38.4314,3.6722,29.0313,82.1690,9.4001,4.5000
10.55,0.6000,0.9000,7.8845,13.3573,3.2943,42.4297,3.4058,32.3322,74.2814,10.0975,4.5000
10.55,0.6000,1.0000,8.1510,13.1362,3.0163,45.8877,3.2016,35.3516,66.8142,10.5361,4.5000
10.55,0.6000,1.1000,8.3690,12.9632,2.7871,48.8177,3.0418,38.1116,59.6500,10.7062,4.5000
10.55,0.6000,1.2000,8.5506,12.8242,2.5947,51.2294,2.9143,40.6343,52.6689,10.5951,4.5000
10.55,0.6000,1.3000,8.7044,12.7100,2.4306,53.1226,2.8112,42.9412,45.7320,10.1814,4.5000
10.55,0.6000,1.4000,8.8361,12.6145,2.2888,54.4762,2.7265,45.0528,38.6513,9.4234,4.5000
10.55,0.6000,1.5000,8.9503,12.5334,2.1649,55.2224,2.6563,46.9882,31.1155,8.2342,4.5000
10.55,0.6000,1.6000,9.0502,12.4638,2.0556,55.1601,2.5974,48.7648,22.4333,6.3953,4.5000
10.55,0.6000,1.7000,9.1384,12.4033,1.9582,53.2961,2.5475,50.3985,9.4963,2.8976,4.5000
10.55,0.7000,0.5000,5.7529,15.6505,5.4194,24.5026,5.2442,17.2138,100.8147,7.2889,4.5000
10.55,0.7000,0.6000,6.5523,14.6593,4.6061,30.2323,4.5248,21.4979,92.2816,8.7343,4.5000
10.55,0.7000,0.7000,7.1232,14.0564,4.0217,35.4025,4.0294,25.4273,84.3879,9.9752,4.5000
10.55,0.7000,0.8000,7.5515,13.6501,3.5806,40.0136,3.6722,29.0313,77.0222,10.9822,4.5000
10.55,0.7000,0.9000,7.8845,13.3573,3.2351,44.0708,3.4058,32.3322,70.0936,11.7386,4.5000
10.55,0.7000,1.0000,8.1510,13.1362,2.9567,47.5861,3.2016,35.3516,63.5198,12.2346,4.5000
10.55,0.7000,1.1000,8.3690,12.9632,2.7271,50.5748,3.0418,38.1116,57.2214,12.4632,4.5000
10.55,0.7000,1.2000,8.5506,12.8242,2.5342,53.0506,2.9143,40.6343,51.1152,12.4164,4.5000
10.55,0.7000,1.3000,8.7044,12.7100,2.3696,55.0211,2.8112,42.9412,45.1067,12.0799,4.5000
10.55,0.7000,1.4000,8.8361,12.6145,2.2273,56.4797,2.7265,45.0528,39.0772,11.4268,4.5000
10.55,0.7000,1.5000,8.9503,12.5334,2.1028,57.3923,2.6563,46.9882,32.8535,10.4041,4.5000
10.55,0.7000,1.6000,9.0502,12.4638,1.9929,57.6637,2.5974,48.7648,26.1296,8.8989,4.5000
10.55,0.7000,1.7000,9.1384,12.4033,1.8950,57.0107,2.5475,50.3985,18.1631,6.6122,4.5000
10.55,0.7000,1.8000,9.2168,12.3502,1.8071,53.3847,2.5050,51.9037,3.8258,1.4810,4.5000
10.55,0.8000,0.5000,5.7529,15.6505,5.3561,25.7854,5.2442,17.2138,93.7282,8.5717,4.5000
10.55,0.8000,0.6000,6.5523,14.6593,4.5424,31.6191,4.5248,21.4979,86.1975,10.1211,4.5000
10.55,0.8000,0.7000,7.1232,14.0564,3.9577,36.8784,4.0294,25.4273,79.1572,11.4511,4.5000 <----- thrq = ~79 deg
