# D(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 10.549 GeV
# Out-of-Plane Angle (Phi) = 180 deg
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
Eb,Pr,xbj,kf,th_e,Pf,th_p,q,th_q,th_rq,th_pq,Q2
10.55,0.5000,0.5000,5.7529,15.6505,5.5283,12.8340,5.2442,17.2138,122.3974,4.3797,4.5000
10.55,0.5000,0.6000,6.5523,14.6593,4.7156,15.7628,4.5248,21.4979,109.5323,5.7351,4.5000
10.55,0.5000,0.7000,7.1232,14.0564,4.1318,18.5512,4.0294,25.4273,98.3679,6.8761,4.5000
10.55,0.5000,0.8000,7.5515,13.6501,3.6914,21.2502,3.6722,29.0313,88.3079,7.7811,4.5000
10.55,0.5000,0.9000,7.8845,13.3573,3.3467,23.8986,3.4058,32.3322,79.0173,8.4336,4.5000
10.55,0.5000,1.0000,8.1510,13.1362,3.0691,26.5308,3.2016,35.3516,70.2635,8.8208,4.5000
10.55,0.5000,1.1000,8.3690,12.9632,2.8404,29.1822,3.0418,38.1116,61.8534,8.9294,4.5000
10.55,0.5000,1.2000,8.5506,12.8242,2.6483,31.8944,2.9143,40.6343,53.5940,8.7399,4.5000
10.55,0.5000,1.3000,8.7044,12.7100,2.4847,34.7247,2.8112,42.9412,45.2502,8.2165,4.5000
10.55,0.5000,1.4000,8.8361,12.6145,2.3433,37.7682,2.7265,45.0528,36.4593,7.2846,4.5000
10.55,0.5000,1.5000,8.9503,12.5334,2.2198,41.2297,2.6563,46.9882,26.4524,5.7585,4.5000
10.55,0.5000,1.6000,9.0502,12.4638,2.1109,45.9345,2.5974,48.7648,12.0326,2.8303,4.5000
10.55,0.6000,0.5000,5.7529,15.6505,5.4771,11.2993,5.2442,17.2138,109.8439,5.9144,4.5000
10.55,0.6000,0.6000,6.5523,14.6593,4.6641,14.2142,4.5248,21.4979,99.7546,7.2837,4.5000
10.55,0.6000,0.7000,7.1232,14.0564,4.0801,16.9714,4.0294,25.4273,90.6064,8.4559,4.5000
10.55,0.6000,0.8000,7.5515,13.6501,3.6393,19.6312,3.6722,29.0313,82.1690,9.4001,4.5000
10.55,0.6000,0.9000,7.8845,13.3573,3.2943,22.2347,3.4058,32.3322,74.2814,10.0975,4.5000
10.55,0.6000,1.0000,8.1510,13.1362,3.0163,24.8155,3.2016,35.3516,66.8142,10.5361,4.5000
10.55,0.6000,1.1000,8.3690,12.9632,2.7871,27.4054,3.0418,38.1116,59.6500,10.7062,4.5000
10.55,0.6000,1.2000,8.5506,12.8242,2.5947,30.0392,2.9143,40.6343,52.6689,10.5951,4.5000
10.55,0.6000,1.3000,8.7044,12.7100,2.4306,32.7599,2.8112,42.9412,45.7320,10.1814,4.5000
10.55,0.6000,1.4000,8.8361,12.6145,2.2888,35.6295,2.7265,45.0528,38.6513,9.4234,4.5000
10.55,0.6000,1.5000,8.9503,12.5334,2.1649,38.7540,2.6563,46.9882,31.1155,8.2342,4.5000
10.55,0.6000,1.6000,9.0502,12.4638,2.0556,42.3695,2.5974,48.7648,22.4333,6.3953,4.5000
10.55,0.6000,1.7000,9.1384,12.4033,1.9582,47.5010,2.5475,50.3985,9.4963,2.8976,4.5000
10.55,0.7000,0.6000,6.5523,14.6593,4.6061,12.7636,4.5248,21.4979,92.2816,8.7343,4.5000
10.55,0.7000,0.7000,7.1232,14.0564,4.0217,15.4522,4.0294,25.4273,84.3879,9.9752,4.5000
10.55,0.7000,0.8000,7.5515,13.6501,3.5806,18.0491,3.6722,29.0313,77.0222,10.9822,4.5000
10.55,0.7000,0.9000,7.8845,13.3573,3.2351,20.5935,3.4058,32.3322,70.0936,11.7386,4.5000
10.55,0.7000,1.0000,8.1510,13.1362,2.9567,23.1170,3.2016,35.3516,63.5198,12.2346,4.5000
10.55,0.7000,1.1000,8.3690,12.9632,2.7271,25.6484,3.0418,38.1116,57.2214,12.4632,4.5000
10.55,0.7000,1.2000,8.5506,12.8242,2.5342,28.2179,2.9143,40.6343,51.1152,12.4164,4.5000
10.55,0.7000,1.3000,8.7044,12.7100,2.3696,30.8614,2.8112,42.9412,45.1067,12.0799,4.5000
10.55,0.7000,1.4000,8.8361,12.6145,2.2273,33.6260,2.7265,45.0528,39.0772,11.4268,4.5000
10.55,0.7000,1.5000,8.9503,12.5334,2.1028,36.5841,2.6563,46.9882,32.8535,10.4041,4.5000
10.55,0.7000,1.6000,9.0502,12.4638,1.9929,39.8659,2.5974,48.7648,26.1296,8.8989,4.5000
10.55,0.7000,1.7000,9.1384,12.4033,1.8950,43.7863,2.5475,50.3985,18.1631,6.6122,4.5000
10.55,0.7000,1.8000,9.2168,12.3502,1.8071,50.4227,2.5050,51.9037,3.8258,1.4810,4.5000
10.55,0.8000,0.6000,6.5523,14.6593,4.5424,11.3768,4.5248,21.4979,86.1975,10.1211,4.5000
10.55,0.8000,0.7000,7.1232,14.0564,3.9577,13.9762,4.0294,25.4273,79.1572,11.4511,4.5000 <----- thrq = ~79 deg
10.55,0.8000,0.8000,7.5515,13.6501,3.5161,16.4955,3.6722,29.0313,72.5465,12.5358,4.5000 <----- thrq = ~72 deg
10.55,0.8000,0.9000,7.8845,13.3573,3.1701,18.9712,3.4058,32.3322,66.3078,13.3610,4.5000 <----- thrq = ~66 deg
10.55,0.8000,1.0000,8.1510,13.1362,2.8912,21.4324,3.2016,35.3516,60.3837,13.9192,4.5000 <----- thrq = ~60 deg
10.55,0.8000,1.1000,8.3690,12.9632,2.6611,23.9059,3.0418,38.1116,54.7154,14.2057,4.5000 <----- thrq = ~55 deg
10.55,0.8000,1.2000,8.5506,12.8242,2.4676,26.4189,2.9143,40.6343,49.2400,14.2154,4.5000 <----- thrq = ~49 deg
10.55,0.8000,1.3000,8.7044,12.7100,2.3024,29.0030,2.8112,42.9412,43.8869,13.9382,4.5000
10.55,0.8000,1.4000,8.8361,12.6145,2.1594,31.6983,2.7265,45.0528,38.5705,13.3546,4.5000
10.55,0.8000,1.5000,8.9503,12.5334,2.0343,34.5616,2.6563,46.9882,33.1757,12.4266,4.5000
10.55,0.8000,1.6000,9.0502,12.4638,1.9238,37.6858,2.5974,48.7648,27.5221,11.0790,4.5000 <----- thrq = ~28 deg
10.55,0.8000,1.7000,9.1384,12.4033,1.8252,41.2533,2.5475,50.3985,21.2603,9.1452,4.5000
10.55,0.8000,1.8000,9.2168,12.3502,1.7366,45.7845,2.5050,51.9037,13.3790,6.1192,4.5000
10.55,0.9000,0.7000,7.1232,14.0564,3.8887,12.5332,4.0294,25.4273,74.6185,12.8941,4.5000
10.55,0.9000,0.8000,7.5515,13.6501,3.4466,14.9642,3.6722,29.0313,68.5627,14.0671,4.5000
10.55,0.9000,0.9000,7.8845,13.3573,3.1001,17.3633,3.4058,32.3322,62.8384,14.9689,4.5000
10.55,0.9000,1.0000,8.1510,13.1362,2.8206,19.7577,3.2016,35.3516,57.4023,15.5939,4.5000
10.55,0.9000,1.1000,8.3690,12.9632,2.5898,22.1724,3.0418,38.1116,52.2077,15.9392,4.5000
10.55,0.9000,1.2000,8.5506,12.8242,2.3957,24.6331,2.9143,40.6343,47.2038,16.0012,4.5000
10.55,0.9000,1.3000,8.7044,12.7100,2.2298,27.1688,2.8112,42.9412,42.3336,15.7724,4.5000
10.55,0.9000,1.4000,8.8361,12.6145,2.0861,29.8159,2.7265,45.0528,37.5299,15.2369,4.5000
10.55,0.9000,1.5000,8.9503,12.5334,1.9602,32.6243,2.6563,46.9882,32.7061,14.3639,4.5000
10.55,0.9000,1.6000,9.0502,12.4638,1.8489,35.6704,2.5974,48.7648,27.7367,13.0944,4.5000
10.55,0.9000,1.7000,9.1384,12.4033,1.7494,39.0901,2.5475,50.3985,22.4055,11.3084,4.5000
10.55,0.9000,1.8000,9.2168,12.3502,1.6600,43.1915,2.5050,51.9037,16.2228,8.7122,4.5000
