# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 60   | xlabel: Energy Transfer, nu [GeV] 
# xbin width = 0.030 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1         1.015         1      1.03           0             0
      2         2         1.045      1.03      1.06           0             0
      3         3         1.075      1.06      1.09           0             0
      4         4         1.105      1.09      1.12           0             0
      5         5         1.135      1.12      1.15           0             0
      6         6         1.165      1.15      1.18           0             0
      7         7         1.195      1.18      1.21           0             0
      8         8         1.225      1.21      1.24           0             0
      9         9         1.255      1.24      1.27           0             0
     10        10         1.285      1.27       1.3           0             0
     11        11         1.315       1.3      1.33           0             0
     12        12         1.345      1.33      1.36           0             0
     13        13         1.375      1.36      1.39           0             0
     14        14         1.405      1.39      1.42           0             0
     15        15         1.435      1.42      1.45           0             0
     16        16         1.465      1.45      1.48           0             0
     17        17         1.495      1.48      1.51           0             0
     18        18         1.525      1.51      1.54           0             0
     19        19         1.555      1.54      1.57           0             0
     20        20         1.585      1.57       1.6           0             0
     21        21         1.615       1.6      1.63           0             0
     22        22         1.645      1.63      1.66           0             0
     23        23         1.675      1.66      1.69           0             0
     24        24         1.705      1.69      1.72           0             0
     25        25         1.735      1.72      1.75           0             0
     26        26         1.765      1.75      1.78           0             0
     27        27         1.795      1.78      1.81           0             0
     28        28         1.825      1.81      1.84           0             0
     29        29         1.855      1.84      1.87           0             0
     30        30         1.885      1.87       1.9           0             0
     31        31         1.915       1.9      1.93           0             0
     32        32         1.945      1.93      1.96           0             0
     33        33         1.975      1.96      1.99           0             0
     34        34         2.005      1.99      2.02     2.39528       1.28151
     35        35         2.035      2.02      2.05     827.733       34.6059
     36        36         2.065      2.05      2.08        2573       66.7248
     37        37         2.095      2.08      2.11     3705.71       87.2456
     38        38         2.125      2.11      2.14     4117.01       96.7139
     39        39         2.155      2.14      2.17     4715.91       112.068
     40        40         2.185      2.17       2.2     4328.11       102.998
     41        41         2.215       2.2      2.23     3673.21       85.2028
     42        42         2.245      2.23      2.26     2756.38       62.7178
     43        43         2.275      2.26      2.29     1920.19       41.9471
     44        44         2.305      2.29      2.32     1298.86       28.6308
     45        45         2.335      2.32      2.35     838.456       18.3554
     46        46         2.365      2.35      2.38     521.859       12.1792
     47        47         2.395      2.38      2.41     283.718       6.81102
     48        48         2.425      2.41      2.44     154.933       3.32674
     49        49         2.455      2.44      2.47      84.828       1.83544
     50        50         2.485      2.47       2.5     50.9963      0.773812
     51        51         2.515       2.5      2.53     30.0607      0.334737
     52        52         2.545      2.53      2.56     14.6932       0.12604
     53        53         2.575      2.56      2.59     6.79134     0.0599339
     54        54         2.605      2.59      2.62     2.80966     0.0315434
     55        55         2.635      2.62      2.65     1.08717     0.0159929
     56        56         2.665      2.65      2.68     0.39061    0.00781577
     57        57         2.695      2.68      2.71    0.132022    0.00370333
     58        58         2.725      2.71      2.74   0.0422286    0.00173854
     59        59         2.755      2.74      2.77   0.0129601   0.000798469
     60        60         2.785      2.77       2.8  0.00309844   0.000328092
