# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 60   | xlabel: Proton Scattering Angle, th_p, [deg] 
# xbin width = 0.133 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1       34.0667        34   34.1333           0             0
      2         2          34.2   34.1333   34.2667           0             0
      3         3       34.3333   34.2667      34.4           0             0
      4         4       34.4667      34.4   34.5333           0             0
      5         5          34.6   34.5333   34.6667           0             0
      6         6       34.7333   34.6667      34.8           0             0
      7         7       34.8667      34.8   34.9333           0             0
      8         8            35   34.9333   35.0667           0             0
      9         9       35.1333   35.0667      35.2           0             0
     10        10       35.2667      35.2   35.3333           0             0
     11        11          35.4   35.3333   35.4667           0             0
     12        12       35.5333   35.4667      35.6           0             0
     13        13       35.6667      35.6   35.7333           0             0
     14        14          35.8   35.7333   35.8667           0             0
     15        15       35.9333   35.8667        36           0             0
     16        16       36.0667        36   36.1333           0             0
     17        17          36.2   36.1333   36.2667           0             0
     18        18       36.3333   36.2667      36.4     6.01908       5.97162
     19        19       36.4667      36.4   36.5333     2.34241       1.70967
     20        20          36.6   36.5333   36.6667     64.7677       17.2656
     21        21       36.7333   36.6667      36.8     259.957       27.7005
     22        22       36.8667      36.8   36.9333     654.852       44.3921
     23        23            37   36.9333   37.0667     1175.37       60.9012
     24        24       37.1333   37.0667      37.2     1422.76       63.7909
     25        25       37.2667      37.2   37.3333     1703.23            70
     26        26          37.4   37.3333   37.4667     1642.17       65.4714
     27        27       37.5333   37.4667      37.6     1842.98       67.0509
     28        28       37.6667      37.6   37.7333     1992.86       68.4258
     29        29          37.8   37.7333   37.8667     1953.49         66.92
     30        30       37.9333   37.8667        38      1997.2       66.5543
     31        31       38.0667        38   38.1333     1969.87       61.5995
     32        32          38.2   38.1333   38.2667     1796.79       55.7991
     33        33       38.3333   38.2667      38.4     1899.54        58.598
     34        34       38.4667      38.4   38.5333     1720.23       50.7556
     35        35          38.6   38.5333   38.6667        1605       47.5322
     36        36       38.7333   38.6667      38.8     1464.42       42.9929
     37        37       38.8667      38.8   38.9333      1279.6       37.5416
     38        38            39   38.9333   39.0667     1118.71        31.902
     39        39       39.1333   39.0667      39.2     922.915       27.4234
     40        40       39.2667      39.2   39.3333     752.657       23.2812
     41        41          39.4   39.3333   39.4667     648.757       20.2769
     42        42       39.5333   39.4667      39.6     524.033       17.9868
     43        43       39.6667      39.6   39.7333     417.438        14.186
     44        44          39.8   39.7333   39.8667     316.417       10.7938
     45        45       39.9333   39.8667        40     260.071       9.39775
     46        46       40.0667        40   40.1333     185.664       6.43616
     47        47          40.2   40.1333   40.2667     130.895        4.9482
     48        48       40.3333   40.2667      40.4     91.9085        3.8597
     49        49       40.4667      40.4   40.5333     52.8436       2.53688
     50        50          40.6   40.5333   40.6667     24.4897       1.64958
     51        51       40.7333   40.6667      40.8     7.71921       1.01226
     52        52       40.8667      40.8   40.9333     1.13785      0.335096
     53        53            41   40.9333   41.0667    0.207045     0.0864533
     54        54       41.1333   41.0667      41.2           0             0
     55        55       41.2667      41.2   41.3333           0             0
     56        56          41.4   41.3333   41.4667           0             0
     57        57       41.5333   41.4667      41.6           0             0
     58        58       41.6667      41.6   41.7333           0             0
     59        59          41.8   41.7333   41.8667           0             0
     60        60       41.9333   41.8667        42           0             0
