# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 60   | xlabel: 3-momentum transfer, |q| [GeV/c] 
# xbin width = 0.022 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1       2.41083       2.4   2.42167     9.33586     0.0659578
      2         2        2.4325   2.42167   2.44333      10.832     0.0680184
      3         3       2.45417   2.44333     2.465     11.9171     0.0684758
      4         4       2.47583     2.465   2.48667     12.6014     0.0673516
      5         5        2.4975   2.48667   2.50833     13.1791     0.0658573
      6         6       2.51917   2.50833      2.53     13.4486     0.0637773
      7         7       2.54083      2.53   2.55167      13.421     0.0605244
      8         8        2.5625   2.55167   2.57333     13.1369     0.0573904
      9         9       2.58417   2.57333     2.595     12.6063     0.0533459
     10        10       2.60583     2.595   2.61667     11.8221     0.0499051
     11        11        2.6275   2.61667   2.63833     11.0921     0.0471179
     12        12       2.64917   2.63833      2.66     10.3062     0.0446172
     13        13       2.67083      2.66   2.68167      9.3705     0.0424935
     14        14        2.6925   2.68167   2.70333     8.56962     0.0399419
     15        15       2.71417   2.70333     2.725     7.70848     0.0386762
     16        16       2.73583     2.725   2.74667     6.86993     0.0370361
     17        17        2.7575   2.74667   2.76833     6.18377     0.0359438
     18        18       2.77917   2.76833      2.79     5.56335     0.0357876
     19        19       2.80083      2.79   2.81167     5.02986     0.0363044
     20        20        2.8225   2.81167   2.83333     4.62644     0.0378556
     21        21       2.84417   2.83333     2.855     4.16265      0.035953
     22        22       2.86583     2.855   2.87667     3.79754     0.0365815
     23        23        2.8875   2.87667   2.89833     3.45177     0.0354592
     24        24       2.90917   2.89833      2.92     3.19796     0.0371521
     25        25       2.93083      2.92   2.94167     2.97255     0.0360954
     26        26        2.9525   2.94167   2.96333     2.88804     0.0385229
     27        27       2.97417   2.96333     2.985     2.72127     0.0394934
     28        28       2.99583     2.985   3.00667      2.5263     0.0379789
     29        29        3.0175   3.00667   3.02833     2.46764     0.0401183
     30        30       3.03917   3.02833      3.05     2.34037     0.0389415
     31        31       3.06083      3.05   3.07167     2.31288     0.0398678
     32        32        3.0825   3.07167   3.09333     2.31271     0.0419502
     33        33       3.10417   3.09333     3.115     2.29227     0.0439814
     34        34       3.12583     3.115   3.13667     2.17324     0.0425913
     35        35        3.1475   3.13667   3.15833      2.1469     0.0427999
     36        36       3.16917   3.15833      3.18     2.07991     0.0423833
     37        37       3.19083      3.18   3.20167     2.04599     0.0410262
     38        38        3.2125   3.20167   3.22333     2.09311     0.0442282
     39        39       3.23417   3.22333     3.245      2.0856      0.044549
     40        40       3.25583     3.245   3.26667     2.04894     0.0445169
     41        41        3.2775   3.26667   3.28833      1.9407     0.0427117
     42        42       3.29917   3.28833      3.31       1.957     0.0439827
     43        43       3.32083      3.31   3.33167     1.89897     0.0416566
     44        44        3.3425   3.33167   3.35333     1.91519      0.043756
     45        45       3.36417   3.35333     3.375     1.89333      0.043681
     46        46       3.38583     3.375   3.39667      1.8472     0.0431696
     47        47        3.4075   3.39667   3.41833     1.89219     0.0433463
     48        48       3.42917   3.41833      3.44     1.80452     0.0418011
     49        49       3.45083      3.44   3.46167     1.94362     0.0457745
     50        50        3.4725   3.46167   3.48333     1.79243     0.0415449
     51        51       3.49417   3.48333     3.505     1.81868     0.0445804
     52        52       3.51583     3.505   3.52667      1.6876     0.0422333
     53        53        3.5375   3.52667   3.54833     1.81467     0.0434546
     54        54       3.55917   3.54833      3.57     1.70497     0.0431312
     55        55       3.58083      3.57   3.59167     1.59966     0.0406451
     56        56        3.6025   3.59167   3.61333     1.62406     0.0414852
     57        57       3.62417   3.61333     3.635      1.6159     0.0407855
     58        58       3.64583     3.635   3.65667     1.55466     0.0425452
     59        59        3.6675   3.65667   3.67833     1.49338     0.0401672
     60        60       3.68917   3.67833       3.7     1.43359     0.0395945
