# histogram parameters 
# dx = 5.0
# dy = 0.04
# nx = 38
# ny = 40
# xmin = 0.0
# ymin = -0.02

# Averaged Kinematics Numerical File
#
# NOTE: averaged quantities are determined from SIMC @ the vertex
# calculated quantities are calculated external to SIMC assuming
# (using averged quantities as input, if needed)
#
# id_bin     : 2d bin number
# id_xbin    : xbin number
# id_ybin    : ybin number
# thnq_b     : central theta_nq value (e.g., 5, 15, 25, 35, . . . deg)
# pm_b       : central missing momentum value (80, 120, 160, . . . MeV)
# Ei         : average beam energy [MeV]
# kf         : average final e- momentum [MeV]
# the        : average final e- angle [deg]
# nu         : average energy transfer [MeV]
# nu_calc    : calculated energy transfer [MeV]
# Q2_calc    : calculated 4-momentum transfer [MeV^2]
# q_calc     : calculated 3-momentum transfer [MeV]
# Ep_calc    : calculated final proton energy [MeV]
# Pf         : average final proton momentum [MeV]
# Pm         : average missing momentum [MeV]
# Pm_calc    : calculated missing momentum [MeV]
# En_calc    : calculated recoil neutron energy [MeV]
# Pf_Par_q   : calculated Pf component (q-frame) parallel to q
# Pf_Perp_q  : calculated Pf component (q-frame) perpendicular to q
# thpq       : avergaed angle between proton and q [deg]
# thpq_calc  : calculated angle between proton and q [deg]
# thpq_cm    : calculated angle between proton and q in c.m. [deg]
# thnq       : averaged angle between recoil neutron and q [deg]
# thnq_calc  : calculated angle between recoil neutron and q [deg]
# cphi_pq    : averaged cos(angle) betweeen proton and q [deg]
# sphi_pq    : averaged sin(angle) betweeen proton and q [deg] 
# alpha_calc : calculated spectatror (neutron) light-cone momentum fraction 
# contz      : bin content for the specified (Pm, thnq) bin
# 
pms,xsec_fsi,xsec_pwia,id_bin,id_xbin,id_ybin,thnq_b,pm_b,Ei,kf,the,nu,nu_calc,Q2_calc,q_calc,Ep_calc,Pf,Pm,Pm_calc,En_calc,Pf_Par_q,Pf_Perp_q,thpq,thpq_calc,thpq_cm,thnq,thnq_calc,cphi_pq,sphi_pq,alpha_calc,contz
0.17896,0.4278194E+01,0.4751323E+01,207,7,5,32.500,0.160,10547.968,8535.517,12.881,2012.451,2012.451,4531130.673,2929.350,2931.607,2777.402,178.958,178.958,956.457,2775.877,92.043,1.899,1.899,6.091,30.953,30.953,-0.997,-0.078,0.855,1.902E-01
0.20482,0.1895885E+01,0.2124698E+01,247,7,6,32.500,0.200,10548.435,8514.445,13.069,2033.989,2033.990,4652953.743,2964.805,2947.971,2794.670,204.600,204.819,961.631,2792.477,110.696,2.261,2.270,7.383,32.603,32.715,-0.937,-0.138,0.840,1.238E+00
0.24178,0.6818526E+00,0.7646773E+00,287,7,7,32.500,0.240,10546.374,8491.228,13.326,2055.146,2055.146,4822771.786,3007.723,2960.583,2807.971,241.470,241.777,970.175,2804.886,131.580,2.672,2.686,8.924,32.850,32.972,-0.894,-0.101,0.817,1.651E+00
0.27555,0.3141719E+00,0.3512002E+00,327,7,8,32.500,0.280,10546.350,8490.476,13.477,2055.876,2055.875,4931768.981,3026.283,2952.350,2799.289,275.325,275.547,979.138,2795.257,150.177,3.065,3.075,10.393,32.943,33.026,-0.863,0.100,0.796,1.042E+00
0.30386,0.1795226E+00,0.2006743E+00,367,7,9,32.500,0.320,10547.194,8490.760,13.560,2056.435,2056.435,4992327.721,3036.651,2944.568,2791.079,303.846,303.862,987.480,2785.806,171.490,3.522,3.523,12.018,34.350,34.358,-0.625,0.495,0.784,2.998E-02
0.20193,0.2060222E+01,0.2350418E+01,248,8,6,37.500,0.200,10547.882,8511.769,12.973,2036.112,2036.113,4583168.145,2954.475,2950.706,2797.555,201.638,201.925,961.019,2794.822,123.631,2.522,2.533,8.144,37.642,37.753,-0.947,-0.024,0.853,2.767E+00
0.24177,0.6657589E+00,0.7595651E+00,288,8,7,37.500,0.240,10545.420,8475.512,13.283,2069.910,2069.908,4781934.315,3011.055,2975.347,2823.533,241.468,241.769,970.173,2819.666,147.724,2.987,2.999,9.864,37.556,37.663,-0.911,0.062,0.829,2.977E+00
0.27738,0.2977076E+00,0.3372759E+00,328,8,8,37.500,0.280,10546.188,8475.243,13.418,2070.943,2070.946,4879918.227,3027.992,2966.905,2814.635,277.089,277.376,979.654,2809.447,170.808,3.468,3.479,11.612,37.917,38.010,-0.884,-0.021,0.810,2.721E+00
0.31350,0.1517079E+00,0.1700327E+00,368,8,9,37.500,0.320,10545.425,8480.840,13.522,2064.584,2064.586,4957856.776,3036.506,2949.711,2796.505,313.325,313.498,990.487,2789.806,193.443,3.958,3.967,13.421,38.022,38.101,-0.841,-0.012,0.792,8.846E-01
0.35028,0.8686021E-01,0.9662518E-01,408,8,10,37.500,0.360,10546.942,8489.303,13.568,2057.638,2057.639,4997597.940,3038.335,2930.515,2776.250,350.242,350.281,1002.737,2767.362,221.970,4.584,4.586,15.637,39.315,39.323,-0.828,0.138,0.779,3.066E-02
