#number of gauss points for the integrations
    # nphi, nflex, nen
#  15  30  40
# upper limit alam=  12.00000
#form factor param. 16
#pm = q-p
 # The ejected nucleon is a proton.
 # Both the direct and the exchange term are included.
 # Calculation is done for on-shell FSI.
 # Momentum distribution is calculated.
# central NN included  1
# spin-orbit NN included  1
# double spin-flip NN included  1
# inv. NN S  1
# inv. NN V  1
# inv. NN T  1
# inv. NN P  1
# inv. NN A  1

Kinematics taken from Carlos' spreadsheet d2_pm800_thrq49_pwia with cos(phi)

first column   pmiss (GeV)  
second column  diff Xsec (nb/GeV/sr^2)    
third column   diff PWIA Xsec  (nb/GeV/sr^2)

   0.60474 0.1421380E-01 0.1892759E-01
   0.62521 0.1147456E-01 0.1543005E-01
   0.52817 0.3154281E-01 0.3977119E-01
   0.56250 0.2150095E-01 0.2793749E-01
   0.60117 0.1415432E-01 0.1897838E-01
   0.63976 0.9485580E-02 0.1311119E-01
   0.67418 0.6710232E-02 0.9541276E-02
   0.71456 0.4439756E-02 0.6533432E-02
   0.48707 0.4963189E-01 0.5904603E-01
   0.52222 0.3421608E-01 0.4210820E-01
   0.56188 0.2209833E-01 0.2822231E-01
   0.60124 0.1433401E-01 0.1902439E-01
   0.63908 0.9546564E-02 0.1317430E-01
   0.67882 0.6230162E-02 0.8963298E-02
   0.71679 0.4162492E-02 0.6236674E-02
   0.75736 0.2693718E-02 0.4214692E-02
   0.79536 0.1763317E-02 0.2868821E-02
   0.83611 0.1129840E-02 0.1894900E-02
   0.87049 0.7951817E-03 0.1342058E-02
   0.45210 0.8073933E-01 0.8935878E-01
   0.48294 0.5596363E-01 0.6374310E-01
   0.52341 0.3615903E-01 0.4257722E-01
   0.56088 0.2421929E-01 0.2964823E-01
   0.60041 0.1581298E-01 0.2010934E-01
   0.64017 0.1008769E-01 0.1342626E-01
   0.67933 0.6548003E-02 0.9115553E-02
   0.71835 0.4207468E-02 0.6134266E-02
   0.75803 0.2701888E-02 0.4119447E-02
   0.79789 0.1736046E-02 0.2747312E-02
   0.83754 0.1128310E-02 0.1823432E-02
   0.87738 0.7538739E-03 0.1207502E-02
   0.91607 0.5310401E-03 0.8095973E-03
   0.95635 0.3845840E-03 0.5304874E-03
   0.99740 0.2903476E-03 0.3453913E-03
   1.03621 0.2421354E-03 0.2300886E-03
   1.07897 0.2381900E-03 0.1450177E-03
   1.11207 0.2129793E-03 0.1010417E-03
   1.15420 0.2286688E-03 0.6803056E-04
   1.18079 0.2283581E-03 0.4799859E-04
   0.45025 0.8384473E-01 0.9072578E-01
   0.48385 0.6088698E-01 0.6545451E-01
   0.52193 0.4239384E-01 0.4616737E-01
   0.56121 0.2839582E-01 0.3178326E-01
   0.60062 0.1873900E-01 0.2164239E-01
   0.63997 0.1230735E-01 0.1468423E-01
