# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 100   | xlabel: Final Proton Momentum, Pf, [GeV] 
# xbin width = 0.020 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1          2.01         2      2.02           0             0
      2         2          2.03      2.02      2.04           0             0
      3         3          2.05      2.04      2.06           0             0
      4         4          2.07      2.06      2.08           0             0
      5         5          2.09      2.08       2.1           0             0
      6         6          2.11       2.1      2.12           0             0
      7         7          2.13      2.12      2.14           0             0
      8         8          2.15      2.14      2.16           0             0
      9         9          2.17      2.16      2.18           0             0
     10        10          2.19      2.18       2.2           0             0
     11        11          2.21       2.2      2.22           0             0
     12        12          2.23      2.22      2.24           0             0
     13        13          2.25      2.24      2.26           0             0
     14        14          2.27      2.26      2.28           0             0
     15        15          2.29      2.28       2.3           0             0
     16        16          2.31       2.3      2.32           0             0
     17        17          2.33      2.32      2.34           0             0
     18        18          2.35      2.34      2.36           0             0
     19        19          2.37      2.36      2.38           0             0
     20        20          2.39      2.38       2.4           0             0
     21        21          2.41       2.4      2.42           0             0
     22        22          2.43      2.42      2.44           0             0
     23        23          2.45      2.44      2.46           0             0
     24        24          2.47      2.46      2.48           0             0
     25        25          2.49      2.48       2.5           0             0
     26        26          2.51       2.5      2.52           0             0
     27        27          2.53      2.52      2.54           0             0
     28        28          2.55      2.54      2.56           0             0
     29        29          2.57      2.56      2.58           0             0
     30        30          2.59      2.58       2.6           0             0
     31        31          2.61       2.6      2.62           0             0
     32        32          2.63      2.62      2.64           0             0
     33        33          2.65      2.64      2.66           0             0
     34        34          2.67      2.66      2.68           0             0
     35        35          2.69      2.68       2.7           0             0
     36        36          2.71       2.7      2.72           0             0
     37        37          2.73      2.72      2.74           0             0
     38        38          2.75      2.74      2.76           0             0
     39        39          2.77      2.76      2.78           0             0
     40        40          2.79      2.78       2.8           0             0
     41        41          2.81       2.8      2.82     739.796       30.5288
     42        42          2.83      2.82      2.84     1482.98       45.8363
     43        43          2.85      2.84      2.86     1940.05       58.5065
     44        44          2.87      2.86      2.88     2327.65       68.8097
     45        45          2.89      2.88       2.9     2570.79       75.3029
     46        46          2.91       2.9      2.92      2822.2       81.8373
     47        47          2.93      2.92      2.94     2947.12       88.7157
     48        48          2.95      2.94      2.96      2859.8       86.1104
     49        49          2.97      2.96      2.98     2755.49       80.0652
     50        50          2.99      2.98         3     2399.27       70.5209
     51        51          3.01         3      3.02     2151.81        63.322
     52        52          3.03      3.02      3.04      1735.6       49.9254
     53        53          3.05      3.04      3.06        1312       36.6603
     54        54          3.07      3.06      3.08     1058.94       28.8606
     55        55          3.09      3.08       3.1     816.572       23.5964
     56        56          3.11       3.1      3.12     617.546       17.4455
     57        57          3.13      3.12      3.14     446.832       12.8163
     58        58          3.15      3.14      3.16     322.673       9.68945
     59        59          3.17      3.16      3.18     217.349       6.81176
     60        60          3.19      3.18       3.2     141.439       4.37319
     61        61          3.21       3.2      3.22     93.9266       2.73851
     62        62          3.23      3.22      3.24     61.9082       1.77762
     63        63          3.25      3.24      3.26     41.9323      0.981918
     64        64          3.27      3.26      3.28     28.0338        0.5391
     65        65          3.29      3.28       3.3     17.5924      0.317027
     66        66          3.31       3.3      3.32           0             0
     67        67          3.33      3.32      3.34           0             0
     68        68          3.35      3.34      3.36           0             0
     69        69          3.37      3.36      3.38           0             0
     70        70          3.39      3.38       3.4           0             0
     71        71          3.41       3.4      3.42           0             0
     72        72          3.43      3.42      3.44           0             0
     73        73          3.45      3.44      3.46           0             0
     74        74          3.47      3.46      3.48           0             0
     75        75          3.49      3.48       3.5           0             0
     76        76          3.51       3.5      3.52           0             0
     77        77          3.53      3.52      3.54           0             0
     78        78          3.55      3.54      3.56           0             0
     79        79          3.57      3.56      3.58           0             0
     80        80          3.59      3.58       3.6           0             0
     81        81          3.61       3.6      3.62           0             0
     82        82          3.63      3.62      3.64           0             0
     83        83          3.65      3.64      3.66           0             0
     84        84          3.67      3.66      3.68           0             0
     85        85          3.69      3.68       3.7           0             0
     86        86          3.71       3.7      3.72           0             0
     87        87          3.73      3.72      3.74           0             0
     88        88          3.75      3.74      3.76           0             0
     89        89          3.77      3.76      3.78           0             0
     90        90          3.79      3.78       3.8           0             0
     91        91          3.81       3.8      3.82           0             0
     92        92          3.83      3.82      3.84           0             0
     93        93          3.85      3.84      3.86           0             0
     94        94          3.87      3.86      3.88           0             0
     95        95          3.89      3.88       3.9           0             0
     96        96          3.91       3.9      3.92           0             0
     97        97          3.93      3.92      3.94           0             0
     98        98          3.95      3.94      3.96           0             0
     99        99          3.97      3.96      3.98           0             0
    100       100          3.99      3.98         4           0             0
