#This datafile contains exp. redXsec and ratio to (JML Paris, MS CD-Bonn, MS AV18) PWIA, from Hall C Deuteron Experiment: E12-10-003
#Units: pm_avg [GeV/c] :: redXsec [fm^3], pm = 220 +/- 20 MeV/c 
pm_avg,pm_c,thnq,thnq_avg,data_redXsec,data_redXsec_tot_err,redXsec_paris,redXsec_cd,redXsec_v18,R_paris,R_paris_err,R_cd,R_cd_err,R_v18,R_v18_err
0.20994,0.220,5,5.000,NAN,1.76199E-02,9.46491E-03,9.68822E-03,9.17317E-03,nan,1.84830,nan,1.80570,nan,1.90708 
0.21438,0.220,15,15.000,1.16646E-02,3.99995E-03,8.47660E-03,8.64420E-03,8.16820E-03,1.37609,0.46284,1.34941,0.45386,1.42805,0.48031 
0.21664,0.220,25,25.000,1.25066E-02,2.39117E-03,8.13981E-03,8.17989E-03,7.72195E-03,1.53648,0.27418,1.52895,0.27284,1.61962,0.28902 
0.21766,0.220,35,35.000,8.64055E-03,1.47211E-03,8.05752E-03,7.97167E-03,7.52194E-03,1.07236,0.16857,1.08391,0.17039,1.14871,0.18057 
0.21825,0.220,45,45.000,5.25342E-03,9.29333E-04,7.81002E-03,7.82082E-03,7.37770E-03,0.67265,0.11266,0.67172,0.11251,0.71207,0.11927 
0.21843,0.220,55,55.000,7.04831E-03,1.05262E-03,8.18199E-03,7.75176E-03,7.31164E-03,0.86144,0.12271,0.90925,0.12952,0.96398,0.13731 
0.21785,0.220,65,65.000,4.85172E-03,8.59800E-04,7.64076E-03,7.87255E-03,7.42713E-03,0.63498,0.11006,0.61628,0.10682,0.65324,0.11323 
0.21724,0.220,75,75.000,5.28775E-03,9.55477E-04,7.84903E-03,8.01934E-03,7.56745E-03,0.67368,0.11862,0.65938,0.11610,0.69875,0.12303 
0.21679,0.220,85,85.000,5.35054E-03,1.23787E-03,7.85984E-03,8.13762E-03,7.68087E-03,0.68074,0.15352,0.65751,0.14827,0.69661,0.15709 
0.21358,0.220,95,95.000,3.30732E-02,1.53643E-02,9.11768E-03,8.76792E-03,8.28760E-03,3.62737,1.67175,3.77207,1.73844,3.99068,1.83919 
