#This datafile contains exp. redXsec and ratio to (JML Paris, MS CD-Bonn, MS AV18) PWIA, from Hall C Deuteron Experiment: E12-10-003
#Units: pm_avg [GeV/c] :: redXsec [fm^3], pm = 160 +/- 20 MeV/c 
pm_avg,pm_c,thnq,thnq_avg,data_redXsec,data_redXsec_tot_err,redXsec_paris,redXsec_cd,redXsec_v18,R_paris,R_paris_err,R_cd,R_cd_err,R_v18,R_v18_err
0.17414,0.180,5,5.000,2.42630E-02,7.97399E-03,2.47805E-02,2.51156E-02,2.42020E-02,0.97912,0.31620,0.96605,0.31198,1.00252,0.32376 
0.17523,0.180,15,15.000,2.30324E-02,4.23945E-03,2.38501E-02,2.43201E-02,2.34230E-02,0.96571,0.16639,0.94705,0.16318,0.98332,0.16943 
0.17685,0.180,25,25.000,2.79617E-02,3.57581E-03,2.32888E-02,2.31857E-02,2.23128E-02,1.20065,0.13094,1.20599,0.13152,1.25317,0.13667 
0.17780,0.180,35,35.000,2.00701E-02,2.40172E-03,2.31758E-02,2.25367E-02,2.16779E-02,0.86600,0.08767,0.89055,0.09016,0.92583,0.09373 
0.17838,0.180,45,45.000,2.09058E-02,2.14022E-03,2.21622E-02,2.21149E-02,2.12659E-02,0.94331,0.08081,0.94533,0.08098,0.98307,0.08421 
0.17855,0.180,55,55.000,2.00806E-02,2.05107E-03,2.35377E-02,2.20073E-02,2.11604E-02,0.85313,0.07885,0.91245,0.08433,0.94897,0.08771 
0.17772,0.180,65,65.000,1.89572E-02,1.99392E-03,2.38925E-02,2.25216E-02,2.16633E-02,0.79344,0.07818,0.84173,0.08294,0.87508,0.08622 
0.17692,0.180,75,75.000,1.72874E-02,2.02653E-03,2.25809E-02,2.30439E-02,2.21744E-02,0.76557,0.08294,0.75019,0.08127,0.77961,0.08446 
0.17669,0.180,85,85.000,1.61885E-02,2.50830E-03,2.26785E-02,2.31933E-02,2.23210E-02,0.71382,0.10295,0.69798,0.10067,0.72526,0.10460 
0.17524,0.180,95,95.000,3.55495E-02,9.78324E-03,2.64306E-02,2.40979E-02,2.32081E-02,1.34501,0.36006,1.47521,0.39491,1.53177,0.41006 
